,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_scaled
121,121,0.85,0.7777777777777778,0.8187426556991775,0.9021004700352526,0.12750000000000006,0.0345833333333333,0.008333333333333193
122,122,0.875,0.8214285714285714,0.8513513513513513,0.8982814336075206,0.15374999999999994,0.050416666666666665,0.019166666666666665
123,123,0.8333333333333334,0.7468354430379747,0.7970035252643948,0.8821974148061105,0.11833333333333329,0.06625000000000003,-0.004166666666666652
124,124,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.8998237367802585,0.1891666666666666,0.07291666666666663,0.0
125,125,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.8973266745005875,0.20499999999999996,0.07791666666666675,-0.0050000000000000044
126,126,0.875,0.8214285714285714,0.8513513513513513,0.8978407755581668,0.17541666666666678,0.06666666666666665,-0.009166666666666545
127,127,0.9125,0.8864864864864865,0.9084900117508813,0.894168625146886,0.29666666666666663,0.11791666666666667,-0.0004166666666666208
128,128,0.8916666666666667,0.8488372093023255,0.873090481786134,0.901439482961222,0.19000000000000006,0.06291666666666673,0.021666666666666612
129,129,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.8981345475910694,0.2416666666666667,0.08083333333333342,0.007083333333333219
130,130,0.8833333333333333,0.8352941176470589,0.8622209165687427,0.9005581668625147,0.17000000000000004,0.060833333333333295,0.004166666666666652
131,131,0.9083333333333333,0.8791208791208791,0.9009988249118683,0.8990158636897767,0.25375000000000003,0.0954166666666667,0.0050000000000000044
