,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
73,73,0.8493723849372385,0.8144329896907216,0.8511165335699498,0.9188849452824608,0.011297071129707237,0.020502092050209253,0.01882845188284521,0.0368200836820084,0.018410041841004254,0.026359832635983182,0.030125523012552335,0.017991631799163188
74,74,0.8242677824267782,0.7789473684210526,0.8205412599822538,0.9361135758651287,-0.0033472803347280866,-0.0020920502092051096,-0.02092050209205032,0.0016736401673640433,-0.011715481171548081,-0.006276150627615107,0.0008368200836819106,-0.00794979079497915
75,75,0.8786610878661087,0.8465608465608465,0.8769594794439515,0.9287932564330079,0.024267782426778295,0.009623430962343082,0.02468619246861925,0.04184100418410042,-0.0004184100418409553,0.008368200836820106,0.04058577405857744,0.0355648535564852
76,76,0.8368200836820083,0.8,0.8388790298728187,0.9331558710440697,-0.007531380753138195,0.008368200836819994,0.006694560669455951,0.01589958158995819,0.005020920502092019,0.014225941422594035,0.02092050209205021,0.0058577405857740406
77,77,0.8577405857740585,0.83,0.866052942916297,0.9390712806861875,0.030962343096234246,-0.004184100418409997,-0.008786610878661172,-0.004602510460251175,-0.011297071129707126,0.020083682008368187,0.007531380753138084,0.005020920502092019
78,78,0.8410041841004184,0.8,0.8382135462880804,0.9349304939367051,0.005857740585774152,0.033054393305439245,0.002510460251046065,-0.0008368200836820217,0.020502092050209253,0.02970711297071127,0.010041841004184149,0.05523012552301254
79,79,0.8242677824267782,0.7717391304347826,0.8144409937888198,0.910603371783496,-0.01589958158995808,-0.005439330543933085,0.009623430962343082,0.009623430962343082,0.009623430962343082,0.02384937238493723,0.01589958158995808,0.009623430962343082
80,80,0.8326359832635983,0.7959183673469388,0.835477669328601,0.9326382727003845,0.014225941422594146,-0.0016736401673640433,-0.001255230125522977,-0.001255230125522977,-0.0071129707112970175,-0.001255230125522977,0.006694560669455951,-0.009623430962342971
81,81,0.8284518828451883,0.7759562841530054,0.8178423543330375,0.9258355516119491,-0.023012552301255207,0.020083682008368187,0.020083682008368187,0.02175732217573212,-0.0058577405857740406,0.03347280334728042,0.008368200836819994,-0.0008368200836820217
82,82,0.8451882845188284,0.806282722513089,0.8436483288967761,0.9321946169772257,0.0033472803347280866,0.017154811715481055,0.025104602510460317,0.01966527196652712,0.005439330543933085,0.0033472803347280866,0.02468619246861925,0.014644351464435101
83,83,0.799163179916318,0.7272727272727273,0.7797988760721679,0.9344128955930198,-0.03974895397489531,-0.010041841004184149,-0.012970711297071169,-0.02384937238493734,-0.017154811715481166,-0.005439330543933196,-0.0033472803347279756,-0.005439330543933196
84,84,0.8535564853556485,0.8241206030150754,0.8606181603076013,0.9316030760130138,0.009205020920502016,0.002510460251046065,0.0058577405857740406,-0.0020920502092049986,-0.019246861924686165,0.001255230125523088,0.01087866108786606,0.03263598326359818
85,85,0.8410041841004184,0.8041237113402062,0.8422803904170364,0.8993640934634723,0.015481171548117123,0.00502092050209213,0.017573221757322233,0.01087866108786606,0.012552301255230103,0.01589958158995808,0.028870292887029247,0.016317991631799145
86,86,0.7782426778242678,0.6442953020134228,0.7302573203194321,0.9296805678793256,0.004184100418410108,0.06861924686192467,0.046861924686192435,0.051882845188284454,0.033054393305439356,-0.006276150627614996,-0.026359832635983182,0.03472803347280329
87,87,0.8368200836820083,0.7979274611398963,0.8368456078083408,0.9364093463472345,0.004184100418409997,0.023012552301255207,-0.0020920502092049986,-0.014644351464435212,0.0020920502092049986,0.002510460251045954,0.004184100418409997,0.026359832635983182
88,88,0.8326359832635983,0.7894736842105263,0.8293774031351671,0.917036379769299,0.01757322175732212,0.015481171548117123,-0.008368200836819994,0.0058577405857740406,0.0046025104602509526,0.00878661087866095,0.024267782426778184,0.03682008368200851
89,89,0.8535564853556485,0.8223350253807107,0.8585847382431233,0.9456521739130435,0.029288702928870203,-0.01966527196652712,-0.01882845188284532,-0.008368200836820106,-0.025104602510460317,0.02677824267782425,0.02552301255230116,0.01882845188284521
90,90,0.8075313807531381,0.7415730337078652,0.7906684412895593,0.9132653061224489,-0.028870292887029247,0.009623430962343082,0.016317991631799145,0.006694560669456173,0.0020920502092049986,0.005857740585774152,0.01966527196652712,-0.003765690376569042
91,91,0.8368200836820083,0.7979274611398963,0.8368456078083408,0.9377403135167109,0.03179916317991616,-0.002510460251045954,-0.010041841004184149,0.0046025104602509526,-0.01380753138075319,0.030962343096234135,-0.0029288702928870203,0.004184100418409997
92,92,0.8368200836820083,0.8,0.8388790298728187,0.9308636498077492,0.00878661087866095,-0.0029288702928870203,0.015062761506276168,-0.0029288702928870203,-0.0029288702928870203,-0.0029288702928870203,0.04476987447698755,0.013389121338912124
93,93,0.8493723849372385,0.8181818181818182,0.8551833776989057,0.9288671990535344,0.01589958158995819,-0.01757322175732212,-0.008368200836819994,-0.0033472803347279756,-0.009623430962342971,0.004184100418409997,0.006694560669456062,0.0071129707112970175
94,94,0.8368200836820083,0.8020304568527918,0.8409124519372967,0.9178497485950902,0.00878661087866095,0.0020920502092049986,-0.005857740585774152,0.007531380753137973,-0.017991631799163188,0.028033472803347115,0.0020920502092049986,0.00794979079497904
95,95,0.8368200836820083,0.7891891891891892,0.8287119195504289,0.9346347234545992,0.011297071129707126,0.02761506276150616,0.038075313807531375,0.010041841004184038,-0.002510460251045954,0.017154811715481166,-0.0004184100418409553,0.023012552301255207
96,96,0.8326359832635983,0.797979797979798,0.837511091393079,0.9323425022182786,-0.0004184100418409553,-0.020083682008368187,-0.010460251046025215,-0.020083682008368187,-0.00878661087866095,0.005020920502092019,-0.004184100418409997,0.006694560669455951
97,97,0.8619246861924686,0.8324873096446701,0.8674208813960367,0.9380360839988169,0.012970711297071169,0.0020920502092051096,1.1102230246251565e-16,-0.0033472803347279756,-0.023430962343096162,0.01589958158995819,0.011715481171548192,0.028033472803347337
98,98,0.8200836820083682,0.7650273224043715,0.8090062111801242,0.9299763383614315,0.0029288702928870203,0.01757322175732201,0.013389121338912013,0.0058577405857740406,-0.020083682008368076,0.0033472803347280866,1.1102230246251565e-16,0.023430962343096273
99,99,0.8368200836820083,0.8,0.8388790298728187,0.9163708961845608,0.014644351464435212,0.0008368200836820217,0.022175732217573185,0.00878661087866095,-0.0008368200836820217,0.009623430962342971,0.0058577405857740406,-0.0071129707112971285
100,100,0.8451882845188284,0.7955801104972375,0.8334812185743863,0.917184265010352,0.00878661087866106,0.02468619246861925,0.012133891213389147,0.03054393305439329,0.020920502092050097,0.018410041841004143,0.0188284518828451,0.023430962343096273
101,101,0.8451882845188284,0.8082901554404145,0.8456817509612541,0.9134131913635019,0.00502092050209213,-0.00794979079497904,0.003765690376569153,0.007531380753138084,-0.012552301255230103,0.0016736401673639323,0.005857740585774152,-0.002510460251046065
102,102,0.8284518828451883,0.7853403141361257,0.8259760425909495,0.9149659863945577,-0.0004184100418409553,0.002510460251045954,-0.008368200836819994,-0.010041841004184038,-0.01589958158995819,0.008786610878661172,0.019246861924686165,-0.008368200836819994
103,103,0.8284518828451883,0.7897435897435897,0.8300428867199054,0.9266489204377403,0.02175732217573212,-0.00794979079497904,-0.010041841004184038,0.0008368200836820217,-0.01757322175732212,0.009205020920502127,0.0071129707112970175,0.0004184100418409553
104,104,0.8117154811715481,0.7593582887700535,0.8042369121561668,0.9177018633540373,-0.029288702928870203,0.002510460251045954,0.011297071129707126,0.0046025104602509526,0.0071129707112969065,0.017573221757322233,-0.002510460251046065,0.0020920502092049986
105,105,0.8451882845188284,0.8102564102564103,0.8477151730257321,0.915927240461402,0.019246861924686054,0.013389121338912124,0.03054393305439329,0.012133891213389147,0.0188284518828451,0.011715481171548081,0.028033472803347226,0.02259414225941425
106,106,0.8410041841004184,0.8041237113402062,0.8422803904170364,0.9112688553682342,0.021338912133891275,-0.0008368200836820217,0.02092050209205032,0.002510460251046065,0.012552301255230103,0.021338912133891275,0.0167364016736401,0.005439330543933085
107,107,0.8451882845188284,0.8121827411167513,0.84974859509021,0.8919698314108252,0.006276150627615107,0.006694560669456062,0.016317991631799145,0.02175732217573223,-0.002510460251046065,0.04016736401673626,0.001255230125522977,0.03514644351464424
108,108,0.8410041841004184,0.7978723404255319,0.8361801242236024,0.9162969535640343,-0.005439330543933085,0.02092050209205032,0.015481171548117123,0.03179916317991627,-0.005020920502092019,0.033891213389121266,0.009623430962343082,0.020083682008368298
109,109,0.8117154811715481,0.7486033519553073,0.7961032238982549,0.9174800354924578,-0.006694560669456062,0.01589958158995808,0.023012552301255318,0.011715481171548081,-0.005020920502092019,0.017154811715481166,0.0033472803347279756,0.014225941422594146
110,110,0.8451882845188284,0.8102564102564103,0.8477151730257321,0.9318988464951197,-0.0029288702928870203,-0.006694560669456062,-0.00878661087866106,-0.014644351464435101,-0.02384937238493723,0.009623430962343082,-0.00878661087866106,0.0029288702928869093
111,111,0.8326359832635983,0.7752808988764045,0.8171768707482994,0.9245045844424726,-0.025104602510460206,-0.00794979079497904,0.06108786610878669,-0.0008368200836820217,-0.00878661087866095,0.024267782426778184,0.024267782426778184,0.02970711297071138
112,112,0.8410041841004184,0.8061224489795918,0.8443138124815144,0.9141526175687666,0.010041841004184149,0.001255230125523088,0.01087866108786606,0.0008368200836821327,-0.006694560669456062,0.01757322175732212,0.008368200836820106,0.02175732217573223
113,113,0.8368200836820083,0.8059701492537313,0.8449792960662525,0.909198461993493,0.011297071129707015,-0.0046025104602509526,-0.0016736401673640433,0.016317991631799145,-0.01380753138075319,0.0016736401673640433,0.00794979079497904,0.017991631799163188
114,114,0.8410041841004184,0.8041237113402062,0.8422803904170364,0.9242088139603667,0.0071129707112971285,0.00878661087866106,0.019246861924686054,0.014225941422594146,0.001255230125523088,0.006276150627615107,0.02259414225941425,0.017573221757322233
115,115,0.8451882845188284,0.8021390374331551,0.8395814847678201,0.9267968056787932,0.007531380753138084,-0.0058577405857740406,0.028033472803347226,0.029288702928870314,0.0029288702928871313,0.04644351464435148,0.007531380753138084,-0.0016736401673640433
