,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_temperature_fd3_scaled
36,36,0.9588477366255144,0.9591199627749335,0.9628299120234605,0.9879765395894429,2.3102555982265276,1.0266264142149837,1.7062950990123018,2.214541195691178,0.18404806410149732,0.0876543209876543,0.09176954732510287,0.05925925925925922,0.008641975308641936,0.006584362139917666,0.0,0.006995884773662519,0.0028806584362139785,0.007818930041152227,-0.007818930041152305,0.005349794238683103,0.0004115226337448541
37,37,0.9382716049382716,0.9384950745271078,0.9366710875331565,0.9778219864426761,2.823651942819297,1.0697500304605225,1.378850567697362,1.1932249044573986,1.3527755769449374,0.046913580246913535,0.10082304526748967,0.033744855967078144,-0.0037037037037037533,0.004526748971193384,0.000823045267489686,0.0016460905349793941,-0.0004115226337448985,-0.004938271604938349,-0.0028806584362140453,-0.0028806584362140453,0.0008230452674896748
38,38,0.9588477366255144,0.959224293283843,0.9655236261294623,0.9948896459783736,2.5494105690762896,1.1014013203989526,0.9102123059861228,2.1803914270373492,0.8483379606424384,0.10411522633744852,0.11358024691358022,0.03786008230452673,0.0,-0.0020576131687242926,0.0012345679012345622,-0.0020576131687242926,-0.0008230452674897082,-0.0016460905349794275,-0.006172839506172867,0.0012345679012345401,-0.002880658436214012
39,39,0.9506172839506173,0.9509811375402772,0.9538719285182428,0.9734177215189874,2.5572764679334337,0.7781900723080881,2.057042232454932,1.7970623407235808,0.58638307713804,0.07242798353909463,0.06707818930041154,0.04773662551440331,0.003703703703703687,0.004938271604938249,-0.003292181069958833,-0.0004115226337448541,0.0024691358024691245,-0.005349794238683103,-0.003292181069958833,-0.0024691358024691245,0.0024691358024691245
40,40,0.9547325102880658,0.9552444500482378,0.9598959974787268,0.9843208320201702,2.5507288776069785,0.601752482987733,1.653422180552785,1.9343397561451685,1.0391498697862613,0.08395061728395062,0.07407407407407407,0.04115226337448559,0.0020576131687242705,0.004115226337448541,-0.0028806584362139785,-0.0004115226337448541,0.00781893004115224,-0.0016460905349794165,-0.0037037037037036978,-0.005349794238683103,-0.0008230452674897082
41,41,0.9465020576131687,0.9465621404395065,0.9437908496732026,0.9884531590413943,2.365460404732771,0.45756814491118225,1.641513196513091,2.0883172813194326,0.9607964419521362,0.08436213991769549,0.07160493827160498,0.034979423868312785,-0.0028806584362139785,-0.005349794238683103,-0.009465020576131643,-0.005761316872427957,-0.003292181069958833,-0.0024691358024691245,-0.008230452674897082,-0.0020576131687242705,0.0024691358024691466
42,42,0.9670781893004116,0.9671861838168311,0.9656177156177157,0.9843045843045842,2.758118651551493,1.0870793560552767,1.8073322086229375,1.6727252257207383,0.5874814384981856,0.1041152263374486,0.07366255144032927,0.044855967078189354,0.0032921810699589214,0.007818930041152328,0.004115226337448652,0.007407407407407474,0.006172839506172922,0.0028806584362140565,0.011111111111111172,0.002880658436214023,0.002057613168724304
43,43,0.934156378600823,0.9351005591156868,0.9371345029239766,0.9715724496426251,3.066310415168104,1.182299499674007,1.3352388437451777,1.7306294771227193,0.6054513837504382,0.07777777777777775,0.06995884773662549,0.02716049382716047,-0.00452674897119344,0.006584362139917666,0.004938271604938249,-0.0028806584362139898,-0.0016460905349794275,-0.006172839506172856,-0.006172839506172867,-0.003703703703703709,-0.0024691358024691466
44,44,0.9506172839506173,0.9511541325390915,0.9567901234567902,0.9874256973022405,2.9142615672224284,0.9438579036980665,1.307549846662399,1.553118112801503,0.9649449174086382,0.11440329218106995,0.0748971193415638,0.03539094650205761,-0.0008230452674897082,0.00781893004115226,0.0020576131687242817,-0.0012345679012345622,0.0028806584362139785,-0.005349794238683103,0.0016460905349794165,0.0028806584362139785,-0.0004115226337448541
45,45,0.9382716049382716,0.9385529932802119,0.9348926380368099,0.9823619631901841,2.5151719710986975,1.3903365942063337,1.367395486336545,2.2245058774149102,-0.03881518578945247,0.09794238683127568,0.08477366255144028,0.06008230452674892,-0.006584362139917766,-0.0028806584362140453,-0.009053497942386902,-0.008230452674897193,0.0012345679012345512,-0.004526748971193506,-0.004938271604938338,-0.006995884773662619,-0.005349794238683192
46,46,0.9506172839506173,0.9511718966645591,0.9568251533742331,0.9802914110429448,3.228169546905427,0.9918004799605793,1.00269555877524,1.9702791612007666,0.532054727403765,0.1065843621399177,0.09958847736625515,0.043209876543209916,0.00781893004115225,0.020576131687242816,0.009876543209876543,0.0028806584362139785,0.014814814814814836,0.004115226337448541,-0.0016460905349794165,0.004938271604938249,0.009053497942386824
47,47,0.9465020576131687,0.9468362661645976,0.9479895755770662,0.9898734177215189,3.4071732460461757,0.7491484972489397,0.9665451553516743,1.806398484478504,0.7052445894369344,0.0991769547325103,0.09300411522633746,0.0563786008230453,-0.005349794238683103,0.0008230452674897303,0.0008230452674897082,0.0012345679012345622,-0.0028806584362139785,-0.008641975308641936,-0.003703703703703687,-0.0024691358024691245,-0.008641975308641936
48,48,0.9506172839506173,0.9512082905508146,0.956876456876457,0.9845376845376845,2.473152319239965,0.9843979632598325,1.4687681346482242,2.1476447575028064,0.20935200868985415,0.0897119341563786,0.08436213991769546,0.04279835390946503,0.0028806584362139898,0.009465020576131689,0.0024691358024691245,0.006172839506172823,0.0024691358024691245,0.0016460905349794165,0.004526748971193395,0.005349794238683103,-0.004938271604938249
49,49,0.934156378600823,0.934156378600823,0.9254601226993865,0.9852760736196319,3.3540432946028584,1.1649811683314848,1.629109303716633,1.5628602138794108,0.06590675239621671,0.06872427983539094,0.04773662551440326,0.03456790123456786,-0.014814814814814859,-0.011522633744856004,-0.012757201646090588,-0.009465020576131734,-0.010699588477366285,-0.010699588477366318,-0.016460905349794275,-0.017695473251028836,-0.023456790123456805
50,50,0.9382716049382716,0.9389186224906447,0.9443782576321669,0.9810126582278481,2.9345237157847683,1.0600891554552303,1.6770674237059253,1.5273714728634578,0.7106907426113246,0.10246913580246911,0.08230452674897114,0.043209876543209826,0.0028806584362139785,0.01481481481481477,0.0037037037037036757,0.005761316872427957,0.005349794238683103,0.004115226337448541,0.002057613168724259,0.006172839506172811,0.0008230452674896748
51,51,0.9547325102880658,0.9549453302110308,0.9533420808891633,0.979391787588762,2.392383095169639,0.7829334576612016,1.2621232778699654,2.3278015754716526,0.5220698620825684,0.10987654320987653,0.09588477366255141,0.04526748971193415,0.005349794238683103,0.01275720164609052,0.006584362139917666,0.005761316872427957,0.0028806584362139785,0.004526748971193395,0.004526748971193395,0.00493827160493826,0.006172839506172811
52,52,0.934156378600823,0.9346757346724429,0.9355045180722892,0.9605421686746987,3.672348806326177,0.470090929237184,1.4293544793348565,1.6363343678998301,0.7474460895035359,0.0604938271604938,0.10740740740740737,0.057613168724279816,0.0004115226337448541,0.014403292181069926,0.0020576131687242705,0.005349794238683103,0.003703703703703687,0.0012345679012345622,0.006995884773662519,0.011111111111111072,0.009465020576131643
53,53,0.9465020576131687,0.9468921117499929,0.9506785349481979,0.9820516562089596,2.5331516865292527,0.7789379679743647,1.0592299032485504,2.3324331862019125,0.8981720736786992,0.11646090534979425,0.09053497942386832,0.04485596707818933,0.005349794238683148,0.013580246913580295,0.003703703703703709,0.004938271604938283,0.006584362139917721,0.004115226337448541,0.0012345679012345846,0.0004115226337448541,0.005761316872428002
54,54,0.9506172839506173,0.9510605389007651,0.9535736338376042,0.9890398271071319,2.8325495256850375,0.7948889393550522,0.9423968418969119,1.724476451086254,1.2915956406651024,0.05514403292181071,0.08477366255144034,0.0345679012345679,0.00781893004115226,0.004115226337448552,-0.0016460905349794165,0.004115226337448541,0.0028806584362139785,0.0,0.00493827160493826,-0.003703703703703687,0.006584362139917666
55,55,0.9465020576131687,0.9472886606089985,0.9569401840490798,0.9716257668711656,3.3398075422504614,0.47391724501185617,1.4569252595979545,1.7418101101729373,0.8106327759040687,0.06337448559670786,0.08683127572016462,0.04814814814814816,0.007407407407407462,0.009876543209876599,0.01193415637860088,0.01399176954732515,0.006584362139917732,0.004526748971193406,0.0028806584362139898,0.008641975308642025,0.005761316872428024
