,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_humidity_fd2_scaled
22,22,0.9218106995884774,0.92244813169563,0.9237150051844172,0.9615612501851578,2.7158024395577987,0.2365189961278535,2.3313753318085935,2.0752434882724193,0.035500807052398234,0.19094650205761318,0.07242798353909469,0.027983539094650213,0.020164609053497973,0.012345679012345711,0.023456790123456805,0.013580246913580295,0.024691358024691357
23,23,0.9465020576131687,0.9465965602494287,0.9395682319571383,0.986211786952411,2.2247133959082808,0.5141284311378228,1.8857349082483468,2.343158422793422,0.12689743641431253,0.16049382716049387,0.07613168724279837,0.0646090534979424,0.013580246913580285,-0.006172839506172811,0.008641975308642002,-0.003703703703703687,0.004938271604938283
24,24,0.9094650205761317,0.9101090568006922,0.9089023848318767,0.9710413272107836,2.423038878868613,1.2634324006811657,1.9889622229232256,1.7955900301325443,-0.46205378693885407,0.16748971193415635,0.0687242798353909,0.006172839506172811,0.013580246913580207,-0.0020576131687242926,0.01975308641975305,-0.006995884773662586,-0.0012345679012345733
25,25,0.934156378600823,0.934156378600823,0.9272237196765498,0.9776879305181193,2.433453182023455,0.46653479541963644,1.686909895424312,1.9078168292341111,0.6130367166225137,0.17695473251028807,0.06831275720164606,0.04938271604938268,0.012345679012345656,0.008641975308641959,0.02798353909465018,0.0028806584362139785,0.0057613168724279466
26,26,0.9382716049382716,0.9391040148168959,0.9396366639141205,0.973905862923204,2.277296669185416,0.973567450533521,1.560470745380861,2.40720999118385,0.14242553158796573,0.18806584362139914,0.05432098765432093,0.031687242798353873,0.011934156378600791,0.008641975308641924,0.02427983539094646,-0.0008230452674897415,0.005349794238683092
27,27,0.9135802469135802,0.9149143165840693,0.9147864625302176,0.9618049959709911,1.7331608341202065,0.5643953641399245,1.448731390060106,2.636545639877551,0.5763541824617678,0.16748971193415635,0.07407407407407401,0.01769547325102875,-0.006995884773662609,0.0016460905349793941,-0.005761316872428035,-2.2204460492503132e-17,0.0061728395061728
28,28,0.9670781893004116,0.9672571388299029,0.9692018072289157,0.9918674698795181,1.532083078995605,0.49709693799033955,1.2523728666372946,3.3010715495948824,0.21138088218753381,0.2004115226337449,0.06995884773662556,0.0341563786008231,0.015226337448559724,0.016049382716049422,0.025102880658436254,0.0008230452674897303,0.0016460905349794607
29,29,0.9506172839506173,0.9507065171747711,0.9500355618776671,0.9780227596017069,1.809503086448907,0.9097700400593399,1.8713132350403723,1.7412030430688599,0.5465697637326724,0.20123456790123456,0.06995884773662552,0.04444444444444445,0.005761316872427991,-0.0004115226337448541,0.011934156378600824,0.0024691358024691245,0.0028806584362139898
30,30,0.9423868312757202,0.9427535408619252,0.9406759906759907,0.9864801864801864,2.312073449476736,0.811743559080792,1.5386124869443074,2.048011827488042,0.16000834411445303,0.20288065843621403,0.08600823045267493,0.020987654320987703,0.009876543209876599,0.0037037037037037646,0.01275720164609061,0.0061728395061728895,0.014814814814814859
31,31,0.9259259259259259,0.9262154176739188,0.9152046783625731,0.9653996101364521,2.891630894578647,0.24699654195212203,1.6229764350294453,2.157826606858327,0.24462466356277146,0.14897119341563786,0.05761316872427984,0.00781893004115226,0.008230452674897115,0.004526748971193406,0.016049382716049387,0.0032921810699588438,0.006584362139917676
