,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_scaled
53,53,0.9672727272727273,0.9673698202623824,0.9550387596899225,0.9942635658914729,1.9834209418961228,0.625534838141954,1.9667306532738944,1.3530721135263641,2.191665687081051,0.23454545454545456,0.19054545454545457,0.023272727272727278
54,54,0.9490909090909091,0.9493967582804792,0.9306340238543629,0.9897206528562461,1.9118687628015876,0.16245499751794684,2.7745883217240723,1.1977837655432741,2.572351279602404,0.22181818181818183,0.15127272727272728,0.02218181818181818
55,55,0.9636363636363636,0.9643801652892562,0.9628320110382891,0.9959468782338737,1.5716088267593489,0.5113972955796422,1.642340651952476,2.854594651374425,1.7553386727636757,0.20400000000000001,0.20109090909090907,0.01963636363636362
56,56,0.9745454545454545,0.974645792738919,0.960538197579917,0.9962073324905184,2.478541664556919,-0.07396252835216469,1.903139563169268,2.294532996979336,2.0465829250313554,0.22436363636363632,0.1734545454545454,0.00727272727272722
57,57,0.9672727272727273,0.9671597079198653,0.9454545454545454,0.9949586776859505,2.2367562376647787,0.15192373953473057,1.9134991725581307,2.022074325268206,2.1299051939255054,0.23454545454545456,0.17418181818181822,0.021090909090909105
58,58,0.96,0.960127936031984,0.9423788829872848,0.9952518911958796,2.5065714397941896,-0.2543043408158617,1.8972628230507116,1.6231880601453865,2.8093769273877545,0.22363636363636358,0.196,0.009818181818181781
59,59,0.9745454545454545,0.9742601752193204,0.9483256841747407,0.9975352711201768,2.172607567834885,0.17838123200481243,1.6933008455834442,1.9577081072401803,2.524929536822616,0.21927272727272723,0.16945454545454539,0.013818181818181775
60,60,0.9672727272727273,0.9676597460189479,0.955534140969163,0.990730543318649,1.659040712401106,0.7884149642358871,2.0983782997272566,2.4272313020733485,1.4990792268077529,0.21381818181818185,0.16945454545454547,0.016727272727272723
61,61,0.9745454545454545,0.9750085120871638,0.9766666666666667,0.9977777777777778,2.0065511554997633,0.20416928719918753,2.349628900034947,1.89820786837893,1.6157448169372324,0.24727272727272723,0.16836363636363633,0.009454545454545405
62,62,0.9781818181818182,0.978342688701433,0.9714635854341737,0.9959733893557423,1.7614509637081963,0.6911740203048924,2.2657338567712424,2.3768368926263683,1.0620286276437707,0.21018181818181816,0.18036363636363634,0.018181818181818143
63,63,0.9709090909090909,0.971129360835243,0.9588888888888889,0.9949333333333333,1.943779742751473,0.04653035957352075,1.8153108130086857,2.3636565666521565,2.1312946318675006,0.2454545454545455,0.18218181818181822,0.013818181818181851
64,64,0.9854545454545455,0.9855537190082646,0.9839534104239986,0.9994134405899111,2.080874245920073,0.6633054668055008,2.3923307746006177,1.3784986947541924,1.820692537776872,0.24654545454545457,0.17381818181818182,0.01818181818181821
65,65,0.9781818181818182,0.9783268101761252,0.9727272727272727,0.9977685950413223,1.1669770542181106,1.592331068886842,1.926545486847102,2.15708468687363,0.9180800385090531,0.2476363636363636,0.16945454545454544,0.015272727272727249
66,66,0.9709090909090909,0.9712674770301888,0.968694672460969,0.9953323676162884,2.3945829883059493,0.7034458750240099,2.359247174829534,1.9354514811066765,1.037083096694255,0.23818181818181822,0.17200000000000004,0.007636363636363686
67,67,0.9890909090909091,0.9892310555259661,0.9934782608695651,0.9992270531400965,2.293053724428683,0.6707077570444001,1.9704264194871992,1.6678816350238161,1.6564679951218442,0.23818181818181822,0.14690909090909096,0.008363636363636406
68,68,0.9709090909090909,0.9715041322314049,0.9746895481200414,0.9843911693687478,2.4960174137539908,1.2091211944107594,2.2640600667423096,1.1525670093811282,1.5296351653236484,0.2469090909090909,0.17272727272727273,0.022181818181818212
69,69,0.9890909090909091,0.9891316632803568,0.9857317927170868,0.9996498599439776,2.167097996403582,0.06496773896482545,1.8790569121598726,1.4298607597320632,2.7813101640781306,0.254909090909091,0.1734545454545455,0.019636363636363674
70,70,0.9745454545454545,0.9747959741601021,0.9704545454545455,0.9942148760330578,2.2838532206563387,0.6844819134169148,1.9945174614049832,2.582193477108483,1.2741355045640463,0.24654545454545446,0.16072727272727266,0.019999999999999917
