,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled
34,34,0.9781818181818182,0.9780251263270131,0.958438076085135,0.9971509971509971,2.9481037546911613,1.594943995114932,2.021413891239087,-0.09694720993238576,1.0291470636567726,0.23636363636363633,0.029090909090909067,0.010909090909090868,0.002909090909090928
35,35,0.9563636363636364,0.9553454545454546,0.9083375828658848,0.9896311405745368,2.1700179006643503,2.11722048248455,2.0064468173118155,1.6764750550745864,0.09929902977261953,0.20727272727272733,0.0487272727272728,0.00036363636363638817,-0.0021818181818181403
36,36,0.9636363636363636,0.9628529043623383,0.9240052185257664,0.995515329419439,2.352040208456871,2.214051558591634,1.6344063338460042,0.28415930154102964,1.1031166001368404,0.19781818181818184,0.014545454545454506,0.010909090909090868,0.000727272727272732
37,37,0.9745454545454545,0.9744640407069193,0.9586047989829969,0.9965835054822819,3.0389924132477444,1.609202074321288,2.0652160434878244,-0.20007917544623754,1.071791220443102,0.24145454545454542,0.05854545454545449,0.00363636363636356,0.003272727272727205
38,38,0.9563636363636364,0.9563636363636364,0.936046511627907,0.9903875968992248,2.3288088400318525,2.0055586211732566,1.6298010104454903,1.218079331172531,0.3832610486804294,0.18400000000000008,0.01490909090909095,0.009454545454545493,0.00545454545454549
39,39,0.9709090909090909,0.9710795715698427,0.9633720930232558,0.9947286821705427,2.497472666233232,1.4242983631022368,1.5538452387362187,0.974010119957392,1.0907112818900757,0.22327272727272723,0.05672727272727276,0.004727272727272758,0.007636363636363686
40,40,0.9563636363636364,0.9563636363636364,0.9298827129015809,0.9915009348971613,2.1131016564270637,2.097029866266447,1.1923745952566152,1.5547192515865018,0.7194081129805977,0.1974545454545455,0.02945454545454551,-0.0014545454545454085,0.0
41,41,0.9527272727272728,0.9520598930481283,0.9212454212454213,0.9931135531135532,2.2360674787611208,1.5934852063602143,2.4634983163353192,0.23458479862310408,0.8239934084708026,0.20800000000000002,0.02400000000000002,-0.0025454545454545617,0.000363636363636366
42,42,0.96,0.9601922833649588,0.9276006539955037,0.9908031882280809,2.7083228592273447,1.6090652480300078,1.3823231071157756,1.1526841067342504,0.9610954590359693,0.14218181818181816,-0.002909090909090939,0.010181818181818148,-0.001454545454545464
43,43,0.96,0.9601417691609883,0.9393166751657318,0.9912459629440762,2.1179000225245748,2.0572990875358577,2.0761971094590237,0.2846495755833952,1.1912448470332508,0.1945454545454545,0.07199999999999995,0.005090909090909035,-0.000363636363636366
