,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_scaled
89,89,0.9465020576131687,0.9467692728598301,0.9434360819902988,0.9820059458613675,1.8071773396693882,2.9586983734284096,1.391070148259636,1.399852359880817,-0.005274411294160163,0.2761316872427984,0.205761316872428,0.1563786008230453
90,90,0.9382716049382716,0.9384084549555586,0.925672268907563,0.9815126050420169,2.045564223788104,2.8677387094080538,0.05203438561672824,1.1094357770695653,1.2207286498086045,0.3707818930041152,0.27325102880658436,0.2263374485596707
91,91,0.9629629629629629,0.9631196091677191,0.9658250355618777,0.987624466571835,0.6573636429112846,3.465883737331638,0.6136482365842926,1.069796773303863,1.1492595770144236,0.33909465020576124,0.28724279835390937,0.19053497942386824
92,92,0.9547325102880658,0.9548172521683144,0.9484647369262754,0.9874460259075644,1.6373379706675357,3.1192921806461698,0.4668751981564951,0.8422973334276814,1.3276144851854268,0.37366255144032917,0.234156378600823,0.1423868312757201
93,93,0.9547325102880658,0.9555631233635768,0.9641282225237449,0.9836329715061058,1.4157372341452623,3.258765350778997,0.4817730761361939,1.073048044727464,1.5183520242780448,0.3670781893004115,0.33662551440329214,0.19547325102880658
94,94,0.9506172839506173,0.9509811375402772,0.9538719285182428,0.9819806403574087,1.1841174458933246,3.4249328463493267,0.39256698667625894,0.7842067511873761,1.535408083746606,0.36954732510288063,0.2588477366255144,0.2065843621399177
95,95,0.9588477366255144,0.9589827297710389,0.9561771561771562,0.9908313908313908,1.906946734462438,2.7579835353286253,0.36956714574481414,0.5888729720743738,1.9145605295994834,0.34032921810699585,0.31399176954732505,0.21316872427983533
96,96,0.9259259259259259,0.925636434177933,0.908763793379178,0.9773708619862467,1.1257912849248217,2.6142340343369437,0.9116110112612117,1.2879969729368266,1.4045990828034969,0.2987654320987655,0.2584362139917696,0.1765432098765432
97,97,0.9382716049382716,0.9382022786001893,0.9330176402544823,0.9783111625216889,1.7846248337385933,3.6327022625841243,0.8564726005649038,0.30948859777055343,1.0727091077216917,0.32551440329218106,0.28888888888888886,0.19382716049382714
98,98,0.9629629629629629,0.9631370883544796,0.9627199753010188,0.9918956468045693,0.7187829084804576,3.099164219556487,1.574363465749427,0.6269085942259831,1.26207386444811,0.3732510288065843,0.27325102880658425,0.20576131687242788
99,99,0.9382716049382716,0.9381863399496659,0.9307892777364111,0.9777364110201043,1.9842985160664075,3.142433701778263,-0.19067603851424275,1.1230699931018833,1.3043641951764515,0.3687242798353909,0.2761316872427983,0.18395061728395057
100,100,0.9300411522633745,0.9302682545121543,0.9284313725490196,0.9824981844589687,1.9606505425596086,3.3559897916198724,0.14294371010281642,0.643103030307113,1.5686168185151474,0.4090534979423868,0.3230452674897119,0.23580246913580244
101,101,0.9465020576131687,0.9465965602494287,0.9395682319571383,0.9844784115978569,1.4162977982412488,3.238100612645541,0.5360505663247699,1.4461086302850992,0.8348758687437459,0.34938271604938276,0.2707818930041152,0.16131687242798357
102,102,0.9547325102880658,0.9550658308013795,0.9567101226993865,0.9818251533742332,1.1044351021090817,3.0531458362423183,0.9363332944731276,1.562303645276879,0.73984604345269,0.32139917695473247,0.22016460905349794,0.1691358024691358
103,103,0.9423868312757202,0.9429885648091805,0.9433871741564049,0.981688789381097,1.1123615130933326,2.796330425355141,0.5965510197807078,1.4742651834571092,1.4562042704971432,0.3835390946502058,0.24444444444444446,0.15020576131687244
104,104,0.9382716049382716,0.9385191373495466,0.9359838274932615,0.9773884396525906,0.42377009140725747,3.4931376524556836,0.8712943916583745,1.2445291253797321,1.3000091882531812,0.36584362139917687,0.29999999999999993,0.23333333333333325
105,105,0.9506172839506173,0.9505124185515778,0.9456989247311828,0.982437275985663,1.1404985472085953,3.3013397517549814,0.3016664170711208,1.6208027332092558,1.2711300148208085,0.3534979423868313,0.27325102880658436,0.18024691358024691
106,106,0.9259259259259259,0.9257804856119864,0.9203413940256046,0.9796586059743955,1.7583331811523857,2.6895942512688924,1.0676092675049171,0.9032736384933374,1.0404882553995316,0.28312757201646094,0.11728395061728396,0.1580246913580247
107,107,0.9465020576131687,0.9468959818561756,0.9473926380368098,0.9878834355828221,1.3426214112594739,3.2647661459314623,1.1034162071908118,0.42542134115018443,1.4030033165756115,0.34938271604938276,0.254320987654321,0.21851851851851856
108,108,0.9588477366255144,0.9589595800814465,0.9573225516621743,0.9859988020365379,0.946979839713896,3.2866408867610732,1.182696869771572,0.4377348327050885,1.4578585999625466,0.3592592592592593,0.3098765432098765,0.25267489711934155
109,109,0.9588477366255144,0.9591404803639512,0.9628943860168864,0.9882980299214932,0.8646890839128965,2.957783158158329,0.14077454312862134,2.140008117216259,1.071351446336441,0.37078189300411524,0.27777777777777773,0.191358024691358
110,110,0.9300411522633745,0.9301441786038532,0.9232692016361157,0.9577336767156491,1.5476145917352688,3.2964734945927137,0.026896332121482205,0.6334446344733803,1.96194048591618,0.35596707818930046,0.3102880658436214,0.19135802469135804
111,111,0.934156378600823,0.9343472656056323,0.9293667626117255,0.9683381305862748,1.1635378322092542,2.8098904522026205,0.14280972015676846,1.8331549525245352,1.4394999900371876,0.3193415637860082,0.2666666666666666,0.18559670781893
112,112,0.9382716049382716,0.9382022786001893,0.9330176402544823,0.9835164835164836,0.8925184151210548,2.758927388355482,0.59307572683094,0.9804844804724616,2.181604230076721,0.35144032921810686,0.21646090534979417,0.18888888888888883
113,113,0.9465020576131687,0.9467459275095169,0.9442101226993864,0.9812116564417177,1.3712174602831622,3.707389581483685,0.897250066299049,0.44318783244773846,1.1518136704209039,0.3563786008230453,0.337037037037037,0.22057613168724283
114,114,0.934156378600823,0.9338216298624983,0.9243397052385816,0.9864293010360425,1.6073749896814156,2.965364599658895,0.10464018234519633,1.013830254937613,1.9063514947421578,0.29835390946502055,0.2209876543209876,0.15679012345679005
115,115,0.9218106995884774,0.9221037747797306,0.9184565249592653,0.9663753517997333,1.9358123513849128,2.841974786394735,0.9395530403735722,1.4823924758800386,0.46527724666616865,0.2757201646090535,0.14362139917695477,0.16049382716049382
116,116,0.9382716049382716,0.9381806993437316,0.9299322289156626,0.9865210843373494,1.7050822935345298,2.7848604529189998,0.5715266363785607,1.6070378008631534,0.874419931961149,0.3390946502057613,0.2024691358024691,0.13662551440329213
117,117,0.9547325102880658,0.9551441549508609,0.9559226430298147,0.9879129734085415,1.1026064310663268,3.473829957036453,0.7559863333508463,1.2551740381269407,0.8332086666882367,0.37037037037037035,0.30123456790123454,0.16831275720164612
118,118,0.9506172839506173,0.9510467797114385,0.9536426380368098,0.9884969325153374,1.0267380623729032,3.134867420199388,0.6705193582272585,1.115267348759362,1.0316092842362106,0.37037037037037035,0.3329218106995885,0.21687242798353915
119,119,0.9670781893004116,0.9668992397709201,0.9591069849690539,0.9957264957264957,1.7605010414669608,2.62029176845013,0.13667803728300332,1.6803277585313545,1.0485190077108908,0.3777777777777779,0.2559670781893004,0.17078189300411525
