,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_humidity_fd3_scaled,feature_importance.lefttop_humidity_fd1_scaled
110,110,0.9818181818181818,0.9818843328955688,0.9740427733701276,0.9989651604001379,2.5662571009302155,2.3800674451480917,1.3680698278410757,1.433353401203022,1.1442566049303773,0.10981818181818181,0.048363636363636366,0.0058181818181818334,-0.001454545454545464,0.002909090909090928,-0.0036363636363636598,-0.0010909090909090979,0.002909090909090928,-0.0025454545454545617,-0.0010909090909090979,-0.0036363636363636598,0.000727272727272732
111,111,0.9781818181818182,0.9785608505790773,0.9778138528138528,0.9952774498229043,2.3413308719541335,2.6328868951123945,1.3608646369293926,1.0731931132663313,1.62846391177128,0.10545454545454543,0.04799999999999999,0.017090909090909056,0.004000000000000015,0.002909090909090928,0.000363636363636366,0.0,0.0010909090909090979,0.0010909090909090979,0.0,0.004363636363636347,0.0
112,112,0.9672727272727273,0.9670022388400676,0.9467032967032967,0.9983150183150183,2.3257532943911845,2.3660404751179387,0.46432159276063173,1.6650866829949464,2.032432111873974,0.12618181818181823,0.06400000000000002,-0.0036363636363636485,0.0021818181818181958,-0.0014545454545454527,-0.005454545454545445,-0.0018181818181818078,-0.0014545454545454417,0.002909090909090928,0.0010909090909090979,-0.0036363636363636264,-0.0032727272727272718
113,113,0.9672727272727273,0.9676207061224253,0.9577009313556399,0.9949120386340118,2.8955931826838266,1.7549419924533292,1.6897340132968433,1.1294583465078352,1.2061052462383186,0.09963636363636366,0.041454545454545466,0.011272727272727268,0.00436363636363637,0.001454545454545464,0.0036363636363636598,0.000363636363636366,0.0,-0.001454545454545464,-0.0010909090909090979,0.0018181818181818299,0.0
114,114,0.9745454545454545,0.9744477877631861,0.9540878851540616,0.9974614845938375,1.713110531397828,2.3725633590208237,0.6009437535687744,2.4264928674538377,1.7970637578922544,0.09054545454545448,0.057454545454545404,0.01418181818181814,-0.001818181818181852,0.0018181818181817633,0.0003636363636363549,-0.0036363636363636598,-0.0021818181818181958,-0.004000000000000026,-0.003272727272727294,0.0003636363636363438,-0.0036363636363636598
115,115,0.9636363636363636,0.9636363636363636,0.9446724609689361,0.9948495090938355,2.2853656777422704,2.1072530037010853,1.0436755042207773,2.0447396479105726,1.270749379694975,0.10109090909090908,0.05454545454545454,0.025090909090909063,-0.0036363636363636598,0.000363636363636366,0.004363636363636359,-0.004000000000000026,-0.0018181818181818299,0.0040000000000000036,-0.0018181818181818299,-0.0025454545454545617,-0.0025454545454545617
116,116,0.9745454545454545,0.9747777212551335,0.9712378833624662,0.9953122517082473,1.882160506044848,2.2417736292452024,1.0207364358341342,2.097158614538069,1.8828615480446096,0.16436363636363632,0.07127272727272724,0.009454545454545405,0.006909090909090876,0.0007272727272726986,0.0,0.003272727272727205,0.00618181818181811,0.002909090909090861,0.0025454545454544953,0.0014545454545454195,0.0
117,117,0.9745454545454545,0.9747896960610605,0.9707273320287019,0.9958414872798435,1.6635727652827972,1.9327634711937323,1.297447096373115,2.03129164649969,2.112626578959315,0.12690909090909086,0.07418181818181811,0.011636363636363601,0.005818181818181755,0.0003636363636363438,-0.004727272727272758,-0.000363636363636366,-0.000363636363636366,0.00036363636363633266,-0.0010909090909090979,0.003636363636363582,-0.0036363636363636598
118,118,0.9672727272727273,0.9682007485243643,0.9714975845410627,0.996231884057971,2.5121222309169164,2.09121869730122,0.7828555000034767,1.4467289366253948,2.4140691355897537,0.10581818181818181,0.054545454545454564,0.0010909090909090868,-0.002909090909090928,-0.0036363636363636598,0.0,-0.0025454545454545617,0.0,-0.000727272727272732,-0.0036363636363636598,-0.0010909090909090979,-0.010909090909090868
119,119,0.9890909090909091,0.9890608548206137,0.9820053317535544,0.997704383886256,2.126245400232274,3.044925180767273,0.9129742424691741,1.1009276911437074,1.513500615429732,0.12472727272727276,0.07163636363636368,0.021818181818181848,0.014545454545454594,0.007636363636363686,0.002909090909090928,0.002909090909090939,0.006909090909090953,0.008000000000000052,0.0007272727272727431,0.005818181818181856,0.00036363636363638817
