,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_temperature_fd1_scaled
38,38,0.9490909090909091,0.9490909090909091,0.9253875968992248,0.9904651162790699,2.239557243645597,3.0300182162949207,0.7193017415328323,1.1626791418081737,1.1051695723838766,0.12072727272727275,0.061090909090909105,0.04472727272727273,0.006545454545454554,0.0018181818181818078,0.021090909090909105,0.0036363636363636485,0.004727272727272747
39,39,0.9745454545454545,0.9747664570535421,0.9717054263565892,0.9955038759689923,1.6823931072501737,2.677571659440499,0.5957406453401982,1.750116352530434,1.349691837079644,0.1349090909090908,0.13599999999999995,0.02799999999999995,0.0069090909090908535,0.00036363636363633266,0.002909090909090839,-0.0007272727272727431,0.0014545454545454417
40,40,0.9672727272727273,0.9680242861166698,0.9725480197178311,0.9925208227095019,1.2195306937356403,2.482979872388012,1.4190775058821399,0.9318720079393822,1.6626899554773444,0.12000000000000002,0.05636363636363637,0.03236363636363637,0.018545454545454552,0.002545454545454551,0.012363636363636354,0.015272727272727271,0.00763636363636363
41,41,0.9454545454545454,0.9463857928536884,0.943040293040293,0.9854945054945055,2.9031560798317493,2.12201922425026,1.299739803970952,1.1095244936066353,0.5656606715553312,0.12618181818181817,0.10145454545454544,0.03818181818181815,0.0029090909090909054,0.0058181818181818005,0.004363636363636347,0.0036363636363636043,0.000363636363636366
42,42,0.9709090909090909,0.9706164837872153,0.9340384222358471,0.9964234620886981,1.5593162138239283,2.668940905723276,0.6994167941089681,1.8635129563173662,1.4694283376694817,0.1061818181818182,0.07054545454545458,0.03272727272727275,0.020000000000000018,0.0061818181818182215,0.00290909090909095,0.001818181818181852,0.00545454545454549
43,43,0.9454545454545454,0.9470246694834401,0.9446710861805201,0.9888662247152813,1.8188979360755133,2.742403015640627,0.803752204321174,1.1543163257823228,1.3407938149122203,0.11381818181818182,0.05599999999999996,0.038181818181818164,0.016363636363636348,0.005090909090909079,-0.0061818181818181885,0.005090909090909068,-0.000363636363636366
44,44,0.9454545454545454,0.9463724233655896,0.9303076661567228,0.9831718510963794,2.3506831540278728,2.3992402083503572,1.1506177258083086,1.4187240737205764,0.9161648106210357,0.11709090909090909,0.07563636363636363,0.03745454545454545,0.005818181818181789,0.010545454545454502,0.003999999999999981,0.013454545454545441,-0.0021818181818181958
45,45,0.9709090909090909,0.9709090909090909,0.9578673203615751,0.9917266738164547,2.35239313352261,2.330063408559579,1.120885096555066,1.0909461114233359,1.3875780216034037,0.13963636363636364,0.04981818181818186,0.028727272727272747,0.012000000000000033,-0.0014545454545454195,0.0014545454545454972,0.0003636363636363993,-0.0007272727272726986
46,46,0.9636363636363636,0.9636363636363636,0.9407123145912384,0.9972404277337013,2.0195835654688343,2.37468537823608,1.6402960088585705,0.18366955941908325,1.690509143878154,0.11090909090909089,0.05018181818181818,0.025818181818181817,0.00836363636363634,0.0025454545454545287,0.0029090909090908946,0.006181818181818177,0.0029090909090909167
47,47,0.9745454545454545,0.9743189042362596,0.9549825836740875,0.9977283053157656,1.8033161428614886,2.577131389690513,0.9938800498965058,1.7865864797496391,0.7106338605094243,0.1316363636363636,0.11890909090909085,0.032727272727272695,0.008727272727272662,0.002909090909090861,0.00545454545454539,0.005818181818181767,0.013818181818181762
48,48,0.9672727272727273,0.9676117853313136,0.9581845996940337,0.9930307666156724,2.2352021657786203,2.7934810163053827,0.718440246559079,1.0947937970360182,1.1762217536132211,0.12654545454545454,0.09345454545454546,0.030545454545454553,0.008363636363636373,0.012363636363636365,-0.0029090909090909167,-0.005818181818181789,-0.0025454545454545287
49,49,0.9636363636363636,0.96481424578962,0.9775784753363228,0.9891341842014487,1.706616706136513,3.052844423156561,1.074082271139137,0.9216180400725802,1.3200260839844893,0.12363636363636361,0.0887272727272727,0.03890909090909089,0.021818181818181803,0.01272727272727272,0.006909090909090909,0.014545454545454528,0.011999999999999966
50,50,0.9672727272727273,0.9668638729691361,0.9321383420624887,0.9970200469568358,1.3831085317974712,2.006447369183052,0.9654712441192611,1.4030850994597013,2.478814768956662,0.0821818181818182,0.0821818181818182,0.028727272727272733,-0.0021818181818181737,0.0029090909090909167,0.00945454545454546,-0.0003636363636363549,-0.0036363636363636377
51,51,0.9818181818181818,0.981608895856178,0.9592963090720938,0.9977578475336323,1.8900289114323803,3.3392248542752174,0.2343563003796745,1.5706560064052875,0.7301712665511683,0.13854545454545453,0.06981818181818183,0.031272727272727265,0.003272727272727294,-0.003272727272727294,0.001454545454545464,0.0061818181818182,0.00436363636363637
52,52,0.9963636363636363,0.9963749773449544,0.9976958525345623,1.0,2.550100792217321,2.612678946838603,0.668130786259045,1.0740648131519588,0.9665655765518087,0.15018181818181814,0.10181818181818181,0.03527272727272723,0.006909090909090876,0.005090909090909068,0.004363636363636359,0.0036363636363636598,0.003999999999999981
53,53,0.9636363636363636,0.964244874622233,0.9647286821705426,0.9934883720930232,1.7322225657857322,2.9085076916226678,1.5915047331774042,0.7838407753389497,1.0786654854713895,0.13127272727272726,0.05927272727272727,0.0338181818181818,0.018545454545454552,0.008727272727272705,0.0029090909090908946,0.013818181818181795,0.005454545454545423
54,54,0.96,0.9605788160926105,0.9560577526679221,0.9898775894538606,1.5244201872174914,2.8072123054778415,1.0896760524904037,1.635230640615771,0.9953089827630144,0.12363636363636359,0.08981818181818177,0.04254545454545453,0.002545454545454506,0.006909090909090842,-3.3306690738754695e-17,0.008363636363636306,0.003636363636363593
55,55,0.96,0.9609423546553388,0.9605898585719214,0.9910313901345291,2.416110852103982,2.6933878535206333,0.6859272257530169,1.3769334903025026,1.1798970104644575,0.11563636363636362,0.07672727272727269,0.03199999999999996,0.0007272727272726875,0.008727272727272672,0.0076363636363635965,0.0018181818181817633,0.002909090909090839
56,56,0.96,0.9598379645433649,0.9277135633014267,0.9930467762326168,2.735285717075035,2.8375929816209764,1.0452896292671505,0.3886255383944818,1.5340967538979027,0.09927272727272722,0.06945454545454542,0.020363636363636327,0.010909090909090879,0.005454545454545401,0.011999999999999966,-0.002545454545454573,0.004727272727272658
57,57,0.9818181818181818,0.9818793736789181,0.975,0.9962809917355372,2.615381738195518,3.2973999536305008,0.4403895025044699,0.8954145656446186,0.6972153279328819,0.12981818181818178,0.09018181818181818,0.032727272727272716,0.010909090909090913,0.009818181818181827,0.010181818181818191,0.005090909090909113,0.009090909090909094
58,58,0.9527272727272728,0.9531695709986703,0.937791727023982,0.9929180750040238,1.6534940408823782,2.9170531064269083,1.0385565220984223,0.6463211782088929,2.235730015680086,0.12472727272727276,0.09272727272727274,0.03018181818181821,-0.0014545454545454417,-0.0014545454545454527,0.024727272727272764,0.0018181818181818299,-0.0025454545454545287
59,59,0.9781818181818182,0.9778514132925897,0.9505779364269931,0.9979602243753187,2.7208278337457013,2.403129984746573,1.021237238974278,0.5256709399927415,1.3214797923154373,0.12399999999999997,0.06036363636363634,0.02872727272727269,0.007272727272727231,0.0018181818181818299,-0.0007272727272727431,0.005454545454545434,0.0007272727272727208
60,60,0.9745454545454545,0.9746485680178586,0.9599394273127753,0.9959618208516887,1.8821285395893748,2.790470385999266,0.9337874860473881,1.9847032226064436,0.4426988621061883,0.12799999999999995,0.08363636363636358,0.03090909090909085,0.014545454545454495,0.003999999999999959,0.011272727272727222,0.009090909090909028,0.009454545454545405
61,61,0.96,0.9601534763721361,0.9366666666666668,0.9951111111111111,2.2097332243663446,2.9069228034230488,0.4833541615395746,1.7055389230069629,0.6673768742303284,0.12872727272727272,0.09018181818181814,0.02799999999999997,0.0025454545454544953,-0.009454545454545504,-0.001818181818181852,-0.01054545454545459,-0.003636363636363671
62,62,0.9745454545454545,0.974640547654166,0.9616596638655461,0.9963235294117646,2.1402889409711805,2.6234762757271186,1.225900305140807,0.6594566067629233,1.5693337573452313,0.12909090909090903,0.05454545454545451,0.045090909090909036,0.01490909090909085,0.009818181818181771,0.01927272727272722,0.015636363636363594,0.006909090909090842
63,63,0.9672727272727273,0.967639514977757,0.9566666666666667,0.9900444444444444,2.903952023799388,2.2527156198983707,0.7965661991143943,0.8285571623937196,1.3111726405595756,0.12945454545454546,0.07636363636363638,0.03600000000000001,-0.000363636363636366,0.0018181818181818299,0.0007272727272727431,0.000727272727272732,0.000727272727272732
64,64,0.9636363636363636,0.9636363636363636,0.9423914865091336,0.9955589073236132,1.6803489617589378,2.906158785262524,0.8960148210797152,1.5085476509155222,1.0723469280593803,0.13163636363636363,0.06836363636363638,0.025818181818181806,0.006181818181818177,0.0007272727272727208,-0.0010909090909090979,-0.001454545454545464,0.0021818181818181737
65,65,0.9709090909090909,0.9711024135681671,0.9613636363636364,0.9925619834710744,2.1319655703045255,2.106319685436029,1.3250865156677194,0.6933717074931195,2.063342082154665,0.1392727272727273,0.08290909090909095,0.018545454545454566,0.01127272727272729,0.009454545454545483,0.004363636363636403,0.0036363636363636598,0.0007272727272727653
66,66,0.96,0.9595961337191405,0.9294221793014646,0.995976178979559,2.641337885143665,2.7300351920857016,0.7873443965049579,0.8915369507152169,1.1648634108072682,0.11709090909090909,0.05199999999999997,0.025090909090909053,0.004363636363636303,0.008727272727272684,0.0014545454545454085,-0.003636363636363671,-0.00545454545454549
67,67,0.9745454545454545,0.9746575864222924,0.9579710144927536,0.9935265700483091,2.342135505049741,2.575239288597172,0.7566331095741177,1.4965188143473658,1.051568808192825,0.11890909090909085,0.08363636363636358,0.037818181818181765,0.017090909090909025,0.01818181818181811,0.009818181818181759,0.014909090909090861,0.005454545454545412
68,68,0.9709090909090909,0.9711180133821641,0.9599430838220075,0.9952569851672991,2.0004519499650195,3.1450843957490315,0.6293259156293937,1.1155946130186116,1.2966876960631306,0.11890909090909094,0.1043636363636364,0.0414545454545455,0.01236363636363641,0.014181818181818207,0.005818181818181856,0.013454545454545486,0.0065454545454545765
69,69,0.9563636363636364,0.9563636363636364,0.9277836134453781,0.9923844537815126,1.5894562025979917,3.3712329013074154,1.0369390193464274,1.3668378481300336,1.0241416712025935,0.1094545454545455,0.04909090909090915,0.0243636363636364,0.01090909090909098,-0.0010909090909090647,-0.0014545454545453972,0.0025454545454545842,-0.0021818181818181294
70,70,0.9818181818181818,0.9818793736789181,0.975,0.998595041322314,3.6271866375809454,1.9314496871092304,0.5610340330362729,0.5459001976895302,1.3725937635712095,0.12799999999999997,0.12181818181818178,0.03054545454545452,0.01527272727272726,0.00509090909090909,0.001454545454545464,0.002181818181818185,-0.0010909090909090979
71,71,0.9672727272727273,0.9671731843971505,0.9490310077519379,0.9913953488372094,2.854966436059647,3.08386954856218,0.9852658992159053,1.0825214323402181,-0.41317749271314375,0.14363636363636365,0.06836363636363638,0.04145454545454545,0.00872727272727274,0.010545454545454547,0.010545454545454535,0.007272727272727297,0.0061818181818182
72,72,0.9672727272727273,0.9676117853313136,0.9581845996940337,0.9908210096889343,2.438236209018605,3.033292913720087,0.49403987978587777,0.6147025005045131,1.1659636089509988,0.1312727272727273,0.1021818181818182,0.04036363636363639,0.02545454545454544,0.0061818181818182,0.007636363636363641,0.01272727272727272,0.0021818181818181958
73,73,0.9490909090909091,0.9497675383976755,0.9333417127534775,0.9895257248198426,2.6794772839500567,2.4368920335270468,0.6696309365665708,1.0121907345022987,1.522976384058747,0.11454545454545455,0.07018181818181819,0.043272727272727296,-0.0007272727272727208,-0.000727272727272732,0.008000000000000007,-0.0040000000000000036,0.0010909090909090979
74,74,0.9709090909090909,0.9709090909090909,0.956842435655995,0.9958411801632141,2.6078859137521424,2.3621597507259016,1.3853295219686117,0.8310118859209312,0.9230070988064062,0.11672727272727279,0.07890909090909093,0.038181818181818206,0.009454545454545493,0.017090909090909122,0.001818181818181852,0.015272727272727327,-0.0021818181818181515
75,75,0.9672727272727273,0.9678526920222241,0.9647671568627452,0.9957107843137255,1.9375282725725038,3.0527158557331093,0.1800210731476582,2.024585654774125,0.8299447546516303,0.09890909090909092,0.11127272727272727,0.02836363636363638,0.0061818181818181885,-0.0040000000000000036,0.0,0.0036363636363636598,0.001454545454545464
76,76,0.9636363636363636,0.9638660560796267,0.9511508128118462,0.9921937872203445,2.133991610161066,2.472939776759572,0.8708618774075273,1.7982508476005792,1.257945840575964,0.14254545454545453,0.10545454545454544,0.022545454545454546,0.005090909090909068,-0.00036363636363637706,-0.0003636363636363993,0.0018181818181818188,0.0014545454545454417
77,77,0.9709090909090909,0.9709090909090909,0.9477881146762863,0.9936396430605657,2.0979168788698312,3.0045231228609195,1.066220683664624,1.2803331322575169,0.667414972406641,0.1141818181818182,0.07854545454545458,0.042545454545454595,0.0123636363636364,0.006545454545454599,0.009454545454545483,0.00909090909090915,0.00290909090909095
78,78,0.9672727272727273,0.9679935750523985,0.96165797914996,0.9949879711307137,1.7731311582521816,1.9997175854259648,1.2071022935572444,0.9355212903444937,1.8085196325201722,0.11963636363636365,0.10872727272727274,0.028727272727272723,0.013818181818181808,0.013454545454545441,0.005454545454545478,0.009454545454545438,0.009818181818181827
79,79,0.9490909090909091,0.9496875914035405,0.9367937853107344,0.9920747018204645,1.2803394713953271,3.7161972884768075,0.8569929501158455,1.0366099968738416,1.4137619489699165,0.11090909090909092,0.08727272727272728,0.017818181818181823,0.011272727272727268,0.009454545454545448,-0.002545454545454551,0.0032727272727272826,0.022545454545454556
