,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_temperature_fd1_scaled
10,10,0.9527272727272728,0.9530993293903897,0.941980154028436,0.9881516587677723,1.4264402313395563,2.9679128888692934,0.39913841584436127,2.3802805840453134,0.8349171282729733,0.1043636363636364,0.05345454545454549,0.03345454545454547,0.0112727272727273,0.012727272727272754,-0.0003636363636363549,-0.0003636363636363549,0.0043636363636363916
11,11,0.9563636363636364,0.9572335883294787,0.9514278429372769,0.9872514023457419,2.250465130475126,3.1904263626333957,0.32522049837818,1.6893063009271347,0.5456586927328947,0.11272727272727279,0.05163636363636369,0.027272727272727317,0.018545454545454608,0.002545454545454595,0.009818181818181882,-0.002545454545454484,4.4408920985006264e-17
12,12,0.96,0.961407296351824,0.9753363228699552,0.9906864436012418,2.3100179532965686,3.5141011511588074,0.06977431319115786,1.5669102506817847,0.6226005583208656,0.11636363636363631,0.053090909090909064,0.04727272727272726,0.006181818181818122,0.011272727272727235,0.005818181818181745,-0.001454545454545464,-0.0010909090909090979
13,13,0.9672727272727273,0.9678095550184005,0.9656443774090833,0.9927099044746104,1.5957817123526938,2.749169352091921,0.44825680241963456,1.6890006289141262,1.2839624632094875,0.09927272727272728,0.05563636363636365,0.03345454545454546,0.024,0.00436363636363637,0.015272727272727271,0.014545454545454539,0.007636363636363652
14,14,0.9890909090909091,0.9891217112299465,0.9872406481902165,0.9993184915947297,1.9733830840022966,3.3801145224274483,0.1568116062924542,2.106854188674523,0.04308316537583122,0.12581818181818186,0.05527272727272731,0.033818181818181844,0.0032727272727273047,0.0010909090909091202,-0.0007272727272726986,-0.0010909090909090647,-0.0007272727272726875
15,15,0.9490909090909091,0.9495815904933677,0.9410519517795637,0.9793340987370839,1.7184975461745187,2.670910897784922,1.4114814428144833,1.8092057734903657,0.6764846278710679,0.11781818181818182,0.04690909090909092,0.03927272727272729,0.0061818181818182,0.009090909090909104,0.010545454545454535,-0.0010909090909090868,-0.0014545454545454527
16,16,0.96,0.9601417691609883,0.9393166751657318,0.9915859255481897,2.3502830552357556,3.0586172927175452,0.1873539500470262,1.5614760461717427,0.895580495561019,0.07381818181818178,0.04618181818181816,0.029090909090909056,-0.002909090909090939,-0.00909090909090915,-0.003272727272727294,-0.008363636363636417,-0.00545454545454549
17,17,0.9672727272727273,0.967162581923402,0.9462247227658187,0.9923352902804957,2.3814740588594927,2.765341024063124,0.34866788090499734,1.6834262904620194,0.8692867258396251,0.10400000000000001,0.04145454545454548,0.027272727272727292,0.004727272727272747,0.01054545454545457,0.002181818181818185,-0.0029090909090909054,0.000363636363636366
18,18,0.9781818181818182,0.9781818181818182,0.9706947996589941,0.9950980392156863,1.4848603762895314,3.336824726137839,0.23356172835214134,2.144926916911006,0.801588451306707,0.11781818181818178,0.08654545454545451,0.05127272727272725,0.023272727272727212,0.013090909090909065,0.009090909090909061,0.003999999999999981,0.004727272727272691
19,19,0.9527272727272728,0.9530412167653547,0.9451808892571113,0.9893675780171223,1.5217687814656298,2.6355486981575598,0.20159222008234307,2.4958566711624655,1.2065934397272058,0.10545454545454547,0.05309090909090913,0.019636363636363664,0.0036363636363636598,0.007636363636363675,0.002545454545454573,-0.0007272727272727098,0.001454545454545464
