,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled
43,43,0.9745454545454545,0.9748091663687993,0.9698708142104369,0.9970253272140065,2.8126820526619163,-0.0923761712450892,1.9611173753952895,2.1910742939224916,1.2768934234562475,0.26763636363636356,0.0243636363636363,0.013454545454545396
44,44,0.9636363636363636,0.964361323607899,0.9631140574536801,0.9946455889852116,2.329767658666282,0.2937562382070048,1.8634168769022414,2.55618583973857,1.074044077451731,0.2429090909090909,0.03236363636363635,0.011999999999999988
45,45,0.96,0.9598813307904216,0.9391374291404934,0.9937950053623411,2.358107262116045,0.04288796924851787,1.8825249168786,1.974630519092412,1.9799945009145692,0.2538181818181818,0.05345454545454542,0.023636363636363587
46,46,0.9745454545454545,0.9742524541986493,0.9474387719903414,0.9944808554674025,2.895767625123063,0.5038615879243903,1.4642779153874108,2.381143681775696,0.8183143977164253,0.23963636363636356,0.0225454545454545,0.00618181818181811
47,47,0.9672727272727273,0.9671780119121183,0.9502877479933363,0.9953051643192488,1.926651732205149,0.8139306792338867,2.068142514188264,1.6810649684772698,1.4193721222396192,0.2749090909090909,0.056000000000000015,0.013818181818181795
48,48,0.9854545454545455,0.9855563173210232,0.9838092809790924,0.9977902430732619,2.9926651669369675,0.16826850650629926,1.7086507759240697,1.6982218296579867,1.8991790607343078,0.2541818181818182,0.04436363636363636,0.022181818181818202
49,49,0.96,0.9595395708835918,0.9237236978268368,0.994222145567437,2.0977134396609762,0.602650636868744,2.827940941153791,1.3179477252341372,1.1122535411506929,0.22363636363636358,0.03745454545454543,0.015272727272727249
50,50,0.9709090909090909,0.9711353535353535,0.958325808199386,0.9936788874841972,3.1021451502583957,0.1457752072424766,1.6241045434555001,2.136684744920502,1.5602735300258093,0.22436363636363638,0.030545454545454598,0.0181818181818182
51,51,0.9854545454545455,0.9853444104914694,0.9689116936874784,0.9988789237668162,2.294006418203713,0.17445138965503662,1.3639383823376228,2.8055293106724495,1.2974989716532064,0.25381818181818183,0.02763636363636366,0.013090909090909108
52,52,0.9745454545454545,0.974294934930807,0.9522882567932625,0.9949944382647387,2.2972681378989943,0.22803285348944066,2.34942848317347,2.3318511248269083,1.2471844000533558,0.2672727272727272,0.0363636363636363,0.019636363636363553
53,53,0.9636363636363636,0.9638494644623035,0.9527131782945737,0.9952713178294574,2.21511175541879,0.49875175764244584,1.9417816802837677,1.8472558688822818,1.6047441314812756,0.2541818181818182,0.03672727272727272,0.016363636363636348
