,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_temperature_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd3_scaled,feature_importance.backtop_humidity_fd2_scaled
172,172,0.9465020576131687,0.9467459275095169,0.9442101226993864,0.9870398773006135,1.7896428156492001,1.6437878297978334,1.2823372625006986,1.9064656223369834,0.47540015835820926,0.17283950617283955,0.07983539094650208,0.051440329218107005,0.01193415637860088,0.005349794238683136,0.0016460905349794386,-0.0024691358024691245,0.01316872427983542,0.0012345679012345733,0.0028806584362139785,0.0069958847736625975,0.005349794238683148
173,173,0.9465020576131687,0.9461905306435076,0.9378419234091564,0.9877627411459833,2.446212309635391,1.7624375600470863,0.43325940543344166,2.2315900058742972,0.2051070033488677,0.15967078189300413,0.10781893004115228,0.051851851851851885,0.02757201646090538,0.00452674897119344,-0.0028806584362139785,-0.005349794238683103,0.012757201646090566,-0.004938271604938238,0.0008230452674897082,0.006995884773662586,-0.002057613168724259
174,174,0.9259259259259259,0.9259259259259259,0.9132142857142858,0.9765079365079364,2.3008370277446173,1.54260592738192,1.0888339211437847,2.5008242004097685,0.032654607442071076,0.11028806584362139,0.08189300411522635,0.030452674897119336,-0.0024691358024691245,-0.003703703703703687,-0.0016460905349794165,0.007818930041152283,-0.0020576131687242705,0.0049382716049382715,0.005761316872427957,-0.00987654320987653,0.0012345679012345622
175,175,0.9259259259259259,0.9259259259259259,0.922226173541963,0.9750355618776672,1.739590026618576,1.5310757374875457,1.4098882295325756,2.0672877035425867,0.7360038105940967,0.11893004115226335,0.06995884773662552,0.04115226337448561,0.009465020576131711,0.003703703703703687,0.00781893004115226,-0.0028806584362139785,0.003292181069958855,0.0024691358024691358,0.003292181069958833,0.014814814814814826,0.008230452674897115
176,176,0.9423868312757202,0.94267266719374,0.9451635846372688,0.9907539118065434,3.155064410544864,0.7074318400532645,0.4445925347705949,2.062596585318264,0.813587162276227,0.19465020576131692,0.06913580246913584,0.051028806584362194,-0.0024691358024691136,0.0004115226337448763,-0.000823045267489686,0.006584362139917777,-0.004938271604938249,-0.001234567901234529,-0.0004115226337448541,0.006584362139917777,-0.0004115226337448208
177,177,0.9382716049382716,0.9387568893048469,0.9417550839964632,0.973990568818155,2.4680251558847606,1.013069993959352,0.9768853802734544,1.8201368025435403,1.2774450500052814,0.16337448559670772,0.11069958847736619,0.042386831275720106,0.014403292181069904,0.009465020576131643,0.004526748971193395,0.0061728395061728,0.026748971193415606,0.006584362139917666,0.000823045267489686,0.000411522633744843,0.004115226337448541
178,178,0.9670781893004116,0.9672814103541126,0.9690490892250694,0.9919728311207162,3.1769985985978026,0.9496420398699819,1.089762174264373,1.8213761011889502,0.3446352842450643,0.18395061728395062,0.10288065843621404,0.06172839506172843,0.017695473251028836,0.005761316872428035,0.00246913580246918,-0.0020576131687242484,0.010288065843621453,0.00246913580246918,0.003703703703703776,-0.0020576131687242484,0.0032921810699588993
179,179,0.9259259259259259,0.9260892616155774,0.9228758169934641,0.9798111837327523,2.19030346112731,1.1617421824925955,0.8280804922901678,2.2602906294346097,0.9412868565635578,0.09012345679012346,0.06666666666666668,0.030452674897119336,0.005761316872427968,0.0,0.0004115226337448541,-0.005349794238683103,0.0004115226337448541,0.005349794238683125,-0.0024691358024691245,0.0004115226337448541,-0.0004115226337448541
180,180,0.9382716049382716,0.9386440542529987,0.9390830988001777,0.9914086801955266,1.8335981405291544,1.557687099885871,1.1565967894988016,1.6494470494641555,0.6583646705147541,0.12798353909465016,0.07654320987654314,0.04485596707818925,0.005761316872427935,0.0012345679012345512,-0.0016460905349794607,0.004526748971193373,0.008641975308641936,0.003703703703703665,-4.4408920985006264e-17,-0.00905349794238689,-0.004115226337448608
181,181,0.9382716049382716,0.9381748686096514,0.9290123456790124,0.9907026367931717,2.496835770849545,1.528214574104899,0.8306593180727864,1.9471675418365824,0.6473803503956096,0.1835390946502057,0.0641975308641975,0.0534979423868312,0.003703703703703665,0.00041152263374480966,-0.006995884773662619,0.004115226337448541,0.001646090534979383,0.003703703703703665,-2.2204460492503132e-17,0.0004115226337448319,-0.004526748971193473
