,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd1_scaled
214,214,0.9854545454545455,0.98552812858783,0.9852472089314195,0.9967377120487169,2.9163127561836255,1.4316946963750523,1.3564405441836553,2.1829576708597576,0.8376091822357411,0.18909090909090912,0.049090909090909116,0.012000000000000033,0.004000000000000026,-0.0010909090909090979,0.00981818181818186,0.000727272727272732,0.000727272727272732,0.000363636363636366,0.000727272727272732,0.0010909090909090979,0.000363636363636366
215,215,0.9745454545454545,0.9741860962566844,0.9514652014652014,0.9980219780219781,2.7991213553584346,1.4646969328877797,1.2137080887648575,2.237631023564218,1.531121214870751,0.1825454545454545,0.05563636363636358,-3.3306690738754695e-17,0.0010909090909090534,0.002909090909090861,0.013454545454545408,-0.0014545454545454861,0.005090909090909035,0.0021818181818181403,0.002545454545454506,0.00036363636363632155,0.0010909090909090424
216,216,0.9854545454545455,0.9855590066910821,0.9836581579855121,0.9964642980338048,2.7919045515618293,1.738155846468839,1.5349387768904603,2.0042430767085135,1.3206731672510155,0.14000000000000004,0.048,0.000363636363636366,0.0,-0.0021818181818181958,0.009090909090909139,-0.000727272727272732,-0.0036363636363636485,0.0,-0.000363636363636366,-0.0018181818181818299,-0.0021818181818181958
217,217,0.9745454545454545,0.9746544573282767,0.9586576798936777,0.9970571482817543,2.3292252663147948,2.0055841339944402,1.6596957027606207,2.289213485654467,0.9236076397164934,0.1294545454545454,0.034181818181818126,-0.010181818181818247,-0.002545454545454573,-0.0036363636363636598,0.007999999999999941,-0.004000000000000026,-0.006909090909090953,0.0,0.0003636363636363549,-0.0021818181818181958,-0.0061818181818182215
218,218,0.9854545454545455,0.9854545454545455,0.9762849258364954,0.9984477406002069,2.382500087777549,1.3730271932157916,1.7946297443503456,2.3120820324193154,1.5962398904832324,0.15163636363636365,0.03781818181818183,0.0,-0.0021818181818181958,-0.0010909090909090979,0.00545454545454549,0.0,0.0,-0.0018181818181818299,0.000363636363636366,0.0,0.002909090909090928
219,219,0.9745454545454545,0.9749849742510293,0.9769317005864091,0.9990513970334598,1.8465075671383437,1.5151563871992235,1.5168202739383099,1.9934218198459448,1.919276423023976,0.14909090909090902,0.026909090909090837,-0.001454545454545475,-0.004363636363636403,-0.0043636363636363916,-0.0025454545454545617,-0.0043636363636363916,-0.0043636363636363916,-0.0072727272727273196,-0.0021818181818181958,-0.0061818181818182215,-0.0061818181818182215
220,220,0.9745454545454545,0.9746209713151862,0.9656976744186045,0.9972093023255815,2.849937221906685,1.2358229626359456,1.5753050861354445,1.8970988849893033,1.1326353012674413,0.1254545454545454,0.051999999999999935,-0.008000000000000052,-0.0043636363636363916,-0.004727272727272758,0.004727272727272658,0.0025454545454545174,-0.006545454545454588,-4.4408920985006264e-17,0.003272727272727205,-0.0036363636363636598,-0.0021818181818181958
221,221,0.9890909090909091,0.9891209633612047,0.9873465109314166,0.9996256364180892,3.3909591574129307,1.4438160387578685,1.1439103556230095,1.2025947790623073,2.1004968903524834,0.19381818181818183,0.061454545454545505,0.0043636363636363916,0.006909090909090953,0.01090909090909098,0.010545454545454613,0.005818181818181856,0.012363636363636443,0.004727272727272758,0.0072727272727273196,-0.0003636363636363438,0.002909090909090928
222,222,0.9818181818181818,0.9816563601687569,0.9653945176434954,0.9982583674087536,2.7381495469790234,0.6245747024546834,1.4121806838368303,2.700706146503628,1.3790556768096232,0.1625454545454545,0.04036363636363636,0.005454545454545478,0.006545454545454565,0.0036363636363636598,0.00436363636363638,0.0010909090909090979,0.004000000000000026,0.003272727272727294,-0.000363636363636366,0.004000000000000026,0.0036363636363636598
223,223,0.9818181818181818,0.9820584644114057,0.979978354978355,0.9991145218417946,2.272202672666622,0.8228360727900695,2.1214545849368154,2.7314873376018496,0.7677821981294124,0.11236363636363636,0.03890909090909089,0.008363636363636384,0.014909090909090882,0.009454545454545448,0.019999999999999997,-0.006545454545454565,0.00618181818181821,-0.0010909090909090979,-0.0021818181818181958,-0.000363636363636366,0.0043636363636363916
224,224,0.9781818181818182,0.9779443127962085,0.9597288676236044,0.998767580107293,2.2378095413204506,1.0310895113472358,1.7020632139220595,2.546812289388023,1.5794686619125033,0.17054545454545453,0.05490909090909089,0.007999999999999974,0.0010909090909090758,0.004727272727272714,0.012363636363636344,-1.1102230246251566e-17,0.003999999999999992,0.0021818181818181958,0.000727272727272732,-0.0021818181818181958,0.0021818181818181737
225,225,0.9854545454545455,0.98554414198482,0.9844668679485142,0.9957889718735102,2.8593057716057775,1.4592582621353252,1.8815746963938165,1.583712795881465,1.3020624515648331,0.16654545454545455,0.04363636363636364,0.003272727272727294,0.0,0.004727272727272758,0.015636363636363636,-0.0010909090909090979,0.006545454545454588,0.000727272727272732,-0.0003636363636363438,-0.000727272727272732,-0.000727272727272732
226,226,0.9818181818181818,0.9818793736789181,0.975,0.9986776859504133,2.90747623796899,1.5289942982117004,1.5971707038208267,1.2171801839190577,1.3310253465860793,0.12836363636363635,0.03927272727272726,-0.004727272727272747,0.0040000000000000036,-0.001454545454545464,0.013090909090909097,0.01200000000000001,-0.005454545454545478,0.005454545454545467,0.01018181818181817,0.002909090909090928,0.004000000000000026
227,227,0.9709090909090909,0.9712500522305947,0.9691619585687382,0.9941933458882611,2.8870062483571015,0.9439453107771342,1.6867984951456527,2.2134350589375,1.410414849845746,0.17745454545454553,0.029090909090909122,-0.002909090909090839,0.002909090909090928,0.002909090909090939,0.004363636363636403,0.003636363636363671,0.004727272727272758,0.001454545454545464,0.002909090909090928,0.000363636363636366,0.002909090909090928
