,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_scaled
60,60,0.9745454545454545,0.9750337884567967,0.9763674743024964,0.996787812041116,1.4962912879456922,2.8349187262343163,2.655979142747702,1.1978885577168168,0.8435516962586623,0.2167272727272727,0.026545454545454504,0.022909090909090858
61,61,0.9890909090909091,0.9892131716592522,0.9933333333333334,0.9992000000000001,1.6203481972973786,2.3752988665147616,2.5288692335830545,0.3187520049968197,2.1544373076509586,0.2552727272727274,0.033090909090909115,0.02000000000000004
62,62,0.9818181818181818,0.982016635050343,0.9812675070028011,0.9990371148459384,2.357478966849135,2.0814270087843205,2.0504544736223567,1.5509032199512827,0.9553831445649877,0.24763636363636365,0.012363636363636365,0.01963636363636364
63,63,0.9781818181818182,0.9781818181818182,0.9633333333333334,0.9970666666666667,1.8596302143769021,2.538538031921514,2.089942104223351,1.2830379719198817,1.379020944192397,0.23636363636363633,0.020727272727272705,0.01672727272727268
64,64,0.9890909090909091,0.9890522447742759,0.9792190380425674,0.9989944695827049,2.153999278833724,2.23174891810305,2.4847014746995613,1.6748830036586935,0.7369402935014517,0.26000000000000006,0.03818181818181824,0.01563636363636369
65,65,0.9963636363636363,0.9963758747357836,0.9977272727272728,0.9999173553719009,1.3187173120871063,2.6133577670735844,2.6162526150607563,0.7825845515281845,1.328981805950036,0.2770909090909091,0.02981818181818178,0.03127272727272725
66,66,0.9781818181818182,0.978319633647776,0.9732818284242717,0.9971833252856912,1.8588162102163766,1.7804805887677846,2.50828296128254,1.3184568850754705,1.5900409456222084,0.2770909090909091,0.02618181818181814,0.016363636363636323
67,67,0.9927272727272727,0.9927272727272727,0.9867149758454106,0.9989371980676329,1.8041209251749988,2.8298314036968155,2.9167887036982285,0.4308140224464363,0.8422290324409726,0.23999999999999994,0.025454545454545396,0.016727272727272702
68,68,0.9745454545454545,0.9749849742510293,0.9769317005864091,0.9925836495343222,2.065700370529431,2.4389371936822952,2.641194392931408,1.2042142461177385,0.8692088325617604,0.24727272727272717,0.019636363636363584,0.022909090909090844
69,69,0.9963636363636363,0.9963772210934522,0.9977678571428572,0.9999124649859944,0.9441185281398026,2.1671508917118363,2.29176803559881,1.7271460478191767,1.8027555448584596,0.25890909090909087,0.027636363636363626,0.023272727272727257
