,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_humidity_fd3_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_temperature_fd1_scaled
65,65,0.9672727272727273,0.9673828726220526,0.9522727272727273,0.9954545454545455,2.6193797336534232,3.140284127365404,1.1292137183831465,0.9712290432621646,0.5330566863557571,0.1294545454545455,0.1483636363636364,0.02654545454545455,0.02072727272727275,-0.000363636363636366,-0.000727272727272732,0.006909090909090953,0.0
66,66,0.9563636363636364,0.9560736523750223,0.9271286013198132,0.991952357959118,2.183378021728877,3.196570999228573,0.727512046898235,2.158832598951622,0.1773740398989285,0.11927272727272734,0.1225454545454546,0.028363636363636435,0.025818181818181872,0.002909090909090939,-0.0047272727272726685,-0.0021818181818181403,-0.0007272727272726986
67,67,0.96,0.9605138702618762,0.9403381642512076,0.991304347826087,2.93500911731766,3.27022565862542,1.8354912761537667,1.346977293545338,-0.6106451390363816,0.1036363636363636,0.11818181818181812,0.025818181818181785,0.016363636363636313,0.0047272727272726685,0.0014545454545453972,0.009818181818181771,0.003272727272727227
68,68,0.9745454545454545,0.97514513478067,0.9843049327354261,0.9927561228009659,2.9270611014444055,3.2398130782692274,1.1225932149050843,1.0897810506235954,0.07903176487722034,0.14072727272727267,0.12181818181818176,0.04727272727272722,0.007636363636363575,-0.0007272727272727541,0.0007272727272727208,0.0025454545454544953,0.0007272727272727098
69,69,0.9672727272727273,0.9676299430906171,0.9571953781512605,0.9943102240896359,2.7352984419500443,3.0427648155180886,1.2295962262845355,1.083845208195248,0.24781299166866105,0.12036363636363641,0.1298181818181818,0.03600000000000002,0.009818181818181827,0.005090909090909123,-0.0018181818181818078,0.0018181818181818299,0.002909090909090928
70,70,0.9709090909090909,0.9707055471761354,0.9477272727272728,0.9945454545454546,2.505054907548327,3.180720481470612,1.9635647056689698,1.8391164951931693,-0.9635659147864498,0.12909090909090915,0.1276363636363637,0.028363636363636403,0.01818181818181821,0.0014545454545454861,0.0025454545454545842,0.0007272727272727431,0.0007272727272727541
71,71,0.9636363636363636,0.9636363636363636,0.946705426356589,0.992015503875969,1.921540590586848,3.331325694493995,1.7882109757911535,1.4011660930814713,-0.03146597135629871,0.12872727272727272,0.13236363636363638,0.03636363636363634,0.0021818181818181958,0.006909090909090898,0.005454545454545434,0.004363636363636359,0.000363636363636366
72,72,0.9527272727272728,0.9538128577240786,0.9491755906850247,0.9847866734659187,2.162974366331223,3.201008093422077,1.2311397984266939,1.747495729041178,0.3353298159842675,0.0883636363636364,0.13963636363636364,0.03454545454545458,0.025454545454545473,0.0018181818181818299,0.005090909090909123,-0.000363636363636366,0.0021818181818181958
73,73,0.9527272727272728,0.9532045692410156,0.9356041561923916,0.9809787162728338,2.0308680329501883,3.02320757905246,1.55777408785771,1.1707983455253945,0.8915210125235723,0.1225454545454546,0.10254545454545458,0.038181818181818226,0.011636363636363667,0.005818181818181856,0.001454545454545464,-0.0021818181818181958,-0.003272727272727294
74,74,0.9672727272727273,0.9671706584408661,0.9483678593848086,0.9934871311989957,2.7071332031327673,3.236332967756786,1.2385190976276166,1.4423868960050306,-0.11592368933327583,0.13272727272727275,0.10581818181818181,0.037454545454545476,0.0010909090909090979,0.008000000000000007,0.004727272727272758,0.00436363636363637,0.004000000000000026
75,75,0.96,0.9604365971107545,0.9451593137254901,0.9920343137254902,2.4143415052484998,3.0362172861544727,1.1884322546989048,1.4091237874725244,0.6157889916812606,0.11199999999999996,0.11636363636363634,0.029090909090909067,0.006181818181818144,-0.005090909090909123,0.003636363636363571,-3.3306690738754695e-17,-0.001818181818181841
76,76,0.96,0.9603742523834903,0.9488572348301947,0.9886528247223564,2.4456002991487176,3.024172009059915,0.7489319462823086,1.9118278675610811,0.335315750650238,0.14581818181818176,0.14909090909090902,0.033090909090909074,0.03199999999999996,0.0021818181818181294,0.008363636363636306,0.014181818181818162,0.003636363636363582
77,77,0.9781818181818182,0.9787049107655935,0.9868995633187774,0.9925004746535029,2.8357671739866093,3.2453124353749794,1.4858082662927259,0.7516390138305624,0.16817060342657103,0.12872727272727272,0.13199999999999995,0.04618181818181816,0.016727272727272702,0.000727272727272732,0.002545454545454551,0.0014545454545454527,0.000727272727272732
78,78,0.9563636363636364,0.9559377961094698,0.9078287890938253,0.9915797914995991,2.62108618641543,3.15429669825406,1.1171004977975894,1.9555646772801636,-0.24958785035786543,0.1585454545454546,0.11127272727272734,0.029090909090909157,0.019636363636363684,0.002909090909090939,0.0072727272727273196,0.0,0.006545454545454588
79,79,0.9490909090909091,0.9496875914035405,0.9367937853107344,0.9853264281230383,2.0099773076623686,3.179483239966209,1.0655944503227122,1.447363866448304,0.7769086518206466,0.14945454545454545,0.12836363636363637,0.029454545454545476,0.01781818181818181,0.0021818181818181958,0.0010909090909090979,0.003272727272727294,0.000727272727272732
