,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled,feature_importance.leftlow_humidity_fd2_scaled
113,113,0.9818181818181818,0.9818843328955688,0.9740427733701276,0.9982752673335633,3.7817145133950203,0.24372919439351473,1.9773454691074115,1.7048159334928565,1.1481714583334293,0.2727272727272727,0.015272727272727271,0.014545454545454539,-0.000363636363636366,0.007272727272727297,0.001454545454545464,0.0043636363636363916,-0.0036363636363636598,0.005454545454545478,0.0043636363636363916,0.0018181818181818299,-0.0021818181818181958
114,114,0.9781818181818182,0.9780121212121213,0.9563200280112045,0.99781162464986,3.198888162098519,0.9374488845964665,1.9355821478902946,1.1173407783276303,2.2463053851618433,0.21854545454545454,0.01345454545454543,0.01345454545454543,0.0036363636363636485,0.002909090909090928,0.0,0.0036363636363636264,-0.000363636363636366,0.010181818181818136,0.0,-0.000363636363636366,0.0036363636363636598
115,115,0.9818181818181818,0.981634606235973,0.962618702720103,0.9977466602285531,3.0731828251342352,0.3540432757855103,1.7460184416672582,2.0109080784858917,2.016913273047142,0.2534545454545455,0.021090909090909105,0.029454545454545435,0.004000000000000015,0.008363636363636384,0.0010909090909090868,0.00436363636363638,0.00800000000000003,0.005090909090909123,0.004000000000000026,0.010909090909090879,0.007636363636363652
116,116,0.9745454545454545,0.9747777212551335,0.9712378833624662,0.9975369458128079,2.993596833277402,0.28804769691033927,1.7777933173950997,2.04758269104731,2.1491069893999613,0.2672727272727272,0.010909090909090858,0.0014545454545454085,0.0032727272727271937,-1.1102230246251566e-17,0.0003636363636363549,-2.2204460492503132e-17,-0.003272727272727294,0.003272727272727205,0.0,0.0003636363636363549,0.0003636363636363549
117,117,0.9781818181818182,0.9783231640402089,0.9730104370515329,0.9982061317677756,4.073364070477796,1.0779117123686277,2.108795881487352,0.5565398219164531,1.583794101135241,0.26509090909090904,0.010909090909090858,0.014181818181818129,0.00509090909090909,0.0,0.002909090909090928,0.000727272727272732,-0.003272727272727294,0.0069090909090908535,0.0025454545454545617,-0.008363636363636417,-0.004000000000000026
118,118,0.9854545454545455,0.985700227357562,0.991304347826087,0.9987439613526571,3.133217910544585,0.5529347498775121,1.9014703703198295,1.6828579311573033,1.9530075142252397,0.21927272727272734,0.005090909090909113,-0.0007272727272726986,0.002909090909090928,0.002909090909090928,0.000363636363636366,0.002909090909090928,-0.0010909090909090979,0.002909090909090928,0.002909090909090928,-0.00436363636363637,-0.0010909090909090868
119,119,0.9781818181818182,0.9779323448019496,0.9585678317535544,0.9991854265402843,3.518277353371894,0.7730281363198535,2.2698956259060306,1.5457981115821948,0.8306907817225514,0.29599999999999993,0.009090909090909061,0.02290909090909088,-0.0072727272727273196,-0.004727272727272758,-0.0036363636363636598,-0.006545454545454588,-0.0061818181818182215,-0.006909090909090953,-0.0036363636363636598,-0.0025454545454545617,-0.006909090909090953
120,120,0.9818181818181818,0.9816480670984137,0.9643410852713179,0.9976744186046511,2.6494420445409776,0.6745854344189047,2.539148228063773,1.8501212024738642,1.4304038279322469,0.2672727272727273,0.020727272727272726,0.026909090909090893,-0.004000000000000026,0.0010909090909090979,0.003272727272727294,0.001454545454545464,0.000727272727272732,0.009090909090909104,0.0010909090909090979,0.008727272727272717,0.000363636363636366
121,121,0.9781818181818182,0.9783385100366232,0.97180062090376,0.9980165574335977,3.7713273480701277,0.6175105092224928,2.0772067250008384,1.8717882938713828,0.7439352892698043,0.2516363636363636,0.014909090909090894,0.013090909090909075,-0.0025454545454545617,-0.004727272727272758,-0.005818181818181856,0.0,-0.0025454545454545617,-0.0021818181818181958,0.000727272727272732,-0.00545454545454549,-0.004000000000000026
122,122,0.9854545454545455,0.9852400514283921,0.962962962962963,0.9999162057985588,4.237154758902606,0.4392731722867557,1.8599456865570263,1.3163166120753136,1.0204597564474174,0.28145454545454546,0.005090909090909123,0.01054545454545459,0.0,0.0,0.000363636363636366,0.006909090909090953,0.002909090909090928,-0.0010909090909090979,-0.0021818181818181958,-0.004727272727272724,-0.0010909090909090979
123,123,0.9818181818181818,0.9818778293454791,0.975293542074364,0.9968199608610567,3.3036485476833457,0.7094124917485579,2.333785754710467,1.8284613087336798,1.4679653257392946,0.28945454545454546,0.010909090909090901,0.0061818181818181885,-0.000727272727272732,0.000363636363636366,0.006909090909090953,0.008363636363636384,0.0010909090909090979,0.0036363636363636598,0.01018181818181817,0.0036363636363636598,-0.000727272727272732
124,124,0.96,0.9603649905437813,0.9493882091212458,0.9928491975210552,3.560449889441476,0.35457931482835287,1.7503098271336843,1.8438210435082854,1.546956992418996,0.2789090909090909,0.011999999999999966,0.007999999999999962,-2.2204460492503132e-17,0.0007272727272727098,-0.00545454545454549,0.0007272727272726875,-0.008363636363636417,-0.000363636363636366,0.0003636363636363549,-0.00545454545454549,-0.0007272727272727541
125,125,0.9781818181818182,0.978503559221048,0.9788888888888889,0.9983111111111111,3.608220867848935,0.7856657812749236,2.4856986183131733,0.7910524525780043,1.7112249356516884,0.23672727272727273,0.0014545454545454417,0.0018181818181817965,0.000363636363636366,0.00436363636363637,0.004727272727272724,0.007272727272727231,-0.0036363636363636598,0.006909090909090865,0.000363636363636366,0.000363636363636366,0.0
126,126,0.9781818181818182,0.9779975567545555,0.953928046989721,0.9981644640234949,4.109117752845586,0.6763972534883103,2.2899456185258176,0.5947335894202649,1.6138548148676508,0.22254545454545452,0.002545454545454551,0.008363636363636328,-0.001454545454545475,0.0,0.0,-0.000363636363636366,0.005818181818181789,0.004000000000000015,0.004363636363636359,-0.0043636363636363916,-0.00545454545454549
127,127,0.9890909090909091,0.9890551205745309,0.9801625623692258,0.9983904715918237,3.891684968324575,0.42322452596704624,2.2883181597822873,1.1347681367284994,1.1763712754078899,0.2716363636363637,0.026909090909090973,0.032000000000000015,0.001454545454545464,0.0010909090909090979,0.004000000000000026,0.002181818181818207,0.000363636363636366,0.004727272727272758,0.000363636363636366,0.006545454545454588,0.005818181818181856
128,128,0.9745454545454545,0.9744640407069193,0.9586047989829969,0.9959478785952646,3.4710425751047174,0.735350951697849,1.815807500896101,1.5821541819721203,1.7171863979781,0.26290909090909087,0.02254545454545447,0.018181818181818098,0.0,-0.005818181818181856,-0.000727272727272732,-0.0025454545454545617,0.0039999999999999255,-0.0018181818181818299,-0.003272727272727294,0.008363636363636306,0.0072727272727272085
129,129,0.9781818181818182,0.9778684344722082,0.9522727272727273,0.9972727272727273,4.079212785931243,0.7218535074054188,2.591169709880846,0.97427369713392,1.1424876746000914,0.25490909090909086,0.010545454545454502,0.014181818181818162,-0.000363636363636366,0.0010909090909090979,0.0,0.0018181818181818078,-0.000363636363636366,0.000363636363636366,0.0065454545454544984,0.0021818181818181958,0.0025454545454545617
130,130,0.9854545454545455,0.9852840647937937,0.9682539682539683,0.9989517819706499,3.7005319308285096,0.3201921749871638,2.3164521224648587,1.5985405953646554,1.1689655912070025,0.296,0.022909090909090934,0.021454545454545483,0.003272727272727294,0.0025454545454545617,0.0,-0.002909090909090928,0.0036363636363636598,-0.002545454545454551,-0.003272727272727294,0.000727272727272732,0.002909090909090928
131,131,0.9854545454545455,0.9854545454545455,0.9786821705426356,0.998217054263566,3.775459339985273,0.5161521064808783,1.343303462284747,1.3741483727182222,2.016916898663773,0.26981818181818185,0.015272727272727294,0.017454545454545466,-0.0065454545454544984,0.0010909090909090979,0.004727272727272758,0.003272727272727294,0.0072727272727273196,-0.004000000000000015,0.004000000000000026,0.0,0.002909090909090928
132,132,0.9963636363636363,0.9963522953823185,0.9915254237288136,0.9997645951035782,4.107720573326375,0.4100299707679851,1.7852563900070813,1.0710132248123707,1.8028686871306454,0.27963636363636357,0.013818181818181795,0.025818181818181796,0.004000000000000015,0.0036363636363636598,0.00436363636363637,-0.000363636363636366,0.000727272727272732,0.000363636363636366,0.0,0.007636363636363575,0.0040000000000000036
