,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_humidity_fd3_scaled
67,67,0.9465020576131687,0.9468362661645976,0.9479895755770662,0.9912137006701415,2.0084669965937834,0.9731475797896193,2.1748765716898073,1.4843761484279268,0.0768522292903436,0.1876543209876543,0.01810699588477368,0.004526748971193461,0.0037037037037037203,-0.002057613168724259,-0.008641975308641936,0.008641975308642025,-0.0004115226337448319
68,68,0.9135802469135802,0.9146545857700108,0.9164877300613496,0.9727760736196319,2.904310439134832,0.4366056299546486,1.5380185305881418,1.290580892479334,1.1929567375587244,0.21769547325102873,0.041152263374485555,0.03292181069958844,0.001646090534979383,0.0020576131687242484,0.0012345679012345401,0.006995884773662519,0.014814814814814758
69,69,0.9218106995884774,0.922518242797062,0.923230421686747,0.9677710843373494,2.1398539912877066,0.925575738888565,1.2125270645021182,1.8736395993060215,0.6976364039741861,0.1794238683127572,0.04197530864197535,0.03251028806584366,0.0020576131687242817,0.0041152263374485635,1.1102230246251566e-17,0.007407407407407441,0.023868312757201672
70,70,0.9382716049382716,0.939038989835722,0.9444401840490797,0.9769938650306749,2.1114420187866725,0.5801457693820932,1.4107784213487586,1.690209371696839,1.3858008353979012,0.20987654320987645,0.07325102880658431,0.050205761316872356,0.010699588477366207,0.007407407407407374,0.02057613168724276,0.008230452674897071,0.008230452674897071
71,71,0.9300411522633745,0.9311041224546576,0.9383297313985799,0.9798548934856437,2.194907985667118,0.9567334162717247,1.9104023159057881,1.3679807878311956,0.5734145538562245,0.1958847736625514,0.043621399176954734,0.032510288065843586,-0.011111111111111127,0.006995884773662531,0.0008230452674897082,-0.0020576131687242926,0.01275720164609051
72,72,0.9094650205761317,0.9103544404619673,0.9111635220125787,0.9575471698113208,2.5933850403981995,0.6472075126042562,1.8359004509029906,1.5189648598155,0.6083660627514731,0.18641975308641973,0.03868312757201643,0.039094650205761285,-0.0049382716049383045,0.014403292181069916,0.005349794238683103,-0.004115226337448552,0.01481481481481477
73,73,0.9423868312757202,0.9425592082007777,0.9382716049382716,0.9800335314738606,2.631406540760359,0.6071507462005905,2.0277533765446574,1.0351141095559542,0.5881264685567561,0.22304526748971196,0.04814814814814818,0.020987654320987693,0.0012345679012346067,0.015226337448559713,0.016460905349794275,0.006584362139917754,0.035802469135802525
74,74,0.9259259259259259,0.9264908144218488,0.9265498652291105,0.9788858939802336,1.835190414202581,0.7979533336087035,2.5035648418071563,1.6380267661298784,0.3801086926631858,0.21069958847736622,0.0337448559670782,0.009876543209876553,-0.004526748971193395,0.004526748971193406,0.0008230452674897193,-0.003292181069958833,0.0074074074074073955
75,75,0.9506172839506173,0.9508945903075882,0.9507650356006665,0.9834873504014544,1.4022710373117593,1.1286025073796306,2.0562140057668463,1.828926465667189,0.5448537608968399,0.22139917695473255,0.03950617283950618,0.022633744855967097,0.011522633744855982,0.0028806584362139785,-0.0024691358024691245,0.011111111111111127,0.006995884773662553
76,76,0.9423868312757202,0.9425646496977086,0.9379601226993866,0.9777607361963191,2.483682568071017,0.5974676298693748,1.6924066353865246,1.65139597528105,0.8911259177510054,0.21193415637860086,0.03703703703703709,0.04526748971193419,0.004526748971193461,0.013991769547325162,0.007407407407407474,0.0037037037037037533,0.023456790123456826
77,77,0.9094650205761317,0.9103544404619673,0.9111635220125787,0.9595687331536389,2.261022995282682,0.7202102837064891,2.174856951169595,1.703741679795266,0.40356517065084013,0.20781893004115223,0.050617283950617264,0.02263374485596705,0.013580246913580207,-0.0008230452674897303,0.0028806584362139564,0.010699588477366207,0.004115226337448541
