,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_humidity_fd1_scaled
67,67,0.9547325102880658,0.955114891584519,0.9597542814594192,0.9889054355919583,0.7909564135392688,0.788757992597661,1.5055293304598907,2.9527363703309386,0.5416963694136301,0.2185185185185185,0.05308641975308641,0.031275720164609035,0.018930041152263367,0.003703703703703687,0.004526748971193395,0.01069958847736624,0.004526748971193395
68,68,0.9218106995884774,0.9231247084044203,0.932170245398773,0.9717791411042945,2.0497909378624506,0.8223773840428042,1.3500134352074142,1.8407431463248358,0.9570708572013722,0.2148148148148148,0.052674897119341604,0.049382716049382734,0.018518518518518545,0.005349794238683148,0.007407407407407441,0.01316872427983543,0.0004115226337448763
69,69,0.9094650205761317,0.9103855796065248,0.9109563253012047,0.9746987951807229,1.4517326528650554,1.0963136145249337,1.3195661690702654,2.376006008469557,0.28610537969645544,0.20699588477366246,0.013580246913580207,0.0275720164609053,0.0185185185185185,-0.012757201646090555,-0.012757201646090566,-0.01111111111111116,0.007407407407407385
70,70,0.897119341563786,0.8975883221336864,0.8883052147239264,0.975383435582822,2.407252361300447,1.4609316893907889,1.7948931100662853,1.2419657085953246,-0.1762986416696428,0.154320987654321,0.04238683127572018,0.022633744855967107,0.014814814814814826,-0.01646090534979422,-0.013991769547325084,-0.013168724279835365,-0.010288065843621363
71,71,0.9135802469135802,0.914471121740073,0.9130132757023772,0.9731398579808583,2.0959001414489515,1.158382792818702,1.5942388580745053,2.214725675790841,-0.49684523437718486,0.2144032921810699,0.029629629629629572,0.03045267489711929,0.014403292181069904,-0.004938271604938327,-0.002057613168724326,0.000411522633744843,0.0016460905349793941
72,72,0.897119341563786,0.8980191338176333,0.8961141060197664,0.949685534591195,1.7940954814011858,0.6787652684796741,1.6232801997759194,2.4444063757042116,0.26051536457789237,0.18271604938271607,0.044444444444444474,0.02962962962962965,0.027160493827160515,0.016872427983539127,0.007407407407407429,-0.0004115226337448319,0.011934156378600857
73,73,0.9423868312757202,0.9427208835341365,0.941358024691358,0.9682975156226185,2.058238300073196,0.45519671993651356,1.65608213926308,1.8287043651327368,0.5339059970311658,0.225925925925926,0.041563786008230484,0.04115226337448563,0.03004115226337454,0.008641975308642035,0.004526748971193484,0.00823045267489717,0.022222222222222275
74,74,0.9094650205761317,0.9092025509445187,0.8971248876909255,0.9773884396525907,0.8678904528597711,0.8008025658102342,1.7436600605540757,2.3830805724422466,0.8217312317434222,0.19835390946502054,0.02716049382716045,0.038271604938271565,-0.0069958847736625975,-0.007818930041152273,-0.01028806584362143,-0.022633744855967086,-0.004938271604938316
75,75,0.9382716049382716,0.9385357926895541,0.9354643235873352,0.9834873504014543,1.3687097265435801,1.3016569697596714,1.4706714960743472,1.9031355229003664,0.4670710196721986,0.2123456790123456,0.024691358024691322,0.044855967078189264,0.032098765432098705,0.006584362139917666,0.004526748971193384,0.010288065843621352,0.0032921810699588104
76,76,0.9176954732510288,0.9179494995681552,0.9100076687116564,0.9739263803680982,1.3468975023155538,0.7658429607560779,1.3635819844222132,1.9123383905374418,1.440226842943115,0.22345679012345684,0.04197530864197535,0.03086419753086426,0.026337448559670816,0.00905349794238689,-0.0012345679012345178,-0.005349794238683103,0.01687242798353914
77,77,0.897119341563786,0.8980191338176333,0.8961141060197664,0.9547768793051812,1.1821876815780874,0.8443121563640754,2.1016271003663523,1.7870674483543274,0.7384619482572614,0.208641975308642,0.028806584362139953,0.04032921810699589,0.016460905349794254,0.0012345679012345956,0.002057613168724304,0.0024691358024691358,0.0037037037037037203
78,78,0.9670781893004116,0.9669765787735609,0.9601954249356157,0.9934100893803969,1.6510253843892606,0.44385366223118017,1.891353344430603,1.850040310100567,0.6827521556404912,0.24320987654320989,0.05185185185185189,0.06666666666666672,0.027983539094650234,0.016872427983539127,0.007407407407407474,0.010288065843621453,0.018106995884773703
79,79,0.9506172839506173,0.950922115531169,0.9502933004013584,0.9866471133065762,0.9060869510035882,0.8748317793186872,1.9753322567292773,2.925665069226166,0.0018702955130940535,0.22263374485596704,0.04732510288065844,0.04979423868312758,0.021810699588477377,0.006172839506172834,0.00864197530864197,0.013580246913580275,0.006995884773662553
