,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_humidity_scaled
39,39,0.9547325102880658,0.9549080661217748,0.9543186895011169,0.9897989575577066,1.8435142589769202,2.0955304074839263,1.288854408878706,0.9065106837542493,1.0769555499230736,0.32551440329218106,0.23209876543209873,0.16090534979423868
40,40,0.9547325102880658,0.9546501813555068,0.9455562559092341,0.9889694295619288,1.5577269109913316,2.597930813425988,1.823728293671795,0.7301628255793452,0.5583047287771743,0.3473251028806584,0.2436213991769547,0.19094650205761315
41,41,0.9547325102880658,0.9546797903393539,0.9503267973856209,0.9779230210602761,1.8334490834776853,2.089949188859589,1.544415343480601,1.146938712821753,0.48935846235713537,0.31810699588477365,0.2378600823045267,0.14115226337448558
42,42,0.9465020576131687,0.946015568466229,0.9301864801864801,0.9940947940947942,1.177605757824708,1.9722064120726819,1.4763782189915247,0.9482627693265547,1.645627503099009,0.3646090534979424,0.25555555555555554,0.1699588477366255
43,43,0.9300411522633745,0.9309318016246948,0.9301900584795322,0.9750649772579598,1.3779216214453782,2.0147058574013976,1.5756619661515485,0.5033492599661942,1.549882501402999,0.3666666666666667,0.2135802469135802,0.1876543209876543
44,44,0.9506172839506173,0.9506172839506173,0.9444444444444444,0.990474013107758,1.5672322301051966,2.9369714976751085,1.3598804838862024,0.6433252578549988,0.6002852616573096,0.35390946502057613,0.22674897119341564,0.20123456790123456
45,45,0.9506172839506173,0.9506172839506173,0.9440950920245399,0.9802914110429448,1.5409860284951304,2.6733420691394927,0.842264134025238,1.228592030293486,1.0903609448679716,0.38436213991769547,0.26213991769547323,0.24074074074074076
46,46,0.9300411522633745,0.9309108551471516,0.935122699386503,0.9825920245398773,2.312702502277888,2.156869020880789,1.9750766194134024,0.44396929527599316,0.10218383305922218,0.3436213991769547,0.2337448559670782,0.17736625514403292
47,47,0.9423868312757202,0.9428113271303237,0.9448250186150409,0.9903201787043932,1.6543720985937518,2.5365283296123704,1.1471808205696459,0.9829481889649783,0.747688291144991,0.34444444444444444,0.24732510288065845,0.168724279835391
48,48,0.9465020576131687,0.9470710873713146,0.9504662004662006,0.9883449883449883,2.376605823692779,2.0276605589442616,1.8250073888063998,6.884119434539247e-05,0.6345231685206149,0.32510288065843623,0.2111111111111111,0.15679012345679014
49,49,0.9670781893004116,0.9670781893004116,0.9627300613496932,0.9926380368098159,1.574406949701466,2.1615458189310246,1.3498455688154236,0.8175070984586342,1.1760676405145631,0.39547325102880665,0.22469135802469137,0.20699588477366254
50,50,0.9547325102880658,0.9547930182108221,0.9516008935219658,0.9881608339538347,1.114713332837174,2.245519351327378,0.9936917600008827,0.9153121814856494,1.8873417252988665,0.3950617283950617,0.24691358024691357,0.26296296296296295
51,51,0.9588477366255144,0.9589787043348734,0.9563908613769682,0.9786971287434394,2.211226524900886,2.5819347301437197,1.2310237147828402,-0.23038397610784397,1.166972459491182,0.37119341563786007,0.254320987654321,0.23456790123456783
52,52,0.934156378600823,0.9339593764007574,0.9239081325301205,0.9789909638554217,1.8171481467937922,2.20910774379741,1.5272673101613883,1.1429349278690581,0.733612126097394,0.34814814814814815,0.21687242798353906,0.15925925925925924
53,53,0.9300411522633745,0.930276861812854,0.9282066248358383,0.9846052823580913,1.616126933107111,2.2636988706742245,1.654926415314983,0.3420529781321494,1.4757362630133697,0.3078189300411523,0.23168724279835384,0.18436213991769543
54,54,0.9547325102880658,0.9550764293726597,0.9566224143254091,0.9796233405372029,2.2501579052740177,2.384934389838432,0.944676813424774,0.11466500314525259,1.3096993935655254,0.3794238683127572,0.22016460905349794,0.2316872427983539
55,55,0.934156378600823,0.9347290396152511,0.9350076687116564,0.9834355828220859,0.9181594555066961,2.841746565078118,1.7612126965728736,0.5995767926577565,1.2971433188322725,0.35802469135802467,0.23703703703703702,0.23662551440329213
