,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled
24,24,0.9381818181818182,0.9362099380335283,0.8787144446210075,0.9872080088987764,2.4792513942643497,1.0793532846490597,2.045726303792758,0.7820129137775482,1.3017826132700405,0.19090909090909094,0.010545454545454603,-0.008727272727272672,0.025090909090909153
25,25,0.9636363636363636,0.9629970611585442,0.9327606635071091,0.9884478672985783,2.23684057421131,0.7279610542742789,2.1080511405007667,2.4297543390280896,0.347501279934602,0.22581818181818183,0.03309090909090908,0.002181818181818185,0.013818181818181808
26,26,0.9490909090909091,0.9490909090909091,0.9225414453565105,0.9901818767101238,2.55804136979227,1.4144065264289514,1.5140571077467755,1.3752913106651226,0.744981832002745,0.21345454545454548,0.018181818181818177,-0.0072727272727273196,0.010909090909090924
27,27,0.96,0.9586902086677368,0.9099871237727346,0.9930790278448415,1.9644704526191537,1.7322772641733595,2.0086737328420066,0.745935486909443,1.2139952518472572,0.20109090909090904,0.013090909090909042,0.003272727272727227,0.01672727272727269
28,28,0.96,0.9598544676297485,0.9321349651538331,0.9925208227095019,2.409185249776069,1.1437377928245702,2.3550983529254497,0.755621046756686,0.9240968884658588,0.172,0.03818181818181815,0.00654545454545451,0.027636363636363605
29,29,0.9636363636363636,0.9633292612575929,0.9286894273127753,0.9921989720998531,2.912127100225458,1.7834188958803168,1.7985447842657953,0.09519605801837296,0.9684443278353361,0.18,0.03927272727272727,0.006545454545454532,0.03563636363636362
30,30,0.9454545454545454,0.9456204502471733,0.9221594475831764,0.9851694915254237,2.580376681544856,1.5213484825144026,1.8981733068841018,0.8933495886525296,0.8624953288399895,0.21127272727272722,0.02981818181818181,0.0018181818181818078,0.017090909090909066
31,31,0.9636363636363636,0.9634066711931006,0.9398932831136222,0.9934086629001883,3.1539747240826173,0.47308085337612676,2.10760519323691,1.0220119587585819,0.7082788562617109,0.21490909090909088,0.018181818181818167,-0.004000000000000026,0.003999999999999981
32,32,0.96,0.9598618652353907,0.9340909090909091,0.9953719008264463,2.901210944460126,0.7684189996150362,1.9129718761336676,0.9542940355752575,0.9926365350180838,0.18654545454545451,0.026545454545454504,-0.012363636363636387,0.009454545454545415
33,33,0.9745454545454545,0.9747896960610605,0.9707273320287019,0.9876060013046315,2.532653952868271,1.8467735949258188,1.8446451540895363,0.7513795918140661,0.4841848474307347,0.21163636363636357,0.01999999999999994,0.009454545454545393,0.03709090909090904
