,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd1_scaled
26,26,0.8125502815768303,0.8061333304462982,0.7584557016011042,0.8500601228520148,1.0672438827827109,-0.23462702617354028,-0.10047831870922351,3.012507933592837,1.8013374693966462,0.09839098954143206,0.06444086886564768,0.07860016090104587,0.06210780370072409
27,27,0.7988736926790024,0.7881002683285565,0.7342468323629605,0.8368982075952931,1.7766944596345813,-0.22246284377660497,-0.11315221069047371,2.3999746804940334,1.7910782858260024,0.08736926790024138,0.06492357200321801,0.07055510860820595,0.05374094931617056
28,28,0.8069187449718423,0.7981827718044757,0.7499054187765555,0.8451458005936792,1.547723858088112,-0.2674446240352506,0.002390684431169257,2.1285218116450024,2.170245263494491,0.08012872083668546,0.06564762670957361,0.06886564762670958,0.06106194690265489
29,29,0.8053097345132744,0.7906906178594229,0.7226336890335805,0.8413215168505456,1.4360601491170029,-0.46711706433572003,0.21087578236334695,2.3457458356961305,2.226194503719165,0.07811745776347548,0.0533386967015286,0.0588897827835881,0.050683829444891436
30,30,0.8020917135961384,0.7941044848300325,0.743670269887537,0.8364802511240397,1.233568523353551,-0.289956070721202,0.3928880277422572,2.366660964327729,1.9599479163793125,0.09356395816572811,0.07449718423169752,0.07353177795655672,0.06468222043443281
31,31,0.8069187449718423,0.7979580197376832,0.7431861895659526,0.8469937057481942,1.3999467821701714,-0.38817956878430776,-0.04730884929173664,2.217736974740895,2.5036278446828826,0.08205953338696703,0.06950925181013677,0.060901045856798064,0.05446500402252617
32,32,0.8109412711182623,0.7935787497838069,0.7247966679784861,0.8555627109346118,1.3704977344004345,-0.3866708413300522,0.035019883997687996,2.335687170801833,2.3078770442600276,0.07144006436041836,0.0476267095736123,0.05945293644408691,0.043523732904263944
33,33,0.8037007240547064,0.794341630831831,0.7369331398834504,0.835982277752464,1.0151682120347427,-0.22548916293789584,0.2821850452511142,2.6323912817326542,2.0288367134054557,0.08744971842316977,0.06500402252614643,0.07176186645213194,0.06106194690265487
34,34,0.7779565567176187,0.7687417897856764,0.709631975340602,0.8100154723274112,1.5007677326802207,-0.5633964235188531,0.07220802579149205,1.8413350373416368,2.9559164340292936,0.08028962188254225,0.04561544650040221,0.07103781174577635,0.055671761866452105
35,35,0.8053097345132744,0.7944944693434393,0.7435725677830941,0.8469972451790635,1.216581621646019,-0.46231035247892627,-0.1953939175149237,2.6481836776140035,2.448727949467001,0.08881737731295256,0.06749798873692678,0.07095736122284795,0.06218825422365245
36,36,0.7860016090104586,0.7736013721999406,0.7271139570046496,0.8064896604254062,1.275401017800775,-0.30022509443310386,0.3098354549424368,2.327843592077539,2.19075129876055,0.0934835076427997,0.06757843925985518,0.0752212389380531,0.06275140788415123
37,37,0.8085277554304103,0.8002975663284463,0.7545579471156628,0.8565411097610369,1.2817807867392486,-0.34999462748288057,-0.2717618420190755,2.3147195391928532,2.59933305805542,0.09203539823008852,0.06862429605792439,0.0760257441673371,0.06653258246178603
38,38,0.8045052292839904,0.7948321864150982,0.74146409735113,0.8274993370458765,1.2940857583878427,-0.16332708999886392,0.5903232421657783,2.326634772451615,1.6461836202594404,0.08769106999195497,0.06733708769106998,0.06950925181013676,0.07111826226870474
39,39,0.7892196299275945,0.7772753440033966,0.7348894922037481,0.8406883410340291,1.1369453432637844,-0.3383405721766438,0.3006307020073393,2.241353606129232,2.298594039964304,0.0762670957361223,0.07425583266291232,0.06452131938857601,0.05140788415124695
40,40,0.7924376508447305,0.7803959294275372,0.7303840069034948,0.831189414641162,1.19359701479877,-0.2106172745191771,0.44854480425115884,2.324092104555934,1.9230676229746955,0.0859211584875302,0.06315366049879323,0.06934835076427996,0.055752212389380516
41,41,0.8141592920353983,0.8060058216119984,0.7509620810969826,0.8448332793006976,1.093649879867368,-0.49022750591081365,0.22564013983016432,2.7804299266970434,2.225446888009882,0.0954143201930813,0.06709573612228482,0.08495575221238941,0.05937248592115855
42,42,0.7892196299275945,0.7775395498856653,0.732181692228197,0.8143841100215204,0.9623350054021528,-0.24568363092017229,0.45600621359188276,2.5111514424596457,2.1330518610189375,0.0943684633950121,0.07208366854384554,0.07843925985518907,0.06299275945293643
43,43,0.8020917135961384,0.7945827950352683,0.7502806225770988,0.8421483538737488,1.41461202761013,-0.2748373059424232,0.4575982759340537,2.3895322756932593,1.8236324569331968,0.08238133547868062,0.0668543845534996,0.06854384553499597,0.05655671761866452
44,44,0.7964601769911505,0.7873299034587865,0.7335180457407551,0.8417051196237435,1.5454914131644522,-0.4880004125856718,-0.18864230462943757,2.4175210174216883,2.413724252735094,0.08238133547868062,0.05945293644408687,0.07377312952534192,0.04931617055510862
45,45,0.8028962188254224,0.7974328171863014,0.7548866507580012,0.8321928223844284,1.653997710743378,-0.4218083357190081,-0.14409850638355043,1.9943513919744553,2.589168482870113,0.10024135156878525,0.09203539823008852,0.08246178600160903,0.07232502011263073
46,46,0.7956556717618665,0.785526588069431,0.7334728265955456,0.8307101581508516,1.4286753049390626,-0.3564557236090022,-0.11248016018155628,2.3020235549133043,2.4890935652275323,0.08978278358809336,0.06524537409493161,0.07208366854384554,0.05897023330651648
47,47,0.7924376508447305,0.7790004188746235,0.7334833521444695,0.8503160270880361,1.533256778700503,-0.19689503004072625,-0.047810542975825876,2.055268375761889,2.2442064455220745,0.07127916331456155,0.06765888978278359,0.06476267095736121,0.04875301689460979
48,48,0.8197908286403862,0.8092686608510881,0.7526981240485484,0.8489405938834623,0.785432579618792,-0.41077031718510826,0.5591275419208138,2.758185946958958,2.068712526335539,0.09259855189058733,0.08020917135961388,0.07811745776347548,0.06613032984714405
49,49,0.8085277554304103,0.8003606403965823,0.7538134141597135,0.8349446350909587,1.185467187952578,-0.25762664602452134,0.43504285395157805,2.0417753124121165,2.3017091525805182,0.1043443282381336,0.07787610619469028,0.08632341110217219,0.06765888978278359
50,50,0.82461786001609,0.8176493630158094,0.7691092693488562,0.860927230671849,0.7570500208634453,-0.25939388848751094,0.03592239196924909,2.899873301741967,2.1507191567186066,0.08913917940466605,0.07465808527755426,0.08527755430410289,0.06942880128720832
51,51,0.7964601769911505,0.7838971249602187,0.7269255606434191,0.8324850299401196,1.0432868325192488,-0.4040535240511204,0.3033943260338856,2.526701604268075,2.346613873839287,0.07787610619469028,0.06444086886564762,0.060901045856798064,0.04376508447304909
52,52,0.8012872083668544,0.7933689346525431,0.7542496886674969,0.8385033397486696,1.4489531651612864,-0.4321485992483348,0.41502252680977936,2.0691009588227036,2.261215506289382,0.09694288012872088,0.08004827031375705,0.07811745776347548,0.07200321802091714
53,53,0.8149637972646823,0.8095141466844056,0.7649858206309819,0.8478021978021978,1.2293723532031975,-0.3853417939753785,-0.3448409833545626,2.7340217100537387,2.4478417821809884,0.09613837489943688,0.08262268704746582,0.07972646822204346,0.06661303298471444
