,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_scaled
134,134,0.8860294117647058,0.8228571428571428,0.8607487922705315,0.892451690821256,0.34375,-0.02132352941176463,0.018750000000000044
135,135,0.8786764705882353,0.819672131147541,0.8631642512077294,0.864975845410628,0.2095588235294118,-0.0025735294117646967,-0.006249999999999867
136,136,0.8786764705882353,0.819672131147541,0.8631642512077294,0.8775966183574879,0.19595588235294104,-0.00036764705882363913,-0.00367647058823517
137,137,0.9007352941176471,0.8402366863905325,0.8692028985507246,0.8729468599033816,0.41911764705882354,-0.0003676470588235281,0.03676470588235292
138,138,0.9044117647058824,0.8452380952380952,0.8719806763285024,0.878683574879227,0.4261029411764706,0.01948529411764699,0.05661764705882366
139,139,0.8897058823529411,0.8333333333333334,0.8714975845410629,0.8732487922705315,0.38602941176470584,-0.008823529411764675,-0.004044117647058698
140,140,0.9007352941176471,0.8491620111731844,0.882487922705314,0.8827294685990337,0.43786764705882353,0.0011029411764705843,0.026102941176470607
141,141,0.9007352941176471,0.8439306358381503,0.8745169082125603,0.88743961352657,0.38860294117647054,-0.013235294117647123,0.01764705882352946
142,142,0.9080882352941176,0.8554913294797688,0.8827294685990339,0.8833937198067632,0.40551470588235294,0.01580882352941182,0.045588235294117596
143,143,0.9080882352941176,0.8520710059171598,0.8774154589371981,0.881582125603865,0.41213235294117645,0.007352941176470562,0.03492647058823517
144,144,0.9044117647058824,0.8488372093023255,0.8772946859903381,0.889975845410628,0.38125,0.020588235294117685,0.036397058823529505
145,145,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8761473429951689,0.21838235294117647,-0.003308823529411642,-0.0051470588235293935
146,146,0.9007352941176471,0.8421052631578947,0.8718599033816425,0.8880434782608695,0.40551470588235294,0.0051470588235295045,0.020220588235294157
147,147,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8756038647342995,0.236764705882353,-0.0014705882352943345,-0.004411764705882337
148,148,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8638888888888889,0.24301470588235297,-0.0003676470588234171,-0.004044117647058809
149,149,0.9154411764705882,0.863905325443787,0.8856280193236714,0.893840579710145,0.38198529411764703,0.013602941176470651,0.022058823529411797
150,150,0.9154411764705882,0.863905325443787,0.8856280193236714,0.8796497584541063,0.3838235294117648,0.02683823529411755,0.0507352941176471
151,151,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8732487922705314,0.2397058823529411,0.002941176470588225,-0.0022058823529412797
152,152,0.9044117647058824,0.8452380952380952,0.8719806763285024,0.8866545893719807,0.39926470588235297,0.01176470588235301,0.04117647058823526
153,153,0.9044117647058824,0.8522727272727273,0.8826086956521739,0.8722222222222222,0.4117647058823529,0.012499999999999956,0.04117647058823526
154,154,0.9044117647058824,0.8488372093023255,0.8772946859903381,0.9091183574879227,0.3749999999999999,0.011397058823529482,0.03088235294117636
155,155,0.9117647058823529,0.8666666666666667,0.8961352657004831,0.8974033816425121,0.4283088235294118,0.01764705882352935,0.032720588235294
156,156,0.9154411764705882,0.8654970760233918,0.8882850241545894,0.8815821256038646,0.39889705882352944,0.01544117647058818,0.04448529411764712
157,157,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.872765700483092,0.22720588235294126,0.004044117647058809,-0.003308823529411642
158,158,0.9080882352941176,0.8538011695906432,0.8800724637681159,0.8835144927536231,0.42022058823529407,-0.0003676470588235281,0.016911764705882293
159,159,0.9117647058823529,0.8588235294117647,0.8828502415458936,0.889975845410628,0.3959558823529411,0.01764705882352935,0.04522058823529407
160,160,0.8860294117647058,0.8287292817679558,0.8687198067632851,0.861231884057971,0.2058823529411764,0.003308823529411642,0.0011029411764704733
161,161,0.9044117647058824,0.8452380952380952,0.8719806763285024,0.8739130434782608,0.4047794117647059,0.012132352941176539,0.02316176470588238
162,162,0.8933823529411765,0.8342857142857143,0.8689613526570048,0.8724637681159423,0.37573529411764717,-0.005882352941176339,0.004411764705882337
163,163,0.8933823529411765,0.8342857142857143,0.8689613526570048,0.8861111111111111,0.386764705882353,0.009191176470588314,0.05036764705882357
164,164,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8583333333333334,0.23897058823529416,0.003308823529411642,-0.0018382352941176405
165,165,0.8786764705882353,0.8156424581005587,0.8578502415458937,0.8544082125603865,0.2279411764705882,-0.003676470588235392,-0.004044117647058698
166,166,0.9007352941176471,0.8383233532934131,0.8665458937198067,0.871376811594203,0.4033088235294118,0.005514705882353033,0.03308823529411753
167,167,0.9007352941176471,0.8402366863905325,0.8692028985507246,0.8759661835748791,0.39889705882352944,-0.0014705882352940014,0.027941176470588358
168,168,0.9007352941176471,0.8402366863905325,0.8692028985507246,0.878864734299517,0.3871323529411764,0.0022058823529410576,0.030147058823529305
169,169,0.9117647058823529,0.8588235294117647,0.8828502415458936,0.8818236714975844,0.39154411764705876,0.018382352941176516,0.05110294117647052
170,170,0.8860294117647058,0.8287292817679558,0.8687198067632851,0.8685386473429951,0.24448529411764697,0.0025735294117645857,-0.009191176470588203
171,171,0.9044117647058824,0.8452380952380952,0.8719806763285024,0.872524154589372,0.39374999999999993,0.01948529411764699,0.04889705882352946
172,172,0.8786764705882353,0.8156424581005587,0.8578502415458937,0.8907004830917875,0.3661764705882353,-0.004779411764705865,0.03860294117647056
