,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled
10,10,0.8786610878661087,0.8432432432432433,0.8728926353149955,0.9441733215025141,0.02175732217573223,0.014644351464435101,0.014644351464435101,0.02175732217573223,0.0058577405857740406,0.02092050209205021,0.025104602510460206,0.06485355648535562
11,11,0.8326359832635983,0.7849462365591398,0.8253105590062111,0.917036379769299,-0.01589958158995819,-0.001255230125522977,0.03556485355648531,0.00794979079497904,0.002510460251045954,0.025104602510460206,0.015481171548117123,-0.006276150627614996
12,12,0.8284518828451883,0.7602339181286549,0.8056418219461698,0.9263531499556344,-0.02175732217573212,0.009623430962343194,-0.015062761506276168,-0.0020920502092049986,0.010460251046025215,0.006276150627614996,0.018410041841004143,0.010460251046025215
13,13,0.8535564853556485,0.8022598870056498,0.8382505175983437,0.9219165927240461,0.04351464435146435,0.07824267782426786,0.05397489539748934,0.06234309623430967,0.022175732217573185,-0.00878661087866095,0.06025104602510456,0.047698744769874346
14,14,0.8326359832635983,0.7872340425531915,0.8273439810706891,0.9144483880508725,-0.010460251046025215,0.0029288702928870203,-0.0071129707112970175,0.0046025104602509526,0.009205020920502016,0.0033472803347279756,0.02468619246861914,0.03347280334728031
15,15,0.8661087866108786,0.8367346938775511,0.8708222419402543,0.9225081336882579,-0.020083682008368187,-0.010460251046025215,0.0,0.038075313807531264,-0.011715481171548192,0.0008368200836820217,0.054811715481171475,0.006276150627614996
16,16,0.8535564853556485,0.8205128205128205,0.8565513161786453,0.9268707482993197,-0.011715481171548081,-0.008786610878661172,0.0368200836820084,-0.0033472803347279756,-0.0058577405857739295,0.0033472803347280866,0.013389121338912235,0.032217573221757334
17,17,0.8284518828451883,0.768361581920904,0.8117420881396036,0.9280538302277432,-0.020083682008368187,0.021338912133891164,-0.009205020920502016,-0.009205020920502016,-0.023849372384937118,-0.0033472803347279756,0.005439330543933196,0.03263598326359829
18,18,0.8368200836820083,0.7914438502673797,0.8307453416149069,0.9233215025140491,-0.02552301255230116,0.002510460251045954,-0.002510460251045954,-0.013389121338912124,-0.012133891213389147,0.014225941422594146,-0.012552301255230214,0.036820083682008176
19,19,0.6569037656903766,0.19607843137254902,0.5543478260869565,0.8555900621118013,0.01589958158995808,0.01589958158995808,0.018410041841004032,0.018410041841004032,-0.002510460251046065,0.011715481171548081,0.024267782426778184,0.01380753138075308
20,20,0.8702928870292888,0.8359788359788359,0.8681233362910381,0.9347826086956521,0.0179916317991633,0.010460251046025104,0.009623430962343305,-0.016317991631799256,-0.014225941422594035,0.06276150627615062,0.024267782426778295,0.03556485355648542
21,21,0.891213389121339,0.8673469387755102,0.8973306713989944,0.9366311742088139,0.012552301255230103,-0.005020920502091908,0.010460251046025104,0.02468619246861925,0.008368200836820106,0.002510460251046176,0.056903765690376584,0.02175732217573234
22,22,0.8117154811715481,0.7486033519553073,0.7961032238982549,0.9245785270629991,-0.023430962343096162,-0.012970711297071169,-0.030543933054393402,-0.02468619246861925,-0.012970711297071169,-0.005439330543933085,0.027196652719665315,0.02175732217573212
23,23,0.8744769874476988,0.84375,0.8755915409642118,0.9425465838509317,0.006276150627615107,0.006694560669456062,0.01882845188284521,0.010041841004184038,-0.004184100418410108,0.037238493723849464,0.014644351464435212,0.035983263598326376
24,24,0.8744769874476988,0.8514851485148515,0.8857586512866016,0.8981810115350488,-0.001255230125522866,0.0158995815899583,0.009623430962343082,0.003765690376569042,0.011715481171548303,0.01882845188284521,0.025104602510460206,0.04644351464435137
25,25,0.8535564853556485,0.8108108108108109,0.8463842058562555,0.9199201419698314,-0.012552301255230103,0.046861924686192546,0.05020920502092052,0.03138075313807542,0.012970711297071169,-0.017154811715481166,0.0732217573221755,0.05271966527196659
26,26,0.8200836820083682,0.7817258883248731,0.8232401656314701,0.9103076013013901,-0.03054393305439329,-0.017154811715481055,-0.02259414225941425,-0.0004184100418409553,-0.004602510460251064,0.00041841004184106634,0.005439330543933085,0.0071129707112970175
27,27,0.8744769874476988,0.85,0.8837252292221236,0.9582224194025436,-0.007949790794978928,-0.015062761506276057,0.0033472803347280866,-0.021338912133891053,-0.004602510460251064,0.01966527196652723,0.028870292887029247,0.022175732217573296
28,28,0.8326359832635983,0.7916666666666666,0.831410825199645,0.9495711328009464,-0.01380753138075319,-0.009623430962343194,-0.025104602510460317,-0.009205020920502016,-0.010041841004184038,-0.023430962343096162,0.023012552301255207,0.01882845188284521
29,29,0.8410041841004184,0.8207547169811321,0.860581188997338,0.9114167406092871,-0.030125523012552224,-0.009205020920502016,-0.01589958158995808,-0.01380753138075308,-0.03849372384937222,-0.006276150627615107,-1.1102230246251565e-16,0.016317991631799145
30,30,0.8451882845188284,0.8102564102564103,0.8477151730257321,0.900399290150843,-0.009205020920502016,-0.0071129707112970175,0.006276150627615107,0.014225941422594146,0.005857740585774152,0.029288702928870314,0.0071129707112971285,-0.002510460251046065
