,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
36,36,0.8916666666666667,0.8539325842696629,0.8792596944770859,0.9378672150411281,0.1695833333333333,0.07958333333333334,-0.002083333333333326
37,37,0.8125,0.6938775510204082,0.7636603995299648,0.9460928319623971,0.14416666666666678,0.01791666666666658,0.021666666666666723
38,38,0.8875,0.8524590163934426,0.8799941245593419,0.9386016451233843,0.10124999999999995,0.08083333333333331,0.002083333333333326
39,39,0.8416666666666667,0.7710843373493976,0.814042303172738,0.9430816686251469,0.15916666666666668,0.007499999999999951,0.006250000000000089
40,40,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.9433019976498237,0.13958333333333328,0.08750000000000002,0.02416666666666667
41,41,0.8041666666666667,0.6845637583892618,0.756903642773208,0.9467538190364277,0.1166666666666667,0.015416666666666634,0.017916666666666803
42,42,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9438895417156287,0.14374999999999993,0.07833333333333337,0.004166666666666652
43,43,0.8875,0.850828729281768,0.8779377203290247,0.9474882491186838,0.14874999999999983,0.07499999999999996,0.013333333333333197
44,44,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9450646298472385,0.20666666666666667,0.0675,-0.002083333333333326
45,45,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9372062279670975,0.19791666666666663,0.07124999999999992,-1.1102230246251565e-16
46,46,0.9083333333333333,0.8791208791208791,0.9009988249118683,0.9437426556991775,0.19541666666666668,0.07541666666666658,0.006249999999999978
47,47,0.8375,0.7636363636363637,0.8086075205640424,0.9408783783783783,0.15666666666666662,0.022499999999999964,0.0016666666666665941
48,48,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9464600470035253,0.12958333333333327,0.07291666666666663,0.004999999999999893
49,49,0.9,0.8681318681318682,0.8921856639247944,0.9408049353701528,0.18291666666666673,0.0658333333333333,0.021250000000000102
50,50,0.875,0.8255813953488372,0.8554641598119859,0.9456521739130435,0.15375000000000005,0.08916666666666662,0.04208333333333347
51,51,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.946900705052879,0.21833333333333338,0.0675,0.016249999999999876
52,52,0.8916666666666667,0.8522727272727273,0.8772032902467685,0.939409518213866,0.17208333333333348,0.08875,-0.0016666666666665941
53,53,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9516010575793183,0.11875000000000002,0.08250000000000013,0.0008333333333332416
54,54,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9404377203290247,0.21124999999999994,0.06458333333333333,0.0016666666666665941
55,55,0.8875,0.8491620111731844,0.8758813160987073,0.9446974148061105,0.14250000000000007,0.07833333333333325,-0.009166666666666878
56,56,0.8958333333333334,0.8603351955307262,0.8846944770857814,0.9481492361927145,0.21125000000000005,0.06166666666666665,0.04625000000000001
57,57,0.9166666666666666,0.8924731182795699,0.913924794359577,0.9213425381903643,0.2595833333333334,0.18791666666666662,0.019583333333333175
58,58,0.9,0.8709677419354839,0.8962984723854289,0.944403642773208,0.15583333333333327,0.05999999999999994,0.02416666666666678
59,59,0.8875,0.8491620111731844,0.8758813160987073,0.9457256169212691,0.13458333333333328,0.07624999999999993,-0.0025000000000000577
60,60,0.8375,0.7450980392156863,0.7962690951821387,0.941906580493537,0.09999999999999998,0.07833333333333337,-0.018749999999999933
61,61,0.8875,0.8491620111731844,0.8758813160987073,0.9395564042303173,0.13208333333333322,0.08833333333333326,-0.007916666666666794
62,62,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9338278495887191,0.23124999999999996,0.0691666666666666,-1.1102230246251565e-16
63,63,0.8916666666666667,0.8571428571428571,0.8833725029377204,0.9445505287896593,0.14249999999999996,0.07958333333333334,0.06000000000000005
