,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled
129,129,0.8355555555555556,0.7672955974842768,0.8089653481529911,0.8971886237332463,0.11599999999999999,0.028000000000000136,0.020444444444444487,0.003555555555555534
130,130,0.8844444444444445,0.8673469387755102,0.890527950310559,0.9130434782608696,0.4084444444444445,0.08799999999999997,0.1120000000000001,0.0715555555555557
131,131,0.8977777777777778,0.8729281767955801,0.8917538411245505,0.9136155606407323,0.2977777777777778,0.017333333333333423,0.034222222222222265,0.04177777777777769
132,132,0.8311111111111111,0.8173076923076923,0.8454151683556718,0.9178653154625694,0.38577777777777783,0.14800000000000002,0.11688888888888882,0.14222222222222214
133,133,0.8977777777777778,0.8743169398907104,0.8934292252370055,0.9067505720823799,0.38622222222222224,0.02488888888888885,0.08933333333333326,0.046666666666666634
134,134,0.8488888888888889,0.8,0.8319712324288984,0.9075678326250408,0.10133333333333328,0.011111111111111072,0.005333333333333301,0.009333333333333416
135,135,0.84,0.8235294117647058,0.8512585812356979,0.9118993135011443,0.3875555555555556,0.06399999999999995,0.1186666666666667,0.12044444444444435
136,136,0.8266666666666667,0.8133971291866029,0.8416557698594311,0.9158221641059169,0.38711111111111113,0.1413333333333332,0.16399999999999992,0.0715555555555556
137,137,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9216247139588101,0.4026666666666666,0.2346666666666668,0.2208888888888889,0.2817777777777778
138,138,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.9212978097417457,0.18844444444444453,0.003555555555555645,0.0013333333333334085,0.0013333333333334085
139,139,0.7955555555555556,0.684931506849315,0.7567015364498202,0.9056064073226545,0.0702222222222223,0.011555555555555541,-0.002666666666666595,0.006666666666666599
140,140,0.8533333333333334,0.8374384236453202,0.8642121608368748,0.9221150702844068,0.392888888888889,0.15466666666666673,0.13377777777777788,0.13555555555555554
141,141,0.8622222222222222,0.845771144278607,0.871730957829356,0.9177018633540373,0.3751111111111112,0.12400000000000011,0.12088888888888905,0.13466666666666682
142,142,0.9111111111111111,0.8913043478260869,0.9080581889506374,0.9136972866949983,0.38622222222222213,0.15066666666666673,0.1537777777777778,0.09866666666666668
143,143,0.7422222222222222,0.7456140350877193,0.7702271984308597,0.8617195161817587,0.3373333333333334,0.1995555555555556,0.21333333333333326,0.22311111111111104
144,144,0.7733333333333333,0.7301587301587301,0.7697368421052632,0.8787185354691075,0.37955555555555553,0.059555555555555584,0.01733333333333331,0.09333333333333327
145,145,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8908139915004902,0.3711111111111111,0.047111111111111215,0.021777777777777785,0.14355555555555566
146,146,0.9244444444444444,0.9090909090909091,0.9243625367767244,0.9226054266100032,0.4213333333333332,0.24488888888888882,0.18666666666666665,0.09333333333333327
147,147,0.9022222222222223,0.8791208791208791,0.8971886237332461,0.9162307943772475,0.3182222222222223,0.16222222222222227,0.08311111111111114,0.0311111111111112
148,148,0.8933333333333333,0.8666666666666667,0.8863190585158549,0.8818241255312192,0.3964444444444445,0.03111111111111109,0.0257777777777779,0.08488888888888879
149,149,0.8888888888888888,0.8691099476439791,0.8909365805818895,0.9143510951291272,0.4159999999999999,0.06933333333333325,0.15822222222222215,0.19155555555555548
150,150,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8999673095782935,0.09911111111111115,0.008000000000000118,0.011555555555555652,0.03155555555555556
151,151,0.8444444444444444,0.8292682926829268,0.8566933638443937,0.912634847989539,0.3826666666666666,0.10222222222222233,0.1186666666666667,0.14133333333333342
152,152,0.8444444444444444,0.8167539267015707,0.8449656750572082,0.8971068976789801,0.3977777777777778,0.08711111111111103,0.06533333333333335,0.09466666666666657
153,153,0.8577777777777778,0.813953488372093,0.8428407976462897,0.896207911082053,0.12622222222222224,0.010222222222222244,0.021777777777777785,0.011111111111111072
154,154,0.8,0.7906976744186046,0.8190993788819876,0.8985779666557698,0.36222222222222233,0.1942222222222223,0.22577777777777785,0.07777777777777783
155,155,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8993135011441648,0.10133333333333328,0.0048888888888887205,0.01244444444444448,0.01244444444444448
156,156,0.8444444444444444,0.8292682926829268,0.8566933638443937,0.9195815626021576,0.3728888888888889,0.0875555555555555,0.10266666666666668,0.10088888888888892
157,157,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9104282445243543,0.18933333333333335,0.026666666666666616,0.01911111111111108,0.01244444444444448
158,158,0.8355555555555556,0.8042328042328042,0.834096109839817,0.9015201046093495,0.41866666666666663,0.06888888888888889,0.09288888888888902,0.011111111111111294
159,159,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9087119973847664,0.2395555555555554,0.0417777777777778,0.010666666666666602,0.027555555555555555
160,160,0.8711111111111111,0.8512820512820513,0.8758989865969271,0.9135338345864662,0.3999999999999999,0.08799999999999997,0.025333333333333208,0.09955555555555551
161,161,0.9022222222222223,0.8791208791208791,0.8971886237332461,0.9134521085321999,0.30533333333333335,0.04400000000000004,0.04222222222222216,0.052888888888888985
162,162,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9049525988885255,0.24977777777777765,-1.1102230246251565e-16,0.03422222222222204,0.010222222222222022
163,163,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8968617195161818,0.24044444444444435,0.011555555555555541,0.011555555555555541,0.006222222222222129
164,164,0.9066666666666666,0.8852459016393442,0.9026234063419418,0.9172932330827068,0.408,0.20933333333333315,0.1737777777777777,0.18622222222222218
165,165,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.9009480222294869,0.12888888888888894,0.00666666666666671,0.0031111111111111756,1.1102230246251565e-16
166,166,0.8622222222222222,0.841025641025641,0.8667048054919908,0.9029911735861392,0.3857777777777777,0.1213333333333333,0.09733333333333327,0.12755555555555564
167,167,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9127983000980713,0.17688888888888887,0.022666666666666502,-0.0022222222222223476,0.0119999999999999
168,168,0.9155555555555556,0.8994708994708994,0.9168437397842433,0.9230957829355998,0.45066666666666677,0.24755555555555564,0.2853333333333333,0.32533333333333325
169,169,0.8622222222222222,0.8442211055276382,0.8700555737169009,0.9146779993461915,0.40222222222222226,0.11066666666666658,0.06044444444444452,0.0915555555555555
170,170,0.8,0.7906976744186046,0.8190993788819876,0.914187643020595,0.35555555555555557,0.11511111111111116,0.13555555555555554,0.10977777777777786
171,171,0.8488888888888889,0.8,0.8319712324288984,0.8973520758417783,0.19777777777777783,0.010222222222222244,0.0039999999999998925,0.006222222222222129
172,172,0.8711111111111111,0.8449197860962567,0.8691974501471069,0.9064236678653155,0.4031111111111111,0.07155555555555548,0.10755555555555563,0.032888888888888745
173,173,0.7777777777777778,0.7663551401869159,0.7952762340634194,0.9083033671134356,0.3293333333333334,0.007555555555555649,0.039999999999999925,0.05511111111111111
174,174,0.8311111111111111,0.8118811881188119,0.8403890160183066,0.9050343249427918,0.38622222222222236,0.13288888888888883,0.1200000000000001,0.1697777777777778
175,175,0.88,0.847457627118644,0.8700147106897679,0.9087119973847662,0.3244444444444444,0.07777777777777783,0.058222222222222175,0.009777777777777774
176,176,0.8311111111111111,0.8173076923076923,0.8454151683556718,0.9128800261523374,0.3893333333333333,0.19066666666666665,0.17733333333333334,0.14088888888888906
177,177,0.8577777777777778,0.8117647058823529,0.8411654135338346,0.9114089571755477,0.11422222222222222,0.013777777777777778,0.016444444444444373,0.0057777777777776596
178,178,0.8977777777777778,0.8729281767955801,0.8917538411245505,0.9042987904543968,0.4017777777777778,0.03955555555555568,0.08266666666666667,0.13022222222222224
