,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled
67,67,0.914396887159533,0.8932038834951457,0.9333333333333333,0.9863636363636363,0.2684824902723735,0.2252918287937743,0.1529182879377432,0.2408560311284046
68,68,0.9221789883268483,0.900990099009901,0.9369894598155468,0.9828722002635046,0.175875486381323,0.13073929961089492,0.18910505836575875,0.10933852140077827
69,69,0.8560311284046692,0.8262910798122066,0.8782608695652174,0.9409749670619236,0.2731517509727627,-0.0038910505836577958,-0.0023346303501947663,-0.011673151750972943
70,70,0.914396887159533,0.89,0.9261198945981555,0.9842555994729908,0.04435797665369634,0.14630350194552533,0.12334630350194542,0.09105058365758756
71,71,0.933852140077821,0.9154228855721394,0.9484848484848485,0.9827404479578393,0.18210116731517512,0.14396887159533067,0.08715953307392998,0.09494163424124524
72,72,0.9260700389105059,0.9064039408866995,0.9424242424242424,0.9785902503293809,0.09649805447470827,0.12762645914396886,0.0723735408560312,0.10272373540856039
73,73,0.9299610894941635,0.91,0.9430500658761528,0.9848484848484849,0.243579766536965,0.135408560311284,0.1163424124513619,0.07470817120622553
74,74,0.9027237354085603,0.8792270531400966,0.9218379446640316,0.9828722002635045,0.06575875486381333,0.12490272373540867,0.1284046692607005,0.04785992217898838
75,75,0.9066147859922179,0.883495145631068,0.9248682476943346,0.9876811594202899,0.017120622568093324,0.0696498054474709,0.1116731517509727,0.052918287937743225
76,76,0.9260700389105059,0.9035532994923858,0.9352108036890645,0.9845849802371541,0.08171206225680938,0.17354085603112845,0.11789883268482493,0.13346303501945522
77,77,0.8793774319066148,0.8558139534883721,0.906060606060606,0.9709486166007906,0.23929961089494178,0.20583657587548632,0.19883268482490268,0.080544747081712
78,78,0.9260700389105059,0.9045226130653267,0.9376152832674571,0.9907773386034255,0.04202334630350191,0.12490272373540856,0.12256809338521402,0.06186770428015553
79,79,0.9260700389105059,0.9054726368159204,0.9400197628458498,0.9750988142292489,0.11789883268482493,0.12684824902723735,0.1326848249027237,0.135408560311284
80,80,0.9105058365758755,0.883248730964467,0.9182806324110672,0.9736495388669302,0.11945525291828785,0.10817120622568088,0.0704280155642023,0.09260700389105059
81,81,0.9182879377431906,0.8975609756097561,0.9363636363636363,0.9844532279314888,0.03112840466926059,0.14591439688715957,0.11089494163424118,0.05525291828793755
82,82,0.9027237354085603,0.8792270531400966,0.9218379446640316,0.9662714097496706,0.0750972762645915,0.15330739299610896,0.13968871595330745,0.09766536964980543
83,83,0.914396887159533,0.8921568627450981,0.9309288537549407,0.9799077733860343,0.15642023346303502,0.11322957198443573,0.15369649805447472,0.13229571984435795
