,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
132,132,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9282779869907566,0.10639269406392704,0.032420091324200984,0.009589041095890538,0.011415525114155445
133,133,0.8995433789954338,0.8804347826086957,0.8969103046901746,0.9385484423142759,0.4634703196347032,0.03287671232876699,0.037442922374429255,0.009589041095890427
134,134,0.8447488584474886,0.8,0.8301951386511468,0.9418863402944199,0.271689497716895,0.011415525114155334,-0.00045662100456611565,-0.0031963470319634757
135,135,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9340979116740843,0.2429223744292237,0.012328767123287676,0.03424657534246578,0.0004566210045663377
136,136,0.8310502283105022,0.7672955974842768,0.8078996918863403,0.9352961314618281,0.0328767123287671,0.01689497716894961,1.1102230246251565e-16,-0.020547945205479534
137,137,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9222868880520368,0.10730593607305938,0.01963470319634686,0.0031963470319634757,0.0036529680365295913
138,138,0.8401826484018264,0.782608695652174,0.8187692571037316,0.9192057514549811,0.13744292237442923,0.01415525114155236,0.022831050228310557,0.010502283105022658
139,139,0.9041095890410958,0.8852459016393442,0.9008473125641904,0.9200616227319411,0.33652968036529674,0.02100456621004565,0.0365296803652968,0.05022831050228305
140,140,0.8767123287671232,0.847457627118644,0.8682386169120164,0.9257959602875727,0.21050228310502284,0.026484018264840037,0.013242009132419907,0.022374429223744108
141,141,0.9041095890410958,0.8852459016393442,0.9008473125641904,0.9293050325231085,0.4036529680365297,0.05799086757990868,0.00913242009132409,0.022831050228310557
142,142,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.922885997945909,0.18904109589041096,0.014611872146118698,0.012328767123287565,0.0018264840182647957
143,143,0.8767123287671232,0.847457627118644,0.8682386169120164,0.9239130434782608,0.4246575342465754,0.028310502283104944,0.013242009132419907,-0.015981735159817267
144,144,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9310167750770284,0.298173515981735,0.008675799086757974,0.018264840182648512,-0.005936073059360725
145,145,0.7945205479452054,0.697986577181208,0.7629236562820951,0.9350393700787403,0.07945205479452044,0.008675799086757974,-0.028310502283105055,-0.027853881278538828
146,146,0.7579908675799086,0.7253886010362695,0.7583875385142075,0.8954981170831906,0.35022831050228304,0.010958904109589107,0.0009132420091323423,-0.006849315068493178
147,147,0.8904109589041096,0.8666666666666667,0.8845429647381033,0.9349537829510443,0.328310502283105,0.03972602739726028,0.0365296803652968,0.0273972602739726
148,148,0.9041095890410958,0.8900523560209425,0.90683841150291,0.9294762067785005,0.4611872146118721,0.12511415525114156,0.09178082191780812,0.020091324200913308
149,149,0.8767123287671232,0.847457627118644,0.8682386169120164,0.9302464909277645,0.43881278538812785,-0.0018264840182649067,0.08401826484018249,0.031050228310502193
150,150,0.9223744292237442,0.9090909090909091,0.922586442998973,0.9342690859294761,0.4872146118721461,0.09406392694063925,0.007305936073059183,0.014155251141552472
151,151,0.6301369863013698,0.25688073394495414,0.5642759328996919,0.9157822663471415,0.015525114155251152,-0.009589041095890538,0.0273972602739726,0.03926940639269405
152,152,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.937778158165012,0.252054794520548,0.010045662100456543,0.004566210045662045,0.005022831050228382
153,153,0.8447488584474886,0.8,0.8301951386511468,0.9328141047586443,0.2114155251141553,0.012328767123287676,-0.005936073059360725,-0.013698630136986245
154,154,0.8538812785388128,0.8,0.8320780554604588,0.9331564532694283,0.18127853881278544,0.019178082191780854,0.007762557077625631,0.001369863013698791
155,155,0.8904109589041096,0.8666666666666667,0.8845429647381033,0.936579938377268,0.29954337899543393,0.008219178082191858,0.05890410958904113,0.031050228310502304
156,156,0.8447488584474886,0.8,0.8301951386511468,0.9179219445395412,0.1589041095890411,0.006849315068493067,0.023287671232876783,0.024200913242009237
157,157,0.776255707762557,0.6524822695035462,0.7381889763779528,0.9298185552892844,0.05662100456621,0.030593607305936077,0.029223744292237397,0.03698630136986303
158,158,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.923998630605957,0.16118721461187202,0.0022831050228310223,0.010958904109588996,0.009589041095890427
159,159,0.7579908675799086,0.6187050359712231,0.71794762067785,0.9213454296473811,0.04292237442922364,0.07397260273972606,0.05205479452054795,0.12876712328767115
160,160,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9415439917836358,0.21232876712328763,0.023287671232876672,-0.0022831050228311334,0.0365296803652968
