,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_humidity_scaled
74,74,0.8860294117647058,0.8165680473372781,0.8527777777777779,0.9626811594202899,0.20220588235294112,0.00588235294117645,0.0117647058823529
75,75,0.8860294117647058,0.8268156424581006,0.8660628019323672,0.9615338164251208,0.2044117647058823,0.0018382352941176405,-0.010294117647058787
76,76,0.8639705882352942,0.7643312101910829,0.8121980676328502,0.9558574879227053,0.19227941176470598,0.0014705882352941124,0.01985294117647063
77,77,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.9404589371980676,0.17352941176470582,0.010294117647058787,0.020588235294117685
78,78,0.8713235294117647,0.7878787878787878,0.8310386473429952,0.9615338164251208,0.1926470588235294,-0.004411764705882337,0.01948529411764699
79,79,0.8014705882352942,0.6142857142857143,0.7198067632850241,0.9526570048309179,0.1378676470588236,-0.01948529411764699,-0.016911764705882515
80,80,0.8051470588235294,0.624113475177305,0.7252415458937198,0.9500603864734299,0.13713235294117654,-0.011397058823529482,-0.017647058823529238
81,81,0.8676470588235294,0.8043478260869565,0.8521739130434782,0.9425724637681159,0.17389705882352957,0.003676470588235281,-0.014338235294117707
82,82,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9422705314009662,0.14080882352941182,0.0055147058823528106,-0.0014705882352941124
83,83,0.8676470588235294,0.8021978021978022,0.8495169082125604,0.9339371980676329,0.12279411764705883,0.004779411764705865,-0.011397058823529482
84,84,0.8786764705882353,0.8047337278106509,0.8445652173913043,0.9558574879227053,0.16249999999999998,0.009926470588235259,0.014705882352941235
85,85,0.8602941176470589,0.7790697674418605,0.8280193236714977,0.941183574879227,0.13639705882352948,-0.00588235294117645,-0.006985294117646923
86,86,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.9564009661835748,0.1602941176470588,0.003308823529411642,-0.006250000000000089
87,87,0.8823529411764706,0.8181818181818182,0.8579710144927537,0.9483695652173914,0.1691176470588236,0.006617647058823506,0.006985294117647145
88,88,0.8823529411764706,0.8072289156626506,0.8446859903381643,0.9553743961352656,0.20882352941176474,0.0014705882352941124,0.006985294117647034
89,89,0.8676470588235294,0.775,0.8202898550724638,0.9559782608695653,0.18272058823529425,0.004779411764705865,0.01911764705882346
90,90,0.8860294117647058,0.8187134502923976,0.8554347826086957,0.9582729468599034,0.20919117647058827,0.008088235294117618,0.008088235294117618
91,91,0.8639705882352942,0.8042328042328042,0.8547101449275363,0.9592391304347826,0.18639705882352942,-0.006617647058823395,-0.02536764705882355
92,92,0.8676470588235294,0.8,0.8468599033816425,0.9423309178743962,0.16764705882352948,0.0014705882352941124,-0.01360294117647054
93,93,0.875,0.8089887640449438,0.8524154589371982,0.9450483091787439,0.1588235294117647,0.0014705882352940014,-0.010661764705882426
94,94,0.8492647058823529,0.7320261437908496,0.7904589371980677,0.9538647342995169,0.17426470588235288,-0.009191176470588425,0.012500000000000067
95,95,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9572463768115942,0.17279411764705888,0.008088235294117618,-0.01139705882352926
96,96,0.875,0.8152173913043478,0.8603864734299517,0.96243961352657,0.21948529411764706,0.006249999999999978,-0.0022058823529411686
97,97,0.8860294117647058,0.8165680473372781,0.8527777777777779,0.9552536231884058,0.1926470588235294,0.006250000000000089,0.009926470588235148
98,98,0.875,0.8131868131868132,0.8577294685990338,0.8790458937198068,0.18051470588235297,0.00404411764705892,-0.0051470588235293935
99,99,0.8897058823529411,0.8255813953488372,0.8608695652173912,0.9442028985507247,0.22499999999999987,0.011029411764705843,0.004411764705882226
100,100,0.8602941176470589,0.7865168539325843,0.8359903381642513,0.9192632850241546,0.12426470588235294,-0.011029411764705843,-0.008823529411764675
101,101,0.8786764705882353,0.8156424581005587,0.8578502415458937,0.9636473429951691,0.19191176470588234,0.004779411764705976,-0.016544117647058765
102,102,0.8676470588235294,0.8021978021978022,0.8495169082125604,0.9229468599033817,0.12683823529411764,1.1102230246251565e-16,-0.008455882352941257
103,103,0.8602941176470589,0.7564102564102564,0.8067632850241546,0.9565217391304348,0.18676470588235294,-0.00588235294117645,0.009191176470588203
104,104,0.8676470588235294,0.76,0.8070048309178743,0.9548309178743961,0.20919117647058827,0.0003676470588234171,0.016176470588235237
105,105,0.875,0.8152173913043478,0.8603864734299517,0.9477053140096618,0.16470588235294126,0.009191176470588203,-0.007720588235293979
106,106,0.8713235294117647,0.8087431693989071,0.854951690821256,0.9498792270531401,0.15404411764705883,0.009558823529411842,-0.016911764705882404
107,107,0.8676470588235294,0.7777777777777778,0.8229468599033817,0.9615338164251208,0.17279411764705888,-0.011029411764705843,0.007352941176470562
108,108,0.8676470588235294,0.8021978021978022,0.8495169082125604,0.9553743961352656,0.16323529411764715,0.0007352941176471672,-0.010294117647058787
109,109,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.9534420289855072,0.18786764705882353,-0.0025735294117648078,-0.0117647058823529
110,110,0.8713235294117647,0.779874213836478,0.8230676328502415,0.8931763285024155,0.20588235294117652,-0.003676470588235281,0.012867647058823595
111,111,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.9567028985507247,0.1459558823529412,0.0051470588235296155,-0.005514705882353033
112,112,0.8676470588235294,0.8,0.8468599033816425,0.9490942028985507,0.19191176470588245,-0.003308823529411642,-0.018749999999999933
113,113,0.875,0.8131868131868132,0.8577294685990338,0.9483695652173912,0.16727941176470595,0.004044117647058698,-0.0003676470588235281
114,114,0.8860294117647058,0.8121212121212121,0.847463768115942,0.9536231884057971,0.19742647058823526,0.008455882352941146,0.024264705882352966
115,115,0.8823529411764706,0.8095238095238095,0.8473429951690821,0.9617753623188405,0.20036764705882348,0.003676470588235281,0.015441176470588291
