,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
115,115,0.9066147859922179,0.88,0.9176548089591567,0.9695652173913043,0.012062256809338479,0.2178988326848249,0.14785992217898836,0.09494163424124513
116,116,0.8988326848249028,0.8725490196078431,0.9139986824769433,0.9664031620553359,0.005447470817120603,0.1501945525291829,0.08093385214007787,0.03540856031128414
117,117,0.8171206225680934,0.7513227513227513,0.8070816864295125,0.9193675889328063,-0.005836575875486361,0.01945525291828787,0.02062256809338514,0.01322957198443575
118,118,0.8365758754863813,0.7857142857142857,0.8366600790513834,0.9333992094861661,-0.0035019455252918164,0.024513618677042825,0.019066147859922222,0.017509727626459193
119,119,0.8093385214007782,0.7407407407407407,0.7986166007905138,0.9191699604743083,0.0035019455252918164,0.011673151750972721,0.0077821011673151474,0.00038910505836575737
120,120,0.9105058365758755,0.8795811518324608,0.9110671936758893,0.9447957839262187,-0.0077821011673152585,0.22723735408560308,0.16186770428015562,0.07315175097276272
121,121,0.9105058365758755,0.883248730964467,0.9182806324110672,0.9720026350461133,0.0077821011673151474,0.2252918287937743,0.18015564202334622,0.1373540856031129
122,122,0.933852140077821,0.9109947643979057,0.9364624505928854,0.9679841897233202,0.01478599221789878,0.21945525291828794,0.11984435797665371,0.10739299610894948
123,123,0.8015564202334631,0.7213114754098361,0.7829380764163373,0.9129117259552043,0.009727626459143934,0.01322957198443575,0.015953307392996163,0.012451361867704236
124,124,0.8988326848249028,0.87,0.909189723320158,0.9648221343873518,-0.0023346303501945442,0.1914396887159534,0.1447470817120623,0.01945525291828787
125,125,0.9105058365758755,0.8855721393034826,0.9230895915678524,0.9741765480895915,0.013618677042801508,0.2739299610894941,0.13618677042801564,0.12217898832684815
126,126,0.9027237354085603,0.8743718592964824,0.9122200263504612,0.958498023715415,0.0,0.25058365758754864,0.22295719844357975,0.188715953307393
127,127,0.9027237354085603,0.8780487804878049,0.9194334650856391,0.9725955204216075,0.009338521400778177,0.1867704280155642,0.1319066147859923,0.07821011673151756
128,128,0.8326848249027238,0.7817258883248731,0.8336297760210805,0.9291831357048749,-0.006225680933852118,0.018677042801556465,0.017120622568093435,-0.0015564202334629185
129,129,0.8171206225680934,0.7486631016042781,0.8046772068511199,0.9212121212121213,-0.0035019455252918164,0.01945525291828787,0.01478599221789878,0.012062256809338479
130,130,0.8988326848249028,0.87,0.909189723320158,0.9675230566534914,0.008560311284046662,0.18171206225680936,0.18093385214007784,0.1373540856031129
131,131,0.8949416342412452,0.8656716417910447,0.9061594202898551,0.9490777338603427,0.0023346303501945442,0.3058365758754865,0.23112840466926066,0.1575875486381323
132,132,0.8015564202334631,0.7182320441988951,0.7805335968379447,0.9192358366271409,-0.0038910505836575737,0.014007782101167376,0.01322957198443575,0.013618677042801619
133,133,0.7976653696498055,0.717391304347826,0.7799077733860342,0.9127799736495389,-0.003112840466926059,0.011673151750972832,0.009727626459143934,0.006614785992217875
134,134,0.8910505836575876,0.8627450980392157,0.9055335968379447,0.9623188405797101,0.0,0.28365758754863823,0.24319066147859936,0.11867704280155655
135,135,0.8365758754863813,0.78125,0.8318511198945981,0.9234519104084322,0.007392996108949501,0.022957198443579796,0.025680933852140098,0.015953307392996163
136,136,0.8093385214007782,0.7379679144385026,0.7962121212121211,0.9115942028985508,-0.0015564202334630295,0.017509727626459082,0.012840466926069993,0.006614785992217875
137,137,0.8910505836575876,0.8627450980392157,0.9055335968379447,0.9681159420289855,0.0046692607003890885,0.3260700389105059,0.2747081712062258,0.12879377431906625
138,138,0.8093385214007782,0.7407407407407407,0.7986166007905138,0.907114624505929,0.0027237354085603016,0.02529182879377423,0.026459143968871612,0.021789883268482413
139,139,0.8910505836575876,0.8613861386138614,0.903129117259552,0.9716073781291172,0.00038910505836575737,0.16070038910505835,0.17626459143968887,0.10116731517509725
140,140,0.8871595330739299,0.8585365853658536,0.9025032938076416,0.9682476943346509,-0.0011673151750973831,0.22256809338521388,0.14863813229571976,0.11284046692607008
141,141,0.8093385214007782,0.7407407407407407,0.7986166007905138,0.9165349143610013,0.006225680933852118,0.012840466926069993,0.00894941634241242,0.00739299610894939
142,142,0.8988326848249028,0.8712871287128713,0.9115942028985508,0.963965744400527,0.008171206225680905,0.09805447470817119,0.11478599221789887,0.08677042801556423
143,143,0.8871595330739299,0.8585365853658536,0.9025032938076416,0.9664690382081688,0.006614785992217764,0.26342412451361874,0.22178988326848237,0.1591439688715952
144,144,0.9066147859922179,0.88,0.9176548089591567,0.9592226613965744,0.004280155642023331,0.2536964980544746,0.18638132295719845,0.17470817120622562
145,145,0.7976653696498055,0.717391304347826,0.7799077733860342,0.9121212121212122,-0.0019455252918287869,0.015953307392996163,0.016731517509727678,0.014396887159533134
146,146,0.9027237354085603,0.8743718592964824,0.9122200263504612,0.9697628458498023,0.0023346303501945442,0.20077821011673158,0.17743190661478592,0.15953307392996108
147,147,0.8560311284046692,0.8177339901477833,0.8662384716732543,0.9272068511198946,0.012840466926069993,0.033463035019455245,0.04046692607003888,0.03579766536964979
148,148,0.8949416342412452,0.8682926829268293,0.9109683794466403,0.9719367588932806,0.0035019455252918164,0.1859922178988328,0.13891050583657594,0.10583657587548645
149,149,0.8054474708171206,0.7282608695652174,0.788372859025033,0.9162714097496707,0.004280155642023331,0.015953307392996052,0.012451361867704236,0.0019455252918287869
150,150,0.8015564202334631,0.7272727272727273,0.7877470355731224,0.9073122529644269,0.006225680933852118,0.025680933852140098,0.031128404669260812,0.020622568093385252
151,151,0.8015564202334631,0.7272727272727273,0.7877470355731224,0.9031620553359685,0.005447470817120603,0.015953307392996163,0.013618677042801508,0.010894941634241206
