,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_humidity_fd3_scaled
43,43,0.8666666666666667,0.8255813953488372,0.8520349787512258,0.9162307943772474,0.09644444444444433,-0.0022222222222221255,-0.010222222222222133,-0.028000000000000025,0.026666666666666616,-0.02977777777777768,-0.03511111111111098,-0.03688888888888886,0.02622222222222237,0.020000000000000018,0.03555555555555556,0.045333333333333226
44,44,0.8311111111111111,0.7654320987654321,0.8068813337692056,0.904380516508663,0.03155555555555545,0.0004444444444444695,-0.012888888888888839,0.006666666666666599,0.03511111111111109,-0.03288888888888897,-0.03022222222222215,-0.04133333333333322,0.01866666666666672,-0.01777777777777778,0.006666666666666599,-0.015999999999999903
45,45,0.7155555555555555,0.6631578947368421,0.710812356979405,0.8256783262504086,0.15822222222222215,0.02399999999999991,0.002666666666666706,-0.006666666666666821,0.24800000000000005,-0.005333333333333412,-0.011111111111111183,-0.0031111111111112866,-0.15688888888888886,-0.0004444444444444695,0.0048888888888888316,-0.039555555555555566
46,46,0.8844444444444445,0.8522727272727273,0.8737741091860085,0.9478587773782282,0.04133333333333333,-0.006222222222222129,0.021333333333333426,0.004444444444444362,0.046222222222222276,-0.013777777777777667,-0.014222222222222136,-0.019111111111110968,0.02533333333333332,-0.01111111111111096,0.020888888888888957,0.0013333333333332975
47,47,0.8222222222222222,0.7530864197530864,0.7976871526642693,0.8970251716247141,-0.00622222222222224,0.010666666666666602,-0.01333333333333342,-1.1102230246251565e-16,0.04977777777777781,-0.006666666666666599,-0.022666666666666835,-0.013777777777777778,-0.005333333333333412,0.014222222222222136,0.021777777777777674,0.02488888888888896
48,48,0.92,0.9021739130434783,0.9172523700555737,0.9315952925792742,0.1484444444444445,0.008444444444444588,0.026666666666666727,0.0048888888888888316,0.05511111111111133,0.005777777777777882,1.1102230246251565e-16,0.011111111111111183,0.02533333333333332,0.014222222222222247,0.03644444444444439,0.03733333333333322
49,49,0.8577777777777778,0.8117647058823529,0.8411654135338346,0.8972703497875123,0.07600000000000007,-0.03244444444444439,-0.04355555555555557,0.000888888888888828,0.06933333333333336,-0.039111111111110985,-0.05288888888888876,-0.04800000000000004,0.02444444444444449,-0.020444444444444487,0.02400000000000002,0.016444444444444373
50,50,0.8755555555555555,0.8372093023255814,0.8612291598561621,0.9258744687806472,0.0835555555555555,0.0048888888888888316,-0.02488888888888896,-0.023555555555555663,0.05333333333333323,-0.011555555555555652,-0.011555555555555541,-0.033333333333333326,-0.03288888888888897,-0.010666666666666824,0.0013333333333332975,0.010222222222222244
51,51,0.8044444444444444,0.7215189873417721,0.7759480222294868,0.8263321346845374,0.0022222222222222365,-0.017777777777777892,-0.001777777777777878,-0.02488888888888885,0.010222222222222244,0.002666666666666706,-0.03688888888888897,-0.028888888888888853,-0.0031111111111110645,0.000888888888888828,0.013333333333333308,0.01911111111111108
52,52,0.84,0.7831325301204819,0.819426283099052,0.8956358287021903,0.03688888888888886,-0.016000000000000125,0.03599999999999992,0.04400000000000004,0.022666666666666613,-0.026666666666666616,-0.035111111111111204,-0.005777777777777882,0.019111111111110968,0.03066666666666662,0.022222222222222254,0.025333333333333097
53,53,0.8977777777777778,0.8700564971751412,0.8884030728996404,0.9253023864007845,0.23688888888888893,0.001777777777777656,-0.008444444444444477,-0.007555555555555538,0.09688888888888891,0.0031111111111112866,0.004888888888888943,0.0031111111111110645,-0.01244444444444448,0.01911111111111108,0.03066666666666662,-0.008444444444444366
54,54,0.7866666666666666,0.6842105263157895,0.752533507682249,0.9061784897025172,0.01333333333333342,-0.08266666666666667,-0.03822222222222227,0.008444444444444477,0.007555555555555538,-0.03688888888888908,-0.06355555555555559,-0.021777777777777896,-0.006222222222222351,0.0013333333333332975,-0.003555555555555645,-0.028888888888888853
55,55,0.8533333333333334,0.8047337278106509,0.8357306309251389,0.927182085648905,0.013333333333333308,0.009777777777777996,0.02577777777777779,0.020888888888888846,0.06000000000000005,-0.010222222222222133,-0.013777777777777778,-0.02533333333333332,0.02577777777777779,0.006222222222222351,1.1102230246251565e-16,-0.0040000000000000036
56,56,0.6533333333333333,0.6020408163265306,0.6514792415822164,0.818568159529258,0.2191111111111111,-0.02444444444444449,0.010222222222222244,0.008444444444444477,0.268,0.006666666666666599,-0.008444444444444477,-0.009333333333333305,-0.22266666666666668,-0.007555555555555538,-0.014666666666666606,-0.009777777777777774
57,57,0.8711111111111111,0.8323699421965318,0.8574697613599216,0.909284079764629,0.07644444444444431,0.007111111111110957,0.008000000000000007,0.033333333333333215,0.032888888888888856,-0.014666666666666828,-0.021333333333333426,-0.022222222222222143,0.0173333333333332,0.0004444444444443585,0.004888888888888943,0.010222222222222244
