,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_humidity_scaled
34,34,0.8541666666666666,0.7878787878787878,0.8262338425381903,0.9269242068155111,0.10750000000000004,0.049583333333333424,0.022499999999999853
35,35,0.8208333333333333,0.7074829931972789,0.7724735605170387,0.9307432432432432,0.11749999999999994,0.040416666666666656,0.009166666666666545
36,36,0.8458333333333333,0.7701863354037267,0.8133078730904818,0.9176703877790835,0.11083333333333334,0.06125000000000003,0.002083333333333326
37,37,0.7541666666666667,0.5354330708661418,0.6814042303172738,0.9388954171562868,0.10875000000000001,-0.0012500000000000844,0.012916666666666687
38,38,0.8375,0.7577639751552795,0.8044947121034077,0.927144535840188,0.08916666666666662,0.04541666666666677,0.012500000000000067
39,39,0.8541666666666666,0.782608695652174,0.8221210340775558,0.9407682138660399,0.14749999999999996,0.04083333333333339,0.05625000000000002
40,40,0.8333333333333334,0.7468354430379747,0.7970035252643948,0.9320652173913043,0.10000000000000009,0.04458333333333342,0.014583333333333393
41,41,0.75,0.5384615384615384,0.6800822561692127,0.9420167450058755,0.09166666666666667,0.004583333333333384,0.01666666666666672
42,42,0.825,0.72,0.7799647473560518,0.933093419506463,0.09833333333333338,0.060833333333333406,0.013749999999999929
43,43,0.8291666666666667,0.7320261437908496,0.7874559341950647,0.9368390129259694,0.10458333333333336,0.050000000000000044,0.026249999999999996
44,44,0.8875,0.847457627118644,0.8738249118683901,0.9404377203290247,0.16166666666666663,0.05541666666666645,0.007916666666666683
45,45,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.9309635722679201,0.15708333333333335,0.06583333333333319,0.0024999999999999467
46,46,0.8458333333333333,0.7643312101910829,0.8091950646298472,0.9359576968272622,0.14166666666666672,0.050000000000000044,0.02416666666666667
47,47,0.8291666666666667,0.7284768211920529,0.7853995299647474,0.9375,0.14375000000000004,0.04833333333333334,0.029166666666666785
48,48,0.8375,0.7577639751552795,0.8044947121034077,0.9327996474735605,0.09999999999999998,0.04125000000000001,0.008333333333333193
49,49,0.8625,0.7975460122699386,0.8329905992949471,0.9382344300822562,0.12875000000000014,0.05500000000000016,0.04083333333333339
50,50,0.8333333333333334,0.7468354430379747,0.7970035252643948,0.9327262044653349,0.1133333333333334,0.05249999999999999,0.026666666666666727
51,51,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9377937720329026,0.21375,0.05625000000000002,0.009583333333333166
52,52,0.8041666666666667,0.6758620689655173,0.7527908343125735,0.9300822561692127,0.10083333333333333,0.05916666666666681,0.015000000000000124
53,53,0.8333333333333334,0.7530864197530864,0.8011163337250293,0.9411721504112809,0.09083333333333343,0.05208333333333337,-0.0012499999999999734
54,54,0.9,0.8709677419354839,0.8962984723854289,0.9341216216216216,0.16166666666666674,0.05041666666666689,0.0
55,55,0.8375,0.7547169811320755,0.8024383078730906,0.9309635722679201,0.10041666666666671,0.05125000000000002,-0.0004166666666666208
56,56,0.9,0.8681318681318682,0.8921856639247944,0.9375734430082256,0.20458333333333345,0.06291666666666662,0.03874999999999995
57,57,0.875,0.8235294117647058,0.8534077555816686,0.8994565217391304,0.21375,0.16666666666666663,-0.010833333333333472
58,58,0.8916666666666667,0.8602150537634409,0.8874853113983548,0.9412455934195064,0.13124999999999998,0.056666666666666754,0.04166666666666674
59,59,0.8291666666666667,0.7354838709677419,0.7895123384253819,0.9330199764982373,0.10125000000000006,0.04791666666666672,0.0050000000000000044
60,60,0.8083333333333333,0.6805555555555556,0.7561692126909518,0.9301556991774383,0.07541666666666669,0.06458333333333333,-0.004999999999999893
61,61,0.8333333333333334,0.7530864197530864,0.8011163337250293,0.9280992949471211,0.10708333333333342,0.05833333333333324,-0.007916666666666572
62,62,0.8916666666666667,0.8555555555555555,0.8813160987074031,0.9264101057579318,0.17875000000000008,0.05916666666666681,0.002083333333333326
63,63,0.8333333333333334,0.7402597402597403,0.7928907168037602,0.934635722679201,0.11541666666666672,0.05833333333333346,0.06208333333333338
64,64,0.6166666666666667,0.0,0.5,0.949030552291422,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
65,65,0.8291666666666667,0.7248322147651006,0.7833431257344301,0.935223266745006,0.14666666666666672,0.05541666666666678,0.08583333333333332
66,66,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.940364277320799,0.15541666666666676,0.04583333333333328,0.06499999999999995
67,67,0.8875,0.850828729281768,0.8779377203290247,0.9375734430082256,0.14458333333333329,0.06708333333333338,0.03541666666666654
68,68,0.8916666666666667,0.8555555555555555,0.8813160987074031,0.9420534665099882,0.16208333333333336,0.05999999999999994,0.023333333333333317
69,69,0.8916666666666667,0.87,0.9018801410105758,0.9422737955346651,0.20458333333333334,0.09500000000000008,-0.007499999999999951
70,70,0.6916666666666667,0.32727272727272727,0.5978260869565217,0.9423472385428907,0.08374999999999999,-0.03416666666666668,-0.036666666666666625
