,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
75,75,0.863013698630137,0.8125,0.8414498459431702,0.9457377610407395,0.021917808219177992,0.15936073059360734,0.06027397260273981,0.21050228310502284
76,76,0.8082191780821918,0.7857142857142857,0.8121790482711401,0.890362889421431,0.3831050228310503,-0.014611872146118698,-0.007305936073059405,0.11324200913242
77,77,0.821917808219178,0.7636363636363637,0.8030212256076686,0.9081650119821978,0.1095890410958904,-0.01963470319634708,-0.015068493150685036,-0.013698630136986356
78,78,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9133002396439576,0.250228310502283,0.1534246575342465,0.01324200913242013,0.08630136986301362
79,79,0.8493150684931506,0.819672131147541,0.844616569667922,0.8788086271824718,0.3945205479452054,0.05159817351598173,0.028310502283105055,0.11598173515981736
80,80,0.771689497716895,0.6753246753246753,0.7432386169120164,0.8739301609038,0.15022831050228314,-0.0009132420091323423,0.015068493150684925,-0.005936073059360725
81,81,0.8584474885844748,0.8187134502923976,0.8450017117425539,0.9168093118794933,0.3123287671232876,0.09634703196347028,0.12557077625570767,0.037442922374429255
82,82,0.8036529680365296,0.7329192546583851,0.781282095172886,0.9011468675111262,0.1438356164383563,-0.005022831050228382,0.008219178082191747,-0.036073059360730575
83,83,0.867579908675799,0.8379888268156425,0.8603646011639849,0.9102191030469017,0.42602739726027394,0.007305936073059294,0.008219178082191747,0.05205479452054784
84,84,0.867579908675799,0.8284023668639053,0.8528757274905854,0.9032009585758302,0.028310502283104944,0.04840182648401825,0.15799086757990854,0.06164383561643838
85,85,0.8036529680365296,0.7329192546583851,0.781282095172886,0.9067100308113659,-0.03013698630136985,0.0,0.012328767123287676,-0.00045662100456611565
86,86,0.863013698630137,0.8255813953488372,0.8504364943512496,0.9444539541252994,0.01872146118721474,0.04977168949771682,0.07990867579908678,0.18812785388127862
87,87,0.8036529680365296,0.7189542483660131,0.7752909962341663,0.937949332420404,0.007762557077625631,0.2502283105022831,0.2611872146118721,0.21278538812785386
88,88,0.867579908675799,0.8323699421965318,0.8558712769599452,0.9443683669976036,0.06438356164383552,0.13744292237442923,0.1388127853881277,0.19223744292237444
89,89,0.8538812785388128,0.8048780487804879,0.8350736049298185,0.9250256761383088,0.0383561643835616,0.08036529680365301,0.1675799086757992,0.15205479452054793
90,90,0.8538812785388128,0.8202247191011236,0.8455580280725778,0.8980657309140706,0.3470319634703196,0.04703196347031968,-0.007762557077625409,0.1041095890410959
91,91,0.817351598173516,0.7333333333333333,0.7871020198562136,0.9352961314618282,-0.011415525114155334,0.2242009132420092,0.07625570776255708,0.1657534246575343
92,92,0.8447488584474886,0.7976190476190477,0.828697363916467,0.9157822663471413,0.2589041095890411,0.13333333333333341,0.0031963470319636977,-0.010045662100456654
93,93,0.5799086757990868,0.0,0.5,0.904741526874358,0.0,0.0,0.0,0.0
94,94,0.8447488584474886,0.8,0.8301951386511468,0.9127011297500855,0.1808219178082192,0.02876712328767128,-0.01963470319634697,0.047945205479452135
95,95,0.8447488584474886,0.7901234567901234,0.8242040397124273,0.9011468675111263,0.062100456621004496,0.07579908675799096,0.16484018264840172,0.06210045662100461
96,96,0.8493150684931506,0.7950310559006211,0.828141047586443,0.9351249572064362,0.05662100456620989,0.07716894977168953,0.08173515981735158,0.08949771689497721
97,97,0.8310502283105022,0.7672955974842768,0.8078996918863403,0.9310167750770284,0.019178082191780743,0.03926940639269405,0.14292237442922373,0.034703196347032006
98,98,0.863013698630137,0.8214285714285714,0.8474409448818898,0.919976035604245,0.1461187214611872,0.11461187214611868,0.11598173515981736,0.06621004566210054
99,99,0.8584474885844748,0.8187134502923976,0.8450017117425539,0.9198904484765491,0.039726027397260166,0.12739726027397258,0.16757990867579897,0.09543378995433782
100,100,0.821917808219178,0.7607361963190185,0.8015234508729887,0.9240842177336529,0.036073059360730575,-0.0031963470319634757,-0.005022831050228382,-0.006392694063926951
101,101,0.8812785388127854,0.8539325842696629,0.8736733995207121,0.9127867168777815,-0.010502283105022658,0.15068493150684936,0.08401826484018271,0.09954337899543386
102,102,0.8584474885844748,0.8143712574850299,0.842006162273194,0.9031153714481341,0.20593607305936068,0.11552511415525102,0.08858447488584487,0.04292237442922364
