,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
30,30,0.9066147859922179,0.8811881188118812,0.9200592885375494,0.9816205533596838,0.005058365758754846,0.005836575875486361,0.008560311284046662,-0.005058365758754846,0.02062256809338514,-0.005447470817120603,-0.007003891050583633,-0.00038910505836575737,-0.0023346303501945442,0.014007782101167265,0.009727626459143934,0.014396887159533023
31,31,0.8715953307392996,0.8,0.8374835309617918,0.9579051383399209,0.01011673151750958,0.01634241245136192,0.008949416342412309,0.033463035019455245,-0.0003891050583658684,-0.0035019455252919274,0.015175097276264427,-0.0038910505836576847,-0.0003891050583658684,-0.0007782101167316258,0.030739299610894943,-0.0011673151750973831
32,32,0.8599221789883269,0.8043478260869565,0.8476284584980237,0.946772068511199,-0.008171206225681016,0.0019455252918288979,0.0023346303501946553,0.004280155642023442,-0.026459143968871612,0.0027237354085604126,-0.013618677042801619,-0.006225680933852229,-0.033852140077821,-0.008560311284046773,-0.004280155642023442,-0.024124513618677068
33,33,0.8754863813229572,0.8095238095238095,0.84532279314888,0.9700922266139658,0.015564202334630184,0.010505836575875338,-0.008560311284046773,-0.0015564202334631405,-0.005058365758754957,0.0019455252918286758,-0.014007782101167376,-0.018677042801556465,-0.008171206225681016,0.01945525291828798,0.0015564202334629185,0.015564202334630184
34,34,0.8793774319066148,0.8359788359788359,0.874802371541502,0.9619894598155467,-0.008171206225681016,0.013618677042801397,0.012840466926069882,0.0035019455252917053,-0.00894941634241253,0.0058365758754862496,0.0035019455252917053,0.008949416342412309,-0.01206225680933859,0.012451361867704125,0.01011673151750958,-0.005447470817120714
35,35,0.8832684824902723,0.84375,0.8826416337285903,0.9303030303030302,0.030350194552529186,0.00428015564202322,0.030350194552529186,0.03735408560311282,0.001167315175097161,0.007003891050583522,0.026459143968871612,0.008171206225680794,-0.009338521400778288,0.01595330739299594,0.028404669260700177,0.008171206225680794
36,36,0.867704280155642,0.8172043010752689,0.858498023715415,0.9488801054018445,-0.0007782101167316258,0.0046692607003889774,-0.008560311284046773,0.020233463035019494,-0.026459143968871612,0.01206225680933859,0.011673151750972832,0.006614785992217764,0.016731517509727678,0.019066147859922222,0.01206225680933859,-0.013229571984435862
37,37,0.8715953307392996,0.8436018957345972,0.8927865612648221,0.9699604743083005,0.007782101167315036,0.006614785992217764,0.0038910505836574627,0.011673151750972832,-0.0019455252918288979,-0.0038910505836576847,-0.008171206225681016,-0.013618677042801619,-0.029182879377431914,0.0046692607003889774,0.001167315175097161,0.009727626459143823
38,38,0.867704280155642,0.8152173913043478,0.8560935441370223,0.9602766798418972,1.1102230246251565e-16,0.02373540856031131,-0.0038910505836576847,0.020622568093385252,-0.0027237354085604126,0.018287937743190708,0.029182879377431914,-0.008171206225681016,-0.012451361867704347,-0.01634241245136192,0.008171206225681016,-0.022957198443579796
39,39,0.8832684824902723,0.8369565217391305,0.8730237154150198,0.9666666666666667,0.00038910505836564635,0.007782101167315036,-0.0046692607003891995,0.03268482490272373,-0.038132295719844445,-0.00311284046692617,0.012451361867704125,0.0035019455252917053,-0.012840466926070104,0.015564202334630184,-0.0077821011673152585,-0.0077821011673152585
