,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_scaled
57,57,0.7316176470588235,0.35398230088495575,0.6059178743961353,0.9553140096618358,0.06948529411764703,-0.0051470588235296155,0.040073529411764564
58,58,0.8823529411764706,0.8279569892473119,0.871256038647343,0.9596618357487923,0.18308823529411766,0.014338235294117707,0.02499999999999991
59,59,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9631642512077294,0.18676470588235294,0.008823529411764564,0.011029411764705843
60,60,0.8161764705882353,0.6428571428571429,0.736231884057971,0.9555555555555555,0.14264705882352935,-0.012500000000000067,0.06544117647058822
61,61,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.9530193236714976,0.11874999999999991,0.008823529411764675,0.0007352941176470562
62,62,0.875,0.8152173913043478,0.8603864734299517,0.9155797101449276,0.12389705882352942,0.0018382352941175295,-0.0018382352941177516
63,63,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.9645531400966183,0.2606617647058822,0.013602941176470429,0.023897058823529327
64,64,0.8786764705882353,0.819672131147541,0.8631642512077294,0.9633454106280193,0.1419117647058823,0.0051470588235295045,0.0022058823529410576
65,65,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9646135265700483,0.20992647058823521,0.010294117647058787,0.012867647058823484
66,66,0.8382352941176471,0.7380952380952381,0.7980676328502416,0.9450483091787439,0.11250000000000016,-0.020220588235294268,0.0011029411764705843
67,67,0.8860294117647058,0.8342245989304813,0.8766908212560387,0.964915458937198,0.19889705882352937,0.004779411764705865,0.009191176470588314
68,68,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.9633454106280194,0.23345588235294112,0.002941176470588225,0.00588235294117645
69,69,0.875,0.8131868131868132,0.8577294685990338,0.9556763285024155,0.1393382352941177,0.009191176470588203,0.014705882352941124
