,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
50,50,0.7833333333333333,0.6388888888888888,0.7297297297297297,0.9256756756756757,0.02124999999999999,0.019166666666666554,-0.0029166666666666785,-0.010833333333333361,0.011249999999999871,0.028333333333333433,0.016249999999999987,0.01708333333333334
51,51,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.8670681551116333,0.07291666666666674,0.01041666666666674,0.005833333333333468,0.004583333333333384,0.0016666666666667052,0.014999999999999902,0.02083333333333326,0.022500000000000075
52,52,0.8708333333333333,0.8187134502923976,0.8500293772032903,0.8923325499412457,0.08666666666666667,0.009999999999999898,-0.0025000000000000577,0.009166666666666656,-0.0016666666666665941,0.018333333333333313,0.020000000000000018,0.011249999999999982
53,53,0.7916666666666666,0.6575342465753424,0.740599294947121,0.8773501762632196,0.07999999999999996,0.0024999999999999467,0.0245833333333334,0.023333333333333317,-0.007083333333333219,-0.0025000000000000577,0.003750000000000031,-0.006250000000000089
54,54,0.8208333333333333,0.7225806451612903,0.7806991774383079,0.9386016451233843,0.050416666666666665,0.005833333333333246,-0.0050000000000000044,-0.025833333333333375,0.04416666666666669,0.007916666666666683,0.029583333333333295,0.012499999999999956
55,55,0.8875,0.847457627118644,0.8738249118683901,0.8744858989424206,0.12208333333333332,0.02749999999999997,0.02083333333333315,0.019999999999999907,0.007916666666666683,0.05624999999999991,0.019999999999999907,0.020416666666666528
56,56,0.8291666666666667,0.7388535031847133,0.7915687426556992,0.9002643948296122,0.06874999999999998,-1.1102230246251565e-16,0.01749999999999996,0.03458333333333341,0.025416666666666754,0.009583333333333388,0.0008333333333333526,0.0012500000000000844
57,57,0.8583333333333333,0.8,0.8357814336075206,0.8825279083431258,0.09166666666666656,-0.0033333333333332993,-0.0008333333333333526,-0.007083333333333441,-0.007083333333333441,0.012083333333333224,0.0012499999999998623,0.004583333333333273
58,58,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.8636897767332552,0.1808333333333333,0.047083333333333144,0.018750000000000044,0.026249999999999996,-0.008750000000000036,0.05625000000000002,0.04124999999999979,0.025416666666666643
59,59,0.8625,0.8070175438596491,0.8412162162162162,0.8719888366627496,0.12166666666666659,0.007500000000000173,0.0016666666666665941,0.009166666666666767,-0.005833333333333357,0.022916666666666696,0.021666666666666723,0.02041666666666664
60,60,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.8622943595769683,0.08708333333333329,0.016249999999999987,0.0025000000000000577,0.022916666666666696,-0.0050000000000000044,0.04916666666666658,0.03500000000000003,0.0245833333333334
61,61,0.85,0.7804878048780488,0.8207990599294948,0.8802878965922445,0.05458333333333332,0.0033333333333332993,-0.0004166666666666208,-0.01083333333333325,0.016249999999999987,0.013749999999999929,0.012499999999999956,0.01458333333333317
62,62,0.8625,0.8047337278106509,0.839159811985899,0.8660399529964747,0.06541666666666668,0.0029166666666669006,0.008750000000000036,0.017916666666666803,0.0004166666666667318,0.029166666666666785,0.012083333333333446,0.010000000000000009
63,63,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.8689042303172739,0.1545833333333334,0.03874999999999995,0.030416666666666536,0.008750000000000036,-0.006250000000000089,0.04125000000000001,0.04208333333333325,0.0029166666666666785
64,64,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.8752203290246768,0.14374999999999993,0.025416666666666643,0.03416666666666668,0.009583333333333388,-0.006249999999999978,0.03624999999999989,0.008749999999999925,0.025000000000000022
65,65,0.75,0.5522388059701493,0.6841950646298472,0.8305669800235018,0.04416666666666669,0.01041666666666663,0.023333333333333317,0.03208333333333335,-0.0012499999999999734,0.02041666666666664,0.016250000000000098,0.008333333333333415
66,66,0.8625,0.8070175438596491,0.8412162162162162,0.849294947121034,0.13375000000000004,0.02083333333333326,0.03708333333333336,0.009583333333333388,-0.0033333333333334103,0.057083333333333375,0.03833333333333355,0.011666666666666603
67,67,0.8541666666666666,0.7976878612716763,0.8344594594594594,0.8665540540540541,0.08625000000000005,-0.002083333333333326,-0.004999999999999893,-0.0004166666666666208,-0.005416666666666736,0.018750000000000044,0.015416666666666745,0.0016666666666668162
68,68,0.8541666666666666,0.7904191616766467,0.8282902467685076,0.8950499412455935,0.04833333333333323,-0.0025000000000000577,0.0004166666666666208,-0.007916666666666683,0.002083333333333215,0.0029166666666666785,0.011666666666666603,0.0050000000000001155
