,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_humidity_fd3_scaled
25,25,0.8625,0.8,0.8350470035252644,0.9168625146886016,0.08124999999999993,0.008749999999999925,0.012916666666666687,-0.006666666666666599,0.050833333333333286,-0.0016666666666667052,-0.011666666666666714,0.0012499999999999734,0.0016666666666665941,0.015000000000000124,0.011250000000000093,0.004583333333333495
26,26,0.8625,0.8023952095808383,0.8371034077555817,0.9126762632197416,0.1200000000000001,-0.0024999999999998357,-0.01083333333333325,0.01041666666666663,0.00708333333333333,-0.02124999999999999,-0.0016666666666664831,-0.02416666666666667,-0.009166666666666656,-0.0033333333333332993,-0.015416666666666634,0.015416666666666745
27,27,0.8625,0.8070175438596491,0.8412162162162162,0.8751468860164512,0.1020833333333333,0.0016666666666668162,0.013333333333333308,0.010000000000000009,0.08041666666666669,0.04125000000000001,0.025416666666666643,0.050416666666666665,-0.008333333333333304,0.040000000000000036,0.016666666666666607,0.03541666666666665
28,28,0.8375,0.7607361963190185,0.806551116333725,0.9268507638072855,-0.009166666666666656,0.005833333333333357,-0.012499999999999956,-0.002083333333333326,0.012500000000000067,-0.015833333333333255,-0.004583333333333273,-0.022083333333333344,0.007916666666666794,0.005833333333333357,-0.006249999999999978,0.003750000000000031
29,29,0.8666666666666667,0.8095238095238095,0.8425381903642772,0.9103260869565217,0.08291666666666675,-1.1102230246251565e-16,-0.004583333333333384,0.0012499999999999734,-0.0024999999999999467,0.0008333333333333526,-0.00374999999999992,-0.006249999999999867,-0.00666666666666671,-0.007916666666666683,0.022083333333333455,0.015833333333333366
30,30,0.8625,0.8023952095808383,0.8371034077555817,0.9239864864864865,0.08416666666666672,-0.0033333333333332993,-0.0008333333333334636,0.004583333333333495,0.0012499999999999734,-0.007916666666666572,-0.012499999999999956,-0.015416666666666634,-1.1102230246251565e-16,-0.0012499999999998623,0.0029166666666666785,0.007916666666666794
31,31,0.85,0.7777777777777778,0.8187426556991775,0.9106933019976499,0.026249999999999885,0.0004166666666666208,0.0029166666666666785,0.0050000000000000044,0.007916666666666683,-0.0004166666666666208,-0.005416666666666736,-0.018750000000000044,0.0016666666666667052,0.012916666666666576,0.014166666666666772,0.018749999999999933
32,32,0.8541666666666666,0.7904191616766467,0.8282902467685076,0.8702262044653349,0.15416666666666667,0.017083333333333228,0.006249999999999867,0.009166666666666656,0.06958333333333333,0.007916666666666572,-0.004166666666666763,0.003750000000000031,-0.004166666666666541,0.00708333333333333,0.026249999999999996,0.022499999999999964
33,33,0.85,0.7831325301204819,0.822855464159812,0.9302291421856638,0.07499999999999996,0.0,0.013749999999999929,0.0012499999999998623,0.053749999999999964,-0.0029166666666666785,0.008750000000000036,-0.019166666666666665,0.005416666666666736,-0.002083333333333215,0.004166666666666763,0.0016666666666667052
34,34,0.8208333333333333,0.7700534759358288,0.8136016451233843,0.8749265569917742,0.20291666666666663,0.01041666666666674,0.0004166666666667318,-0.002083333333333437,0.0641666666666667,0.01666666666666672,0.02083333333333326,0.012916666666666576,-0.015416666666666745,0.01791666666666658,0.009999999999999898,0.013333333333333197
35,35,0.8375,0.7547169811320755,0.8024383078730906,0.9104729729729729,-0.007083333333333219,-0.0004166666666666208,0.009166666666666656,0.004999999999999893,0.009583333333333388,-0.007499999999999951,-0.006666666666666599,-0.0004166666666666208,0.0,0.0004166666666666208,0.003750000000000031,0.0029166666666666785
36,36,0.8291666666666667,0.7630057803468208,0.8080199764982374,0.8410693301997649,0.15916666666666668,0.00666666666666671,0.006249999999999978,0.0012500000000000844,0.04458333333333342,0.018749999999999933,0.02375000000000005,0.0029166666666667895,-0.03916666666666668,0.036250000000000004,0.03166666666666662,0.02041666666666664
37,37,0.8625,0.8023952095808383,0.8371034077555817,0.9191392479435959,0.07458333333333345,0.0008333333333333526,0.004583333333333495,-0.0029166666666667895,0.05500000000000016,-0.0024999999999998357,-0.0024999999999999467,0.015000000000000124,0.0025000000000000577,0.009583333333333388,0.005833333333333357,0.008333333333333415
38,38,0.8208333333333333,0.7189542483660131,0.7786427732079906,0.9190658049353703,0.006250000000000089,-0.002083333333333326,-0.007500000000000173,0.0004166666666667318,-0.003750000000000031,0.006666666666666599,-0.00708333333333333,-0.00374999999999992,-0.004583333333333384,0.0016666666666667052,-0.004583333333333384,-0.005416666666666847
39,39,0.85,0.7831325301204819,0.822855464159812,0.9139247943595771,0.08833333333333326,-0.003750000000000031,0.022916666666666585,-0.014166666666666772,0.019583333333333286,0.0012500000000000844,-0.0012500000000000844,-0.004999999999999893,0.0012499999999998623,-0.0016666666666668162,-0.00708333333333333,-0.0012499999999999734
40,40,0.85,0.7721518987341772,0.8146298472385429,0.9203143360752056,0.0029166666666666785,0.004583333333333273,0.008333333333333415,0.004166666666666541,0.0412499999999999,0.005416666666666514,-0.005416666666666514,-0.004166666666666652,0.016249999999999987,0.0016666666666667052,0.007499999999999951,0.013333333333333308
41,41,0.8416666666666667,0.7682926829268293,0.8119858989424207,0.8871915393654524,0.10000000000000009,0.00708333333333333,0.005833333333333246,0.0050000000000000044,0.07833333333333337,0.019583333333333175,1.1102230246251565e-16,0.00708333333333333,-0.018749999999999933,0.004583333333333273,-0.006249999999999978,0.0033333333333331883
