,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled
135,135,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8920398823144818,0.14,0.05066666666666664,0.047111111111111215,0.007111111111111179
136,136,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9175384112455052,0.03733333333333322,0.06533333333333335,0.11822222222222223,0.02622222222222237
137,137,0.8577777777777778,0.8117647058823529,0.8411654135338346,0.8867276887871852,0.06799999999999995,0.028444444444444494,0.008444444444444366,0.009333333333333194
138,138,0.7688888888888888,0.7523809523809524,0.782731284733573,0.9016835567178817,0.2817777777777778,0.07244444444444442,0.06799999999999995,0.07199999999999995
139,139,0.8222222222222222,0.7802197802197802,0.8144409937888198,0.8851748937561295,0.13777777777777778,0.039999999999999925,0.03155555555555556,-0.0022222222222223476
140,140,0.7911111111111111,0.7813953488372093,0.8099051977770513,0.9143510951291273,0.28088888888888885,0.0902222222222222,0.13244444444444448,0.15911111111111098
141,141,0.7911111111111111,0.7539267015706806,0.7898005884275907,0.8751225890813992,0.2222222222222222,0.02444444444444438,0.020444444444444376,1.1102230246251565e-16
142,142,0.8,0.7783251231527094,0.8090470742072573,0.8976789800588427,0.31511111111111123,0.039111111111111097,0.058666666666666756,0.15288888888888896
143,143,0.7288888888888889,0.6965174129353234,0.7338182412553123,0.8628636809414841,0.26488888888888895,0.0013333333333334085,0.06311111111111112,0.014222222222222247
144,144,0.8622222222222222,0.8143712574850299,0.8432494279176201,0.8984145145472378,0.13244444444444436,0.021777777777777896,0.03288888888888897,0.033777777777777795
145,145,0.7955555555555556,0.684931506849315,0.7567015364498202,0.8871363190585159,0.03733333333333333,0.007555555555555538,0.008444444444444477,-0.021777777777777785
146,146,0.7555555555555555,0.7208121827411168,0.7580500163452109,0.872507355344884,0.21911111111111103,0.015555555555555545,0.0031111111111111756,0.0004444444444444695
147,147,0.7644444444444445,0.736318407960199,0.7705949656750573,0.8846845374305329,0.22355555555555562,0.08177777777777784,0.007111111111111179,0.021333333333333426
148,148,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8998855835240275,0.03911111111111121,0.0364444444444445,0.017333333333333423,0.013333333333333308
149,149,0.7511111111111111,0.7333333333333333,0.7643429225237006,0.8569794050343249,0.27822222222222215,0.004888888888888943,0.07644444444444431,0.045777777777777806
150,150,0.7955555555555556,0.7604166666666666,0.7952353710362863,0.8889342922523701,0.2413333333333333,0.057777777777777706,0.023555555555555552,0.01288888888888895
