,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_temperature_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_humidity_fd3_scaled
67,67,0.8448979591836735,0.8061224489795918,0.8476484796817279,0.9602159704461495,-0.0077551020408163085,0.014693877551020362,0.009795918367346834,0.014285714285714346,0.0016326530612246204,-0.022857142857142798,-0.026122448979591817,-0.018775510204081525,-0.06040816326530607,-0.001224489795918382,0.003673469387755146,0.010204081632653184
68,68,0.8857142857142857,0.8526315789473684,0.8846618357487923,0.9582978118783746,0.004081632653061273,0.028163265306122343,0.017142857142857015,0.018775510204081636,0.009795918367346945,0.0032653061224489077,0.003673469387755146,0.0077551020408163085,-0.0032653061224491298,0.006938775510203943,0.006122448979591799,0.023673469387755053
69,69,0.8938775510204081,0.8631578947368421,0.893364592213697,0.964975845410628,-0.011836734693877582,0.013877551020407997,0.008571428571428563,0.004081632653061162,-0.01673469387755111,0.0065306122448978154,0.0065306122448978154,0.01224489795918371,-0.001224489795918382,0.004897959183673306,0.018367346938775397,0.011020408163265216
70,70,0.8816326530612245,0.8432432432432433,0.8748934356351237,0.9585109406081274,-0.006938775510204054,0.029795918367346963,0.0106122448979592,0.011836734693877471,-0.01510204081632649,0.006122448979591799,0.010204081632652962,0.006122448979591799,-0.004081632653061273,0.002448979591836764,0.004081632653061162,0.02244897959183667
71,71,0.889795918367347,0.8556149732620321,0.8857630008525149,0.9624183006535947,-0.023265306122449148,0.022040816326530654,0.005714285714285672,0.008163265306122547,-0.019183673469387763,0.0065306122448980375,0.012653061224489726,0.01795918367346938,-0.004081632653061162,0.0004081632653060163,0.006938775510204054,0.007346938775510181
72,72,0.9020408163265307,0.875,0.9042341574310884,0.9676044330775788,-0.004897959183673417,0.017551020408163254,0.011836734693877582,0.0020408163265306367,-0.005714285714285672,0.0028571428571427804,-0.00122448979591816,0.01836734693877562,-0.010204081632653073,0.009387755102040818,0.025306122448979562,0.02571428571428558
73,73,0.8612244897959184,0.8282828282828283,0.8672208013640239,0.9629866439329355,-0.005714285714285783,0.017142857142857126,0.007346938775510292,0.0020408163265305257,0.004897959183673417,-0.003673469387755146,-0.0053061224489796555,-0.008163265306122436,-0.04122448979591831,0.014693877551020473,0.03918367346938778,0.00612244897959191
74,74,0.8979591836734694,0.8663101604278075,0.8944657573174197,0.9674623472577437,-0.0106122448979592,0.011020408163265327,0.003673469387755035,0.004081632653061273,-0.012653061224489837,0.006938775510203943,0.001224489795918382,0.004489795918367401,-0.003673469387755257,0.004489795918367401,0.002448979591836764,0.004081632653061051
75,75,0.889795918367347,0.8586387434554974,0.8900966183574879,0.9681727763569196,-0.011836734693877582,0.015918367346938744,0.012653061224489726,0.0053061224489796555,-0.014285714285714457,-0.005714285714285672,-0.006938775510204054,-0.0032653061224490187,-0.011020408163265438,0.0004081632653060163,0.007346938775510181,-0.0028571428571428914
76,76,0.8979591836734694,0.8677248677248677,0.8966325660699062,0.9688832054560955,-0.005306122448979433,0.028163265306122343,0.01836734693877551,0.010612244897959089,0.015918367346938855,0.0065306122448979265,0.0032653061224491298,0.014693877551020473,-0.0028571428571427804,0.010612244897959311,0.02408163265306118,0.027755102040816326
77,77,0.8938775510204081,0.8645833333333334,0.8955314009661836,0.9634129013924411,-0.015510204081632617,0.021632653061224416,0.0106122448979592,0.013877551020408219,-0.009795918367346945,0.004897959183673528,0.0106122448979592,-0.00040816326530623837,-0.001224489795918382,0.006938775510204054,0.01183673469387736,0.017142857142857015
