,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_scaled
11,2,1,11,0.9088319088319088,0.9078158426745973,0.8354536117767888,0.9125402259500172,2.638510910578008,0.48659947386216745,1.055643518850589,-1.3450113995964759,3.107892318393585,0.12613960113960107,0.09964387464387461,0.08212250712250709,-3.3306690738754695e-17
12,2,2,12,0.9340329835082459,0.9317157791886007,0.8623789714749537,0.9476859635899815,0.9804074921394208,0.14916995854691048,1.7561424560628058,-0.8859529998805494,3.060693522799675,0.12046476761619193,0.09595202398800604,0.081184407796102,0.006896551724137978
13,2,3,13,0.84375,0.8415671548476844,0.8330195138651146,0.8907449748129311,-1.7250509414552475,-1.0346852721597635,3.8496392438759224,1.2402952535974618,3.978756659947885,0.13480902777777778,0.09296875000000002,0.09461805555555555,0.004947916666666652
14,2,4,14,0.8338249754178958,0.8315933524997176,0.8196658802221111,0.863222198390569,2.2777795405718293,-0.9602666748222447,1.766696811120799,-0.536609792766297,2.8032591561192266,0.1584070796460177,0.11209439528023601,0.08534906588003935,-0.008947885939036337
15,3,0,15,0.8208333333333333,0.80791408783478,0.7632107023411372,0.8721571906354515,1.6806847326560526,-0.9100982277019084,2.3289340237314042,-2.245864424423661,4.7408178145681426,0.13763888888888887,0.08701388888888886,0.06499999999999997,-0.0029166666666666564
16,3,1,16,0.8729166666666667,0.8699590324335795,0.8124274099883856,0.8844177237290579,-0.05853330759232373,-0.805853690994335,1.3711696975517564,0.9087454185892474,3.0657907970048726,0.1379166666666667,0.09604166666666666,0.08208333333333337,-0.007499999999999974
17,3,2,17,0.8636363636363636,0.8627164386885687,0.8652854601633508,0.9129215284391423,-0.1159591152699941,-0.15289606177889425,-0.9942465899145652,-1.2324174715819431,5.938760953892695,0.15593220338983055,0.12765793528505393,0.09861325115562405,0.010785824345146388
18,3,3,18,0.8898721730580138,0.8863896451321773,0.8426321606188985,0.912221403573402,2.289372136192889,-0.7152199798764496,2.173863728582887,-0.738075868148267,2.6272662586488096,0.1355948869223206,0.1019665683382498,0.08810226155358902,0.015437561455260618
19,3,4,19,0.9114173228346457,0.9036274221998288,0.7929859902939291,0.9048682965540396,0.02631468117391428,-0.6217730567393919,1.814400567323666,-0.46165104623653896,4.745929271705778,0.09271653543307093,0.06722440944881894,0.057972440944881895,0.00649606299212605
20,4,0,20,0.8443251533742331,0.8400345800255862,0.8083322397284772,0.8817465770168005,-0.7923712717364657,0.7767533669438708,4.197950885887681,1.1300868308120917,0.5233871243284817,0.1252300613496932,0.07530674846625764,0.08573619631901837,0.006901840490797495
21,4,1,21,0.9180911680911681,0.9160637994110983,0.8746122643760439,0.9462006398760272,1.390640826468921,-0.7425046596378445,1.5364440096876577,-2.0294337816468917,5.568672033641022,0.14123931623931624,0.10797720797720797,0.1014957264957265,0.009686609686609681
