,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_scaled
36,7,1,36,0.8573619631901841,0.8547780414512551,0.8476976336131266,0.9168231611893585,2.6381573779395606,0.20537353262275895,0.6622858146012777,0.11224000418168897,2.2594157034746476,0.15383435582822091,0.11380368098159513,0.09409509202453993,0.011503067484662621
37,7,2,37,0.93125,0.9320667584644299,0.8894334910801749,0.9437906152126823,1.0350091754032023,0.8706110013248454,0.4240928161520333,0.5842718167779621,2.699251977890401,0.14520833333333338,0.11326388888888891,0.08062500000000004,0.0022222222222222144
38,7,3,38,0.8098958333333334,0.7958528134459653,0.7444158204275629,0.8084387595815568,-1.91426192023823,1.154729366143659,3.312273593746123,1.0088354550491363,1.3768359276790387,0.11267361111111114,0.08315972222222226,0.06180555555555559,-0.008333333333333304
39,7,4,39,0.9148745519713262,0.9149577904511712,0.9056032388663968,0.9565200179937021,0.5146467880731374,-0.24849112468377788,0.22947339800747324,1.1150177338928426,4.345551607952806,0.21021505376344085,0.17320788530465947,0.1342293906810036,0.021326164874552002
40,8,0,40,0.8183760683760684,0.8134875003976233,0.8095029075984561,0.8978989927793789,-1.2756123009144964,1.1865929629341898,1.4978767630273189,0.40594950325246854,2.7206369340588545,0.12642450142450143,0.0948005698005698,0.07955840455840453,-0.0019943019943020057
41,8,1,41,0.9340277777777778,0.9361066856959519,0.9261025220632502,0.9736521883926169,0.26160328445284836,0.0667436736853591,-0.044444801397063985,1.8958205723748576,3.5681386385755745,0.16381944444444443,0.14229166666666665,0.11333333333333337,0.014305555555555571
42,8,2,42,0.8366124893071001,0.833053622037143,0.8210925902741759,0.8789816321785631,-1.3295226205961934,0.6418168262319707,2.302830678945687,2.1774498709182564,1.776982038617274,0.13361847733105217,0.09230111206159108,0.0727972626176219,0.008982035928143705
43,8,3,43,0.8336520076481836,0.8323578496142605,0.8300647846861899,0.8922221733649928,1.3876126269781306,0.06164635654945897,-0.1798283121203712,0.21620596337739034,4.4097852451860335,0.155640535372849,0.12848948374761,0.1036328871892926,0.003059273422562181
44,8,4,44,0.9461805555555556,0.9478796484404651,0.8973228346456692,0.9388131361628577,0.9312810265792362,0.2706704634728631,0.5448142372679251,-0.1907185527341082,4.2900931840194305,0.13220486111111115,0.11302083333333335,0.08307291666666669,0.0036458333333333594
45,9,0,45,0.8836671802773498,0.8798897264681724,0.834588985890877,0.9138124609376106,1.5865957968168964,-0.08185720888581101,2.7955376555538387,-2.4203397433102545,3.611557032949239,0.14144838212634828,0.10654853620955318,0.08312788906009247,0.005392912172573228
46,9,1,46,0.8826388888888889,0.8823895046245509,0.8471110020595867,0.8992611759224148,-0.09217792522263434,0.03374015830162237,1.135262976159198,-0.31400177370770394,5.31098074496595,0.16576388888888888,0.12868055555555552,0.1008333333333333,-0.0093055555555556
47,9,2,47,0.8909722222222223,0.8895104967952295,0.8703595317725752,0.9320610367892976,0.8027984019901311,0.5377937305067692,0.3723435736109929,0.7573730614562771,3.2134902604243045,0.16972222222222227,0.14354166666666673,0.10659722222222227,0.01006944444444452
48,9,3,48,0.8921679909194098,0.8866536666763681,0.836764882021799,0.8869984429272968,-0.03835119414197271,0.025045701856075693,1.9237370746714593,-0.7690680221521937,4.34540086692233,0.14177071509648131,0.0994324631101022,0.07809307604994328,0.018501702610669746
49,9,4,49,0.8098958333333334,0.8033616262849915,0.7874005795671744,0.8274770331093162,-0.5682044950368327,-0.6843250751283766,4.067184325757926,0.08780971710986671,3.296667347425027,0.13932291666666669,0.10520833333333335,0.0840277777777778,-0.008420138888888862
