,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_scaled
35,7,0,35,0.8115095913261051,0.8025493524029318,0.7676617893150864,0.8190645489789721,-1.068780227533606,-0.5860059700151149,2.5852913398459583,0.32728942679946366,4.762634151729069,0.1326939115929942,0.08899082568807343,0.07197664720600502,-0.0004170141784820558
36,7,1,36,0.7875766871165644,0.7783788892562629,0.7713733579930763,0.8642789396310523,-0.6965772440530551,0.4277121256358097,2.379119400109209,-0.6315129941276382,3.220251530237707,0.1122699386503067,0.08481595092024535,0.0497699386503067,0.0005368098159508561
37,7,2,37,0.8881944444444444,0.8915869308799245,0.8338794685357138,0.9090529670663227,0.6520057646878933,0.7344772849533048,2.0045657120150766,-0.7438876768157908,2.7514409925884493,0.13854166666666662,0.09465277777777774,0.07249999999999997,-0.001875000000000049
38,7,3,38,0.8472222222222222,0.8410347241302613,0.8018352654544729,0.8799388910523319,-0.3241083952095853,0.06459606997511795,1.9614120062812916,0.09841873259296513,3.3807767415563403,0.15538194444444442,0.10112847222222221,0.06180555555555556,0.003124999999999989
39,7,4,39,0.8763440860215054,0.8746929856986784,0.8495870445344129,0.9178839406207828,0.1888688280784765,0.5896691825159033,1.9649673417849742,-1.1333938942458002,3.534891409127618,0.16612903225806452,0.11586021505376345,0.1032258064516129,0.013351254480286744
40,8,0,40,0.7884615384615384,0.7828731621949996,0.779563300098787,0.8690796508845007,1.024580154803117,0.765425936131383,1.8231952132849776,-1.4992061717773524,2.2968697367596294,0.11951566951566947,0.08717948717948716,0.05028490028490025,0.007336182336182317
41,8,1,41,0.9020833333333333,0.9037538581350134,0.8556282102189032,0.935920508255306,-0.7222098256750246,0.9956401798391389,3.219381108086058,-0.5736319980612041,2.1911811892963207,0.13409722222222226,0.1017361111111111,0.08722222222222224,-0.00215277777777777
42,8,2,42,0.7339606501283148,0.7221084756599939,0.7090673606018875,0.7914259653390088,-2.3108727435086767,0.8073794871544269,3.7471330858887266,2.248133257850413,-0.13859691325218468,0.07852865697177075,0.05808383233532934,0.030111206159110348,-0.007955517536355882
43,8,3,43,0.8269598470363289,0.824816481361251,0.8223038137953274,0.9024015771113651,-0.5570217167629052,0.07229084534947418,1.9574837937203995,-0.6648515707747404,4.583310628368142,0.15210325047801146,0.10344168260038238,0.09043977055449329,0.010229445506692159
44,8,4,44,0.9296875,0.9300463606701656,0.8259688880353371,0.8680314960629922,-0.4226762080355173,0.6907421721956035,3.225853262762364,-0.9400758855359181,2.5370967303753122,0.0857638888888889,0.04930555555555556,0.04913194444444444,0.0016493055555555469
45,9,0,45,0.8536209553158706,0.8478309768914112,0.7940192476831232,0.8852067726052809,2.0912556610231334,-0.3580882838336713,2.1874104407931263,-1.5325137059424303,2.930592318985531,0.14553158705701078,0.09244992295839753,0.07873651771956858,0.0037750385208012217
46,9,1,46,0.83125,0.8280542807291864,0.7659617972682593,0.8212075473568637,-0.9284188895809676,0.6305609762643861,2.713661335435003,-0.751755055506992,3.486316628454954,0.14486111111111116,0.10388888888888892,0.08458333333333337,-0.0004861111111110761
47,9,2,47,0.8756944444444444,0.8730655408385605,0.8483695652173913,0.9230330267558529,-0.05227978128841826,0.7254355836818728,2.6805327919299224,-0.25230367572811524,1.9468624034590898,0.15680555555555556,0.11909722222222223,0.08069444444444446,0.0008333333333333304
48,9,3,48,0.8365493757094211,0.8193019067424924,0.7460264702359565,0.8673433944184932,-1.9322317927697348,0.3863363551257705,3.2042026257120124,0.18354517909821058,2.7898302735438736,0.0960272417707151,0.05766174801362091,0.04608399545970489,0.0036322360953462084
49,9,4,49,0.7717013888888888,0.7610390802516342,0.7443584684629139,0.8005425735248782,-2.2625770279638955,-0.3383902961685813,5.119365490985058,1.5362885289759263,1.515769436962456,0.10460069444444438,0.06189236111111106,0.049218749999999964,-0.008506944444444508
50,10,0,50,0.8380809595202399,0.8340198373653481,0.8102774604987626,0.8819246145059966,0.4888054972069548,0.28370430851595685,2.639906966808534,0.03915149443603534,1.5190996967620434,0.14122938530734633,0.0882308845577211,0.07863568215892054,0.020839580209895035
51,10,1,51,0.8333333333333334,0.8300701053555435,0.8045485934886971,0.8628453877578188,1.2326773540271365,0.4958313714636211,0.6430650822061857,0.042099209004780265,3.0772897794112555,0.1621527777777778,0.1238888888888889,0.0934027777777778,0.005277777777777803
52,10,2,52,0.8486111111111111,0.8408144145174512,0.8009219184644216,0.885203502785925,-2.407286331915891,-0.1301540341095076,3.6810965070670343,0.32712421982045453,3.8343942461878835,0.1189583333333333,0.08583333333333333,0.0617361111111111,0.00812499999999997
53,10,3,53,0.8790560471976401,0.8755424955966936,0.7695012787723785,0.8627798945665222,-0.5668485174271678,-0.07008300071100439,2.0839900841595935,-0.20345694489982813,3.9770099963096768,0.11740412979351031,0.08171091445427725,0.060275319567354935,-0.003244837758112151
54,10,4,54,0.8540816326530613,0.8485885292298958,0.8057023919651116,0.8972606618965809,0.16502806983484897,-0.9393744094107008,1.7968257240044325,-0.7264597324865272,5.430343321538725,0.1381632653061225,0.09275510204081634,0.07612244897959189,0.015000000000000024
55,11,0,55,0.8743055555555556,0.8710071533910344,0.8153993144624627,0.9019676364817004,0.1526880487907954,0.4117960670529285,2.4995609401722536,-1.3573865788085653,3.647989082120393,0.14986111111111114,0.09604166666666666,0.0841666666666667,0.016527777777777797
56,11,1,56,0.8455772113943029,0.8402901945522574,0.8110336081166771,0.8970138928921427,-1.0278244838002017,1.1809313301211828,3.4129027688364837,0.812190613877209,0.4718449530164413,0.1164167916041979,0.06476761619190408,0.05937031484257871,0.029835082458770645
57,11,2,57,0.8287731685789939,0.8184352634040516,0.7766652257898932,0.8592916289562198,1.178299051415928,-0.04943716829596556,0.7796447636701257,-1.5154748724465805,4.87807019274695,0.14474845542806714,0.09267431597528689,0.05542806707855256,-0.0008826125330979262
