,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_scaled
36,7,1,36,0.8121165644171779,0.8058518292766991,0.7981718594394651,0.9035614359558021,0.7558312774516794,0.2600717814161894,1.7877326267258342,0.2655308802923073,1.6574345357637725,0.11817484662576691,0.08934049079754605,0.07269938650306752,0.00030674846625771134
37,7,2,37,0.9215277777777777,0.9231537363225493,0.8819416658618359,0.9367196015397563,3.9312304723291494,0.3365145466103483,1.7064394880392506,-1.4055715923849585,0.565406674429504,0.11826388888888881,0.10402777777777775,0.08493055555555548,0.00874999999999997
38,7,3,38,0.8776041666666666,0.8753309830126867,0.8492296478247412,0.9187976581560142,0.5872256667805391,1.7261729273245339,0.8531173112895135,-0.2906256910109562,2.2301544660156014,0.17031249999999995,0.14592013888888883,0.10928819444444442,0.0027777777777777237
39,7,4,39,0.8602150537634409,0.8561726070541286,0.8203184885290149,0.8921349527665319,3.07821383816803,-0.5229577817281981,1.0894186987957648,-1.4662287870393416,3.276049166146114,0.16353046594982076,0.1281362007168459,0.10465949820788531,-0.010394265232974908
40,8,0,40,0.8190883190883191,0.8152022622221435,0.8112250613600025,0.9012557159006426,-0.0063332960971776335,0.44248926371736974,0.7170915755861548,0.19757928983597237,4.061693378063033,0.12670940170940176,0.09423076923076928,0.07343304843304847,0.005484330484330535
41,8,1,41,0.9006944444444445,0.9025150936233269,0.8547764214625149,0.9238545682775934,2.2903128172101126,0.1785727724626122,2.405579248689996,-2.2147302424141477,2.763135323867242,0.13743055555555558,0.10805555555555557,0.09243055555555557,-0.0022916666666666584
42,8,2,42,0.8426005132591959,0.8395783815827362,0.8282435808011256,0.9104442020043044,-0.17110600412735733,0.9097378366189327,1.180791437646525,2.082732053886838,0.3114950626093925,0.11933276304533794,0.08229255774165958,0.07254063301967499,0.010265183917878572
43,8,3,43,0.8231357552581262,0.8201768002753917,0.8176464984023686,0.8869712426347727,2.85355452840036,-0.07407728402854356,1.6187311401028273,-1.2117110721513444,2.141428078524488,0.15544933078393885,0.10334608030592736,0.07533460803059276,-0.00019120458891013213
44,8,4,44,0.953125,0.9520992066195861,0.8598348377184559,0.9596619934703283,2.79461258349481,-0.3378189053273441,1.9808631240589893,-1.845703152245803,2.55624548992702,0.08810763888888887,0.06927083333333334,0.06189236111111113,0.00017361111111109385
45,9,0,45,0.8967642526964561,0.8929105553054306,0.8468810891371914,0.9323955531799966,1.0107440814757176,0.48134558499731217,0.4338358315725341,0.09295278374603284,3.439226688193727,0.15261941448382127,0.12234206471494609,0.08574730354391372,0.018027734976887522
46,9,1,46,0.8673611111111111,0.8671927829428907,0.8283219200999309,0.8722436607605351,0.4210942718860014,1.1078105900950195,0.5944636791630905,0.6806851472934509,1.5954397832121792,0.15256944444444448,0.12618055555555557,0.100625,-0.0022916666666666584
47,9,2,47,0.8763888888888889,0.8749024637913527,0.8556020066889631,0.9318415551839465,1.8151801776683556,0.14551829676476485,0.8121481602661688,-1.2935243566516,3.708839975629447,0.17229166666666665,0.13118055555555555,0.10006944444444443,0.010972222222222194
48,9,3,48,0.8592508513053349,0.8506751068568142,0.7930949814349024,0.9070128159060965,0.08103015334504207,1.6294722641859536,1.712486621480327,0.1753971184667033,0.22120595499831605,0.10612939841089672,0.062202043132803655,0.06765039727582293,0.003745743473325791
49,9,4,49,0.8489583333333334,0.8446965121647447,0.829607250755287,0.8997163820210864,1.8361739883625952,-0.13377049626607826,1.7920806602719963,-0.6128929603921633,1.988776899690015,0.14887152777777782,0.10668402777777782,0.08845486111111114,0.01223958333333337
50,10,0,50,0.8643178410794603,0.8630571135227166,0.8483271463925376,0.9235674852465258,-0.003077774964763899,0.8158291968228512,0.5546663660140636,0.31162737866207124,2.4288979940141964,0.1559970014992504,0.12916041979010495,0.10832083958020995,0.009070464767616238
51,10,1,51,0.8486111111111111,0.8459183076739467,0.8222329458944513,0.8792609263588789,0.12136219146178823,0.7767453383081749,0.7902758028383606,1.119628047630726,3.1197135151279576,0.15479166666666666,0.13305555555555554,0.10513888888888885,-0.0034027777777777767
52,10,2,52,0.8694444444444445,0.8645867917467825,0.8309704095267709,0.9266814296879596,2.4123659446749355,0.030141628663089753,2.541254294711107,-0.367849503759583,0.09996790729534012,0.1209027777777778,0.04805555555555559,0.04944444444444449,0.018194444444444492
53,10,3,53,0.9026548672566371,0.8974397585202434,0.7902584947022286,0.8538480609635158,0.7951712907081202,0.693062793556197,0.19747124653821044,0.5721043573846305,2.373501251845846,0.11337266470009828,0.09105211406096357,0.06470009832841687,0.001966568338249708
54,10,4,54,0.8663265306122448,0.8619690977245201,0.8227500991145764,0.9046187392625877,2.0329243843261056,0.1439879769011287,1.1527686859415074,-1.1316037052909627,3.201814097844282,0.14591836734693872,0.10836734693877545,0.08285714285714282,0.005408163265306076
55,11,0,55,0.8909722222222223,0.889126103421607,0.8443748001754738,0.9268264271498639,1.8534940402589295,0.05562564834801748,2.4048472388466644,-1.12638353742871,2.389202094227268,0.13875000000000007,0.09590277777777784,0.08770833333333336,-0.0006249999999999422
56,11,1,56,0.8493253373313343,0.8443395263559115,0.8156477584981072,0.921203954574278,0.5446300254226172,-0.09962881310182653,0.49596011930573125,-0.7113573214596048,5.112591720249993,0.1311094452773613,0.10854572713643176,0.0715142428785607,0.007496251874062931
57,11,2,57,0.8164165931156222,0.8080568135940221,0.7701880344189439,0.8228228126815168,2.0446713213933596,0.7912867304580365,0.6167742574665966,0.08694635401524659,2.287926338540644,0.1423654015887025,0.0931156222418358,0.07864077669902908,-0.010767872903795283
58,11,3,58,0.8741319444444444,0.8740438329716976,0.871994803800788,0.9251369186294719,1.8891364100390173,-0.17972064848278718,1.6583488782032154,-0.7711579527340078,2.264890767748769,0.17777777777777776,0.1446180555555555,0.12152777777777772,0.004687499999999978
59,11,4,59,0.9001736111111112,0.8992214502682994,0.8456193115058837,0.9198437472598777,1.2488744750308665,0.4753136665632507,-0.21132807568986506,0.09284719098453557,2.801360031771287,0.14461805555555562,0.13376736111111115,0.11718750000000004,8.680555555559132e-05
60,12,0,60,0.8722222222222222,0.8723392348392349,0.8602519559289494,0.8930185441602461,0.8127408118447353,1.0134248981044458,0.2704763021524905,0.4222206515774857,1.7766360180074665,0.18583333333333335,0.1595138888888889,0.12256944444444447,-0.000347222222222221
61,12,1,61,0.8689655172413793,0.8673146134357951,0.8457503350741785,0.9058916567813365,2.9542565820508098,0.08434689198007772,0.9744055809937593,-1.7518937763192297,3.2050035521918008,0.178007662835249,0.13494252873563214,0.1093486590038314,0.015478927203065096
62,12,2,62,0.8590138674884438,0.8526184928883895,0.8227083333333334,0.9288328313253011,0.5961850053988826,-0.27252010971382323,1.0631092345204811,-0.6362789918912164,4.491026093343484,0.1378274268104777,0.10454545454545454,0.0788135593220339,0.009090909090909104
63,12,3,63,0.8622047244094488,0.857502987606881,0.8171545472105642,0.9326040002107222,0.9588158100165106,1.118961188033451,2.1378843162093633,0.28758154198779057,0.2526213898637396,0.11909448818897639,0.09409448818897642,0.07529527559055119,0.0069881889763779405
64,12,4,64,0.8784722222222222,0.8715618237266682,0.7798206278026906,0.8971283201103829,0.015941360698482218,0.9297576221326515,0.2539752465979062,0.6719350336582025,1.999435801219185,0.09331597222222222,0.08142361111111111,0.06545138888888888,-0.003125000000000011
65,13,0,65,0.8888888888888888,0.8884449954845326,0.8731547293603061,0.9313982196555495,1.0749508299686983,1.145564048176635,1.059607570083367,-1.6104142015748981,3.2675713494317993,0.16902777777777772,0.14201388888888883,0.11597222222222214,0.006805555555555532
66,13,1,66,0.7729549248747913,0.7667068454651778,0.7772466645843559,0.8365144348757306,-0.6090214105810646,-0.05497802728238793,3.761717695388801,0.4442109459973851,2.180207048762412,0.1157762938230384,0.07045075125208683,0.05484140233722874,-0.004841402337228695
67,13,2,67,0.8778565799842396,0.8734982984615499,0.8019352425005102,0.889966668934086,2.721437001757963,-0.6649990993612672,1.305178542980229,-1.4545444465957174,3.6149349939994395,0.12419227738376679,0.08920409771473603,0.06769109535066989,-0.006382978723404232
68,13,3,68,0.8194444444444444,0.8113549018551444,0.768804481322829,0.8286919157122554,-0.3447967824035728,0.07243693486141269,3.4086687629176993,0.38223095634655097,2.0381660875298495,0.13211805555555553,0.09713541666666665,0.08940972222222218,-0.02421875000000002
69,13,4,69,0.9123263888888888,0.9122597023871108,0.8671555717010262,0.9328489692126054,3.378347517323721,0.4685197786262234,1.7945256611293947,-1.9144498877745217,1.396196830150891,0.13715277777777773,0.09887152777777772,0.0770833333333333,0.008072916666666619
70,14,0,70,0.8750957854406131,0.871275628098305,0.8076900318899796,0.8746107180228212,1.5225845006269842,1.367342626218098,0.7326918584508162,0.469949850188801,1.233701227654731,0.14176245210727972,0.10245210727969352,0.09026819923371651,-0.010038314176245178
71,14,1,71,0.8201376936316696,0.8165911053056798,0.8223746592390659,0.9069307810833235,-0.5997049085410742,0.6078210523947722,4.178648923750992,0.6937458769697273,0.8604503257034729,0.12719449225473323,0.0674698795180723,0.05920826161790018,0.01841652323580034
72,14,2,72,0.8916666666666667,0.8883490873140265,0.8312495729999316,0.9061536086882811,1.1796360488814561,-0.06551365606367746,2.005053380994725,-0.11717508877321142,2.1264332482731105,0.13013888888888894,0.10312500000000006,0.07597222222222229,-0.0016666666666666386
73,14,3,73,0.8993055555555556,0.9011426068011745,0.8680138043774408,0.9271819090000907,3.969326922573977,0.35861906215482775,1.2491724456462685,-1.3526275838250252,0.9952930042247103,0.1332465277777778,0.11701388888888889,0.0863715277777778,0.002604166666666685
74,14,4,74,0.8376736111111112,0.8359662573234807,0.8305950023688334,0.9065859643581677,0.2256078457681583,0.6727071652244114,0.4956785208905074,-0.0851543691411088,4.289204198126007,0.13940972222222228,0.1192708333333334,0.09791666666666672,0.0069444444444445195
75,15,0,75,0.8567049808429119,0.8479879564912965,0.7648638252038775,0.8217048776734882,-0.10318139559337983,0.5154443443078498,3.107972930047769,0.4851224987191021,1.1571082774806802,0.11103448275862071,0.08467432950191574,0.07034482758620694,-0.008659003831417577
76,15,1,76,0.8447293447293447,0.85361782588974,0.7998677116968465,0.891488030042247,2.5789740984896548,0.38579004192747535,0.3959253909210424,-1.2508212659208393,3.2940062328696076,0.1307692307692307,0.10819088319088314,0.06759259259259254,-0.015527065527065542
77,15,2,77,0.8708333333333333,0.8668605024822195,0.8341856454777903,0.9048730451329012,0.8941942173877048,0.8950059161866687,0.9796601133256954,0.5277635701098655,0.41058976109107675,0.1366666666666667,0.10055555555555555,0.08326388888888892,0.006388888888888866
78,15,3,78,0.875,0.8746724405298945,0.8721814628895052,0.9255839895780922,1.1331161049985148,1.7106193751682135,0.8815737126016628,-0.0608205154875148,-0.012175669843120596,0.1710629921259843,0.1450787401574803,0.11604330708661419,0.050393700787401595
79,15,4,79,0.8193116634799236,0.8152136159566321,0.8157996780801873,0.8889340064383962,0.2749931912705453,1.232625759348257,0.15738096755028413,1.1154920890243731,1.0593227421869726,0.14149139579349912,0.09923518164435952,0.07982791586998092,0.004684512428298338
80,16,0,80,0.8847222222222222,0.8838134539486932,0.8443264705226294,0.9119681569548849,0.9178357028131019,0.8802015622362915,1.1515733139975917,0.27378993972342563,1.361434274509805,0.1493055555555555,0.1308333333333333,0.10999999999999995,-6.94444444444442e-05
81,16,1,81,0.8590277777777777,0.8571799090995049,0.8500938466605987,0.9293567556926818,1.1189549456271766,-0.32526967718510774,-0.15114680813495204,-0.5539544862703862,4.419247844655143,0.1565972222222222,0.12659722222222217,0.09854166666666661,0.003541666666666632
82,16,2,82,0.8868055555555555,0.891389424293137,0.8445860180190123,0.9126540101270714,1.6297559155931876,0.04787518401806863,1.1364556573248554,-1.70294344780024,3.9924114377533333,0.12041666666666662,0.09416666666666665,0.07097222222222219,-0.016111111111111166
83,16,3,83,0.8260355029585799,0.8213612050800156,0.8137492941840768,0.8920553359683795,2.2850689200434102,1.379591570699062,0.5125461200620842,0.5859704365955307,1.026037512771351,0.12863905325443784,0.09644970414201182,0.07431952662721891,0.01751479289940827
84,16,4,84,0.8489483747609943,0.8445972018970914,0.8199733225076842,0.9029055268804732,1.1706869929700843,1.0032457302339173,0.9250499584449638,0.025131574662848332,2.313069103388623,0.14617590822179732,0.11673040152963672,0.09024856596558319,0.00028680688336520934
85,17,0,85,0.8313856427378965,0.8246428229118961,0.8036712557363371,0.9035748708874598,-0.6577129112974142,-0.4878941606856518,2.4873404699073065,0.6989417184409492,3.962551264521,0.13247078464106843,0.09123539232053424,0.06661101836393991,0.001168614357262099
86,17,1,86,0.9125,0.9130648159496672,0.8501359014335187,0.9184142993142841,1.7312512659455794,0.4670835224535093,0.6884831687452995,-0.5119833726810494,2.8319801544587735,0.13451388888888888,0.10243055555555554,0.07527777777777775,0.00430555555555554
87,17,2,87,0.8222222222222222,0.8173425878123863,0.8042617649427986,0.9005797744950305,1.1519449652526559,0.3417556022707428,1.6226061468105537,0.24924300437736238,1.0735268964977025,0.11763888888888885,0.08409722222222218,0.06951388888888886,0.004999999999999982
88,17,3,88,0.8781362007168458,0.8776348509695746,0.859497975708502,0.9139181286549708,2.2625212992396406,0.7903191346435561,-1.0146419133893296,-1.6348322681528855,3.7173340134995065,0.17482078853046593,0.15501792114695337,0.12535842293906801,0.012992831541218585
89,17,4,89,0.8367748279252704,0.827059369906225,0.7695149043994968,0.8747825233536459,-0.1062996463963725,-0.11524214632579147,3.4876833525999893,1.0816277752925807,1.1101734692708547,0.08780727630285148,0.04641101278269416,0.04257620452310712,-0.010127826941986284
90,18,0,90,0.8565950920245399,0.8556555703284178,0.8498168498168498,0.9165140415140415,-1.0502590234312903,0.7289040424081566,3.5468926418221005,-0.4827050502341839,2.54464340842729,0.15084355828220858,0.1085122699386503,0.09708588957055216,0.010736196319018398
91,18,1,91,0.8831908831908832,0.8767849183089164,0.8094842250290561,0.9297085664878401,0.41532501976399816,0.9608734538170353,0.6013316277664122,0.7984687629891951,2.759914314674262,0.11695156695156697,0.09173789173789179,0.0760683760683761,0.011182336182336217
92,18,2,92,0.8268199233716476,0.8206418433425915,0.8062784022961014,0.8889284860081319,0.6460613078715383,0.3176680406574482,2.860882227334972,0.09402851526735793,1.0461693830089382,0.11471264367816096,0.06965517241379315,0.061455938697318066,0.007739463601532615
93,18,3,93,0.8307291666666666,0.8321224897556125,0.7702566235000594,0.8056781343878885,2.0959097807960827,0.7967270269286623,1.275459699695251,-0.6010957423094188,1.7002770893884258,0.1553819444444444,0.11571180555555552,0.08220486111111107,-0.022395833333333382
94,18,4,94,0.9091778202676865,0.9052199159303439,0.8447751601887734,0.9490849096420214,3.565005879262115,-0.28106206768170366,1.7362293306645284,-0.9960937335441793,1.0836439671132903,0.1452198852772467,0.11061185468451247,0.08040152963671131,0.009177820267686454
95,19,0,95,0.8205128205128205,0.8167919856604691,0.8082178573260167,0.874167906046464,2.227157631279266,-0.36734563359953376,0.9607200033066831,-0.02829181675455067,2.2500994614331224,0.14109686609686606,0.09886039886039885,0.07970085470085467,0.0016381766381766028
96,19,1,96,0.913601368691189,0.9121759287130672,0.8610287962497907,0.9012849489368826,1.4882882453797637,0.39258073038481633,-0.12208707171618317,-0.41994183955439746,4.266299106306135,0.14901625320786996,0.1286569717707442,0.10846877673224975,0.006672369546621015
97,19,2,97,0.8645833333333334,0.8628634858533805,0.8414733047037171,0.8901009320032607,1.913142341918569,1.1129399889398126,1.2414908649465048,-0.466837063468109,0.20257329324208026,0.1466666666666667,0.11541666666666668,0.09375000000000003,0.0013888888888889173
98,19,3,98,0.890057361376673,0.8833844117579769,0.8059471880355196,0.9314681025081788,2.7869373702525606,-0.6794655493810003,1.8717930108699508,-1.104874289062349,2.4816086602227525,0.10544933078393877,0.08355640535372846,0.06042065009560227,0.007361376673040121
99,19,4,99,0.8489583333333334,0.8433779668056522,0.8026447788417692,0.8601036969482022,1.4434042147904318,0.16821473151866562,2.4040039734001466,-1.0906491111784047,2.1781991126961566,0.1546006944444445,0.09548611111111115,0.07187500000000002,-0.0055555555555555245
